Level,ExpEazy,ExpNormal,ExpHard,ExpHell,ExpDifficulty5
1,616,946,1430,2200,2200
2,616,946,1430,2200,2200
3,616,946,1430,2200,2200
4,616,946,1430,2200,2200
5,616,946,1430,2200,2200
6,616,946,1430,2200,2200
7,616,946,1430,2200,2200
8,616,946,1430,2200,2200
9,822,1262,1908,2934,2934
10,822,1262,1908,2934,2934
11,1028,1578,2384,3668,3668
12,1028,1578,2384,3668,3668
13,1028,1578,2384,3668,3668
14,1232,1892,2860,4402,4402
15,1232,1892,2860,4402,4402
16,1232,1892,2860,4402,4402
17,1438,2208,3338,5136,5136
18,1644,2524,3814,5868,5868
19,1848,2838,4292,6602,6602
20,1848,2838,4292,6602,6602
21,2398,3682,5564,8560,8560
22,2596,3988,6028,9274,9274
23,2996,4602,6956,10700,10700
24,3196,4908,7420,11414,11414
25,3596,5522,8346,12842,12842
26,3854,5918,8946,13762,13762
27,4392,6746,10198,15688,15688
28,4584,7040,10640,16370,16370
29,4816,7398,11182,17204,17204
30,4966,7626,11528,17734,17734
31,5348,8212,12414,19098,19098
32,5402,8296,12540,19294,19294
33,5484,8422,12730,19584,19584
34,5644,8668,13104,20160,20160
35,5644,8668,13104,20160,20160
36,5806,8916,13478,20736,20736
37,25000,25000,25000,25000,25000
38,25500,25500,25500,25500,25500
39,26500,26500,26500,26500,26500
40,27000,27000,27000,27000,27000
41,27500,27500,27500,27500,27500
42,27500,27500,27500,27500,27500
43,28000,28000,28000,28000,28000
44,28188,28188,28188,28188,28188
45,28188,28188,28188,28188,28188
46,28188,28188,28188,28188,28188
47,28188,28188,28188,28188,28188
48,28188,28188,28188,28188,28188
49,28188,28188,28188,28188,28188
50,28188,28188,28188,28188,28188
51,28188,28188,28188,28188,28188
52,32000,32000,32000,32000,32000
53,32000,32000,32000,32000,32000
54,32000,32000,32000,32000,32000
55,32000,32000,32000,32000,32000
56,32000,32000,32000,32000,32000
57,32000,32000,32000,32000,32000
58,32000,32000,32000,32000,32000
59,32000,32000,32000,32000,32000
60,20800,32000,32000,32000,32000
61,20800,32000,32000,32000,32000
62,20800,32000,32000,32000,32000
63,20800,32000,32000,32000,32000
64,20800,32000,32000,32000,32000
65,20800,32000,32000,32000,32000
66,20800,32000,32000,32000,32000
67,20800,32000,32000,32000,32000
68,20800,32000,32000,32000,32000
69,20800,32000,32000,32000,32000
70,20800,32000,32000,32000,32000
71,20800,32000,32000,32000,32000
72,20800,32000,32000,32000,32000
