ProjectileId,Id,EffectType,EffectTypeName,EffectParam,EffectGrowth1,EffectGrowth2
11131,111311,17,공격력,"50,63812,13000,22900",2,1
11125,111251,16,공격력,"43,58160,9000,13950",2,1
11132,111321,17,공격력,"58,73630,14000,23900",2,1
11132,111322,8,넉다운,1001,,
11133,111331,17,공격력,"81,103376,17500,27400",2,1
12131,121311,17,공격력,"56,71700,13000,22900",2,1
12125,121251,16,공격력,"35,51541,9000,13950",2,1
12132,121321,17,공격력,"65,82730,14000,23900",2,1
12132,121322,8,넉다운,1001,,
12133,121331,17,공격력,"91,116154,17500,27400",2,1
13131,131311,17,공격력,"59,78870,13000,22900",2,1
13125,131251,16,공격력,"41,56323,9000,13950",2,1
13132,131321,17,공격력,"67,91004,14000,23900",2,1
13132,131322,8,넉다운,1001,,
13133,131331,17,공격력,"95,127769,17500,27400",2,1
14131,141311,17,공격력,"51,65247,13000,22900",2,1
14125,141251,16,공격력,"37,49514,9000,13950",2,1
14132,141321,17,공격력,"59,75285,14000,23900",2,1
14132,141322,8,넉다운,1001,,
14133,141331,17,공격력,"83,105700,17500,27400",2,1
11252,112521,17,공격력,"2697,145605,21000,30900",1.6,1
11252,112522,8,넉다운,1001,,
11252,112523,17,공격력,"270,14561,2400,4380",1.6,1
12221,122211,16,공격력,"2241,120958,16100,26000",1.6,1
12221,122212,8,이동속도 감소,12221,,
12222,122221,16,공격력,"2308,124623,17100,27000",1.6,1
12222,122222,8,넉다운,1003,,
12242,122421,16,공격력,"1304,70407,11100,21000",1.6,1
12242,122422,8,방어력 감소,12242,,
12251,122511,47,효과,12251,,
12251,122512,17,공격력,"2747,148302,22000,31900",1.6,1
12251,122513,8,빙결,12251,,
13241,132411,16,공격력,"3049,164615,22000,31900",1.6,1
30004,300041,16,공격력,"0,0,20000,60000",1,1
30004,300042,8,도트,30004,,
30006,300061,16,공격력,"0,0,27500,60000",1,1
30006,300062,17,공격력,"0,0,27500,60000",1,1
30006,300062,8,스턴,30006,,
31003,310031,17,공격력,"6547,104509,20000,20000",2,2
50001,500011,16,공격력,"0,0,23700,23700",1,1
50002,500021,16,공격력,"0,0,25000,25000",1,1
50003,500031,16,공격력,"0,0,23300,23300",1,1
50004,500041,16,공격력,"0,0,19700,19700",1,1
50005,500051,16,공격력,"0,0,20000,20000",1,1
50006,500061,16,공격력,"0,0,10000,10000",1,1
50007,500071,16,공격력,"0,0,10000,10000",1,1
60107,601071,17,공격력,"0,0,10000,10000",1,1
60107,601072,8,넉다운,1001,,
60109,601091,16,공격력,"0,0,10000,10000",1,1
60109,601092,8,넉다운,1001,,
73022,730221,16,공격력,"0,0,20000,20000",1,1
73022,730222,8,공격력감소,73022,1,1
77085,770851,16,공격력,"0,0,20000,20000",1,1
77085,770852,8,공격력감소,77085,1,1
74061,740611,17,공격력,"0,0,80000,80000",1,1
74101,741011,16,공격력,"0,0,38400,38400",1,1
74111,741111,16,공격력,"0,0,34000,34000",1,1
74121,741211,16,공격력,"0,0,22800,22800",1,1
74121,741212,8,피해 증가,74121,,
80001,800011,16,공격력,"0,0,10000,10000",1,1
1508031,15080311,17,공격력,"0,0,1000,1000",,
1512031,15120311,17,공격력,"0,0,1000,1000",,
1513021,15130211,17,공격력,"0,0,1000,1000",,
1513071,15130711,16,공격력,"0,0,1000,1000",,
1514051,15140511,16,공격력,"0,0,1000,1000",,
1518031,15180311,17,공격력,"0,0,1000,1000",,
1519021,15190211,17,공격력,"0,0,1000,1000",,
720441,7204411,17,공격력,"0,0,45000,45000",,
720441,7204412,8,지속피해,720441,,
601261,6012611,17,공격력,"0,0,10000,10000",,
601391,6013911,17,공격력,"0,0,10000,10000",,
601391,6013912,8,공격속도 감소,601391,,
601441,6014411,17,공격력,"0,0,10000,10000",,
601441,6014412,8,출혈,601441,,
50221,50221,16,공격력,"0,0,10000,10000",1,1
40020101,400201011,8,그물,40020101,,
40020108,400201081,17,공격력,"0,0,15000,15000",1,1
40020108,400201082,8,증발하는 생명,40020108,1,1
40020130,400201301,17,공격력,"0,0,25000,25000",1,1
40020177,400201771,17,공격력,"0,0,200000,200000",1,1
40020201,400202011,8,그물,40020201,,
40020208,400202081,17,공격력,"0,0,15000,15000",1,1
40020208,400202082,8,증발하는 생명,40020208,1,1
40020230,400202301,17,공격력,"0,0,25000,25000",1,1
40020277,400202771,17,공격력,"0,0,200000,200000",1,1
40020301,400203011,8,그물,40020301,,
40020308,400203081,17,공격력,"0,0,15000,15000",1,1
40020308,400203082,8,증발하는 생명,40020308,1,1
40020330,400203301,17,공격력,"0,0,25000,25000",1,1
40020377,400203771,17,공격력,"0,0,250000,250000",1,1
40020401,400204011,8,그물,40020401,,
40020408,400204081,17,공격력,"0,0,15000,15000",1,1
40020408,400204082,8,증발하는 생명,40020408,1,1
40020430,400204301,17,공격력,"0,0,25000,25000",1,1
40020477,400204771,17,공격력,"0,0,250000,250000",1,1
45000405,450004051,16,피해,"0,0,22800,22800",1,1
45000405,450004052,8,이속감소,450004051,,
45000409,450004091,17,피해,"0,0,30000,30000",1,1
45000412,450004121,17,피해,"0,0,30000,30000",1,1
45000412,450004122,8,공격력 감소,450004122,1,1
45000415,450004151,16,피해,"0,0,22800,22800",1,1
45000415,450004152,8,이속감소,450004151,,
45000424,450004241,17,공격력,"0,0,40000,40000",,
