ResultCode,ItemInfoId,IconTexture,AcquireContents1,AcquireContents2,AcquireContents3,AcquireContents4,AcquireContents5
32,490004,Icon_Asset_Diamond_02,15,16,17,18,23
30,490003,Icon_Asset_Adena_01,1,43,11,31,
59,490033,Icon_Asset_SkillPoint_01,31,13,,,
45,490005,Icon_Asset_RuneStone_01,21,1,13,,
949,400002,Currency_BloodCrystal_01,19,27,,,
63,490034,Icon_Asset_Friendship_01,24,,,,
55,490035,Icon_Asset_Mileage_01,9,,,,
54,490036,Icon_Asset_Topaz_01,15,,,,
918,490006,Currency_GuildCoin_01,29,30,,,
75,490004,Icon_Asset_Diamond_01,15,16,,,
76,490003,Icon_Asset_Diamond_02,23,16,17,18,
922,490062,Currency_GuildAdena_01,29,,,,
965,400003,Icon_Asset_GuildBloodCrystal,29,,,,
1105,490059,Icon_Asset_FestivelTicket_01,1,,,,
80,490065,Currency_GuildRedStarStone_01,29,,,,
973,490049,Item_GemStoneRed_01,19,31,,,
