Id,Difficulty,NpcHpRate,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3
1,0,30,1,490066,1,,,,
2,0,50,2,490066,2,,,,
3,0,65,3,490066,3,,,,
4,0,75,4,490066,4,,,,
5,0,95,5,490066,5,,,,
6,0,100,6,490066,1,,,,
7,1,30,1,490066,1,,,,
8,1,50,2,490066,2,,,,
9,1,65,3,490066,3,,,,
10,1,75,4,490066,4,,,,
11,1,95,5,490066,5,,,,
12,1,100,6,490066,1,,,,
13,2,30,1,490066,1,,,,
14,2,50,2,490066,2,,,,
15,2,65,3,490066,3,,,,
16,2,75,4,490066,4,,,,
17,2,95,5,490066,5,,,,
18,2,100,6,490066,1,,,,
19,3,30,1,490066,1,,,,
20,3,50,2,490066,2,,,,
21,3,65,3,490066,3,,,,
22,3,75,4,490066,4,,,,
23,3,95,5,490066,5,,,,
24,3,100,6,490066,1,,,,
