Id,Moveable,MoveContentType,IconTexture
1,1,56,UI_Btn_Pet
2,1,54,UI_Btn_Mission
3,1,20,UI_Btn_MiscCraft
4,1,24,UI_Btn_MiscCraft
5,1,17,UI_Btn_Achievement
6,1,25,UI_Btn_RestReward
7,1,49,UI_Btn_Reward
8,1,26,UI_Btn_Shop
9,1,27,UI_Btn_Shop
10,1,29,UI_Btn_Shop
11,1,30,UI_Btn_Shop
12,1,31,UI_Btn_Shop
13,1,32,UI_Btn_Shop
14,1,33,UI_Btn_Shop
15,1,35,UI_Btn_Shop
16,1,36,UI_Btn_Shop
17,1,37,UI_Btn_Shop
18,1,38,UI_Btn_Shop
19,1,6,UI_Btn_Dungeon
20,1,7,UI_Btn_Dungeon
21,1,9,UI_Btn_Dungeon
22,1,5,UI_Btn_Dungeon
23,1,1,UI_Btn_PVP
24,1,3,UI_Btn_Friend
25,1,39,UI_Btn_Guild
26,1,40,UI_Btn_Guild
27,1,43,UI_Btn_Guild
28,1,28,UI_Btn_Shop
29,1,78,UI_Btn_Guild
30,1,2,UI_Btn_Guild
31,1,54,UI_Btn_Mission
35,1,99,UI_Btn_AgitQuest
42,1,11,UI_Btn_Dungeon
43,1,10,UI_Btn_Dungeon
44,1,92,UI_Btn_Dungeon
45,1,44,UI_Btn_AgitQuest
64,1,125,UI_Btn_Costume
1004,1,57,UI_Btn_EquipmentEnhancement
1005,1,58,UI_Btn_EquipmentEnhancement
1006,1,59,UI_Btn_EquipmentEnhancement
1007,1,60,UI_Btn_EquipmentEnhancement
1008,1,61,UI_Btn_EquipmentEnhancement
1009,1,62,UI_Btn_EquipmentEnhancement
1010,1,63,UI_Btn_EquipmentEnhancement
1011,1,57,UI_Btn_EquipmentEnhancement
