EquipType,Grade,Socket1Type,Socket2Type,Socket3Type,Socket4Type,Socket5Type,Socket6Type
1,1,2,9,9,9,9,9
1,2,2,7,9,9,9,9
1,3,2,7,2,9,9,9
1,4,2,7,2,7,9,9
1,5,2,7,2,7,2,9
1,6,2,7,2,7,2,7
0,1,5,9,9,9,9,9
0,2,5,3,9,9,9,9
0,3,5,3,5,9,9,9
0,4,5,3,5,3,9,9
0,5,5,3,5,3,5,9
0,6,5,3,5,3,5,3
2,1,5,9,9,9,9,9
2,2,5,3,9,9,9,9
2,3,5,3,5,9,9,9
2,4,5,3,5,3,9,9
2,5,5,3,5,3,5,9
2,6,5,3,5,3,5,3
6,1,2,9,9,9,9,9
6,2,2,7,9,9,9,9
6,3,2,7,2,9,9,9
6,4,2,7,2,7,9,9
6,5,2,7,2,7,2,9
6,6,2,7,2,7,2,7
8,1,8,9,9,9,9,9
8,2,8,1,9,9,9,9
8,3,8,1,8,9,9,9
8,4,8,1,8,1,9,9
8,5,8,1,8,1,8,9
8,6,8,1,8,1,8,1
4,1,0,9,9,9,9,9
4,2,0,6,9,9,9,9
4,3,0,6,0,9,9,9
4,4,0,6,0,6,9,9
4,5,0,6,0,6,0,9
4,6,0,6,0,6,0,6
5,1,0,9,9,9,9,9
5,2,0,6,9,9,9,9
5,3,0,6,0,9,9,9
5,4,0,6,0,6,9,9
5,5,0,6,0,6,0,9
5,6,0,6,0,6,0,6
7,1,8,9,9,9,9,9
7,2,8,1,9,9,9,9
7,3,8,1,8,9,9,9
7,4,8,1,8,1,9,9
7,5,8,1,8,1,8,9
7,6,8,1,8,1,8,1
9,1,4,9,9,9,9,9
9,2,4,4,9,9,9,9
9,3,4,4,4,9,9,9
9,4,4,4,4,4,9,9
9,5,4,4,4,4,4,9
9,6,4,4,4,4,4,4
10,1,4,9,9,9,9,9
10,2,4,4,9,9,9,9
10,3,4,4,4,9,9,9
10,4,4,4,4,4,9,9
10,5,4,4,4,4,4,9
10,6,4,4,4,4,4,4
