GroupId,Id,RewardType,RewardItemInfoId,RewardCount,RewardIcon
0,1,6,911176,1,Icon_Box_EquipLevelMaterial
0,2,6,400001,30,Icon_SoulShot_01
1,3,6,911176,1,Icon_Box_EquipLevelMaterial
1,4,6,400001,40,Icon_SoulShot_01
2,5,6,911176,1,Icon_Box_EquipLevelMaterial
2,6,6,400001,50,Icon_SoulShot_01
3,7,6,911177,1,Icon_Box_EquipLevelMaterial
3,8,6,400001,60,Icon_SoulShot_01
4,9,6,911177,1,Icon_Box_EquipLevelMaterial
4,10,6,400001,70,Icon_SoulShot_01
5,11,6,911177,1,Icon_Box_EquipLevelMaterial
5,12,6,400001,80,Icon_SoulShot_01
6,13,6,911177,1,Icon_Box_EquipLevelMaterial
6,14,6,400001,90,Icon_SoulShot_01
7,15,6,911177,1,Icon_Box_EquipLevelMaterial
7,16,6,400001,100,Icon_SoulShot_01
8,17,6,911177,1,Icon_Box_EquipLevelMaterial
8,18,6,400001,110,Icon_SoulShot_01
9,19,6,911177,1,Icon_Box_EquipLevelMaterial
9,20,6,400001,120,Icon_SoulShot_01
10,21,6,911178,1,Icon_Box_EquipLevelMaterial
10,22,6,400001,130,Icon_SoulShot_01
11,23,6,911178,1,Icon_Box_EquipLevelMaterial
11,24,6,400001,140,Icon_SoulShot_01
12,25,6,911178,1,Icon_Box_EquipLevelMaterial
12,26,6,400001,150,Icon_SoulShot_01
13,27,6,911178,1,Icon_Box_EquipLevelMaterial
13,28,6,400001,160,Icon_SoulShot_01
14,29,6,911178,1,Icon_Box_EquipLevelMaterial
14,30,6,400001,170,Icon_SoulShot_01
15,31,6,911178,1,Icon_Box_EquipLevelMaterial
15,32,6,400001,180,Icon_SoulShot_01
16,33,6,911179,1,Icon_Box_EquipLevelMaterial
16,34,6,400001,190,Icon_SoulShot_01
17,35,6,911179,1,Icon_Box_EquipLevelMaterial
17,36,6,400001,200,Icon_SoulShot_01
18,37,6,911179,1,Icon_Box_EquipLevelMaterial
18,38,6,400001,210,Icon_SoulShot_01
19,39,6,911179,1,Icon_Box_EquipLevelMaterial
19,40,6,400001,220,Icon_SoulShot_01
20,41,6,911179,1,Icon_Box_EquipLevelMaterial
20,42,6,400001,230,Icon_SoulShot_01
21,43,6,911179,1,Icon_Box_EquipLevelMaterial
21,44,6,400001,240,Icon_SoulShot_01
22,45,6,911179,1,Icon_Box_EquipLevelMaterial
22,46,6,400001,250,Icon_SoulShot_01
23,47,6,911179,1,Icon_Box_EquipLevelMaterial
23,48,6,400001,260,Icon_SoulShot_01
24,49,6,911179,1,Icon_Box_EquipLevelMaterial
24,50,6,400001,270,Icon_SoulShot_01
25,51,6,911180,1,Icon_Box_EquipLevelMaterial
25,52,6,400001,280,Icon_SoulShot_01
26,53,6,911180,1,Icon_Box_EquipLevelMaterial
26,54,6,400001,290,Icon_SoulShot_01
27,55,6,911180,1,Icon_Box_EquipLevelMaterial
27,56,6,400001,300,Icon_SoulShot_01
28,57,6,911180,1,Icon_Box_EquipLevelMaterial
28,58,6,400001,310,Icon_SoulShot_01
29,59,6,911180,1,Icon_Box_EquipLevelMaterial
29,60,6,400001,320,Icon_SoulShot_01
30,61,6,911180,1,Icon_Box_EquipLevelMaterial
30,62,6,400001,330,Icon_SoulShot_01
31,63,6,911180,1,Icon_Box_EquipLevelMaterial
31,64,6,400001,340,Icon_SoulShot_01
32,65,6,911180,1,Icon_Box_EquipLevelMaterial
32,66,6,400001,350,Icon_SoulShot_01
33,67,6,911180,1,Icon_Box_EquipLevelMaterial
33,68,6,400001,360,Icon_SoulShot_01
34,69,6,911180,1,Icon_Box_EquipLevelMaterial
34,70,6,400001,370,Icon_SoulShot_01
35,71,6,911181,1,Icon_Box_EquipLevelMaterial
35,72,6,400001,380,Icon_SoulShot_01
36,73,6,911181,1,Icon_Box_EquipLevelMaterial
36,74,6,400001,390,Icon_SoulShot_01
37,75,6,911181,1,Icon_Box_EquipLevelMaterial
37,76,6,400001,400,Icon_SoulShot_01
38,77,6,911181,1,Icon_Box_EquipLevelMaterial
38,78,6,400001,410,Icon_SoulShot_01
39,79,6,911181,1,Icon_Box_EquipLevelMaterial
39,80,6,400001,420,Icon_SoulShot_01
40,81,6,911181,1,Icon_Box_EquipLevelMaterial
40,82,6,400001,430,Icon_SoulShot_01
41,83,6,911181,1,Icon_Box_EquipLevelMaterial
41,84,6,400001,440,Icon_SoulShot_01
42,85,6,911181,1,Icon_Box_EquipLevelMaterial
42,86,6,400001,450,Icon_SoulShot_01
43,87,6,911181,1,Icon_Box_EquipLevelMaterial
43,88,6,400001,460,Icon_SoulShot_01
44,89,6,911181,1,Icon_Box_EquipLevelMaterial
44,90,6,400001,470,Icon_SoulShot_01
45,91,6,911181,1,Icon_Box_EquipLevelMaterial
45,92,6,400001,480,Icon_SoulShot_01
46,93,6,911181,1,Icon_Box_EquipLevelMaterial
46,94,6,400001,490,Icon_SoulShot_01
47,95,6,911181,1,Icon_Box_EquipLevelMaterial
47,96,6,400001,500,Icon_SoulShot_01
48,97,6,911181,1,Icon_Box_EquipLevelMaterial
48,98,6,400001,510,Icon_SoulShot_01
49,99,6,911181,1,Icon_Box_EquipLevelMaterial
49,100,6,400001,520,Icon_SoulShot_01
50,101,6,911181,1,Icon_Box_EquipLevelMaterial
50,102,6,400001,530,Icon_SoulShot_01
