Id,Grade,IconTexture,BackgroundImage,WorldInfoId,TerritoryId,FortressSiegeWorldInfoId,GlobalBuffInfoId,LocalBuffInfoId,RewardCapeInfold
1001,2,Image_Castle_mark_01,Image_Fortress_01,3,1,16003,0,0,
1002,2,Image_Castle_mark_01,Image_Fortress_02,4,1,16004,0,0,
1003,2,Image_Castle_mark_01,Image_Fortress_03,5,1,16005,0,0,
1004,2,Image_Castle_mark_01,Image_Fortress_04,6,1,16006,0,0,
2001,3,Image_Castle_mark_02,Image_Fortress_05,7,2,16007,0,0,
2002,3,Image_Castle_mark_02,Image_Fortress_06,8,2,16008,0,0,
2003,3,Image_Castle_mark_02,Image_Fortress_07,9,2,16009,0,0,
2004,3,Image_Castle_mark_02,Image_Fortress_08,10,2,16010,0,0,
3001,4,Image_Castle_mark_03,Image_Fortress_09,11,3,16011,0,0,
5001,1,Image_Castle_mark_05,Image_Fortress_16,1,5,16019,0,0,
5002,1,Image_Castle_mark_05,Image_Fortress_17,1,5,16020,0,0,
5003,1,Image_Castle_mark_05,Image_Fortress_18,1,5,16021,0,0,
5004,1,Image_Castle_mark_05,Image_Fortress_19,1,5,16022,0,0,
5005,1,Image_Castle_mark_05,Image_Fortress_20,2,5,16023,0,0,
5006,1,Image_Castle_mark_05,Image_Fortress_21,2,5,16024,0,0,
5007,1,Image_Castle_mark_05,Image_Fortress_22,2,5,16025,0,0,
5008,1,Image_Castle_mark_05,Image_Fortress_23,2,5,16026,0,0,
5809,1,Image_Castle_mark_05,Image_Fortress_16,1,5,810016027,0,0,
5810,1,Image_Castle_mark_05,Image_Fortress_17,1,5,810016028,0,0,
5811,1,Image_Castle_mark_05,Image_Fortress_18,1,5,810016029,0,0,
5812,1,Image_Castle_mark_05,Image_Fortress_19,1,5,810016030,0,0,
5813,1,Image_Castle_mark_05,Image_Fortress_20,2,5,810016031,0,0,
5814,1,Image_Castle_mark_05,Image_Fortress_21,2,5,810016032,0,0,
5815,1,Image_Castle_mark_05,Image_Fortress_22,2,5,810016033,0,0,
5816,1,Image_Castle_mark_05,Image_Fortress_23,2,5,810016034,0,0,
