Id,ShopId,DyeingType,ColorHEX
1,2021000,0,
2,2021001,0,0x060607FF
3,2021002,0,0x120C07FF
4,2021003,0,0xDABA8DFF
5,2021004,0,0xAF702FFF
6,2021005,0,0x71491FFF
7,2021006,0,0x0E0919FF
8,2021007,0,0x58091DFF
9,2021008,0,0xC02B28FF
10,2021009,0,0xFF6882FF
11,2021010,0,0x321F0AFF
12,2021011,0,0x50397DFF
13,2021012,0,0x5C234CFF
14,2021013,0,0x00292DFF
15,2021014,0,0x155304FF
16,2021015,0,0x514E11FF
17,2021016,0,0x31100FFF
18,2021017,0,0x003064FF
19,2021018,0,0x2D3B46FF
20,2021019,0,0xCE3E07FF
21,2021020,0,0x640A04FF
22,2021021,0,0xFF0500FF
23,2021022,0,0x5079B9FF
24,2021023,0,0x62E9FFFF
25,2021024,0,0xFFB3FFFF
26,2021025,0,0xFFFFFFFF
27,2021026,0,0x5A5AFFFF
28,2021027,0,0xB9B9FFFF
29,2021028,0,0x00CDFFFF
30,2021029,0,0x6EE1FFFF
31,2021030,0,0xBEF5FFFF
