Lv,MaximumGuildMemberCount,GuildWarehouseCount,NextLevelNeedExp,AssignableAssistantMaster,AssignableKnightsLeader,AssignableRoyalGuardLeader,PresentCount,PrizeCount
1,30,30,3465,0,0,0,3,5
2,30,30,15312,0,0,0,3,5
3,31,30,40392,1,0,0,3,5
4,32,30,72468,1,0,0,3,5
5,33,40,264000,1,1,0,5,5
6,33,40,373464,1,1,0,5,10
7,34,40,511632,1,1,0,5,10
8,35,40,692208,1,1,0,5,15
9,35,40,853632,1,1,0,5,15
10,36,50,1067040,1,2,1,7,20
11,37,50,1338120,1,2,1,7,20
12,38,50,1585920,1,2,1,7,25
13,38,50,1847880,1,2,1,7,25
14,39,50,2124000,1,2,1,7,30
15,40,60,2718720,1,3,1,10,30
16,40,60,2803680,1,3,1,10,35
17,41,60,3370080,1,3,1,10,35
18,42,60,3964800,1,3,1,10,40
19,43,60,4587840,1,3,1,10,40
20,43,70,5380800,1,3,2,12,45
21,44,70,6074640,1,3,2,12,45
22,45,70,6796800,1,3,2,12,50
23,45,70,7547280,1,3,2,12,50
24,46,70,8326080,1,3,2,12,55
25,46,80,9345600,1,3,2,12,55
26,47,80,10195200,1,3,2,15,60
27,48,80,11073120,1,3,2,15,60
28,48,80,11979360,1,3,2,15,65
29,49,80,12234240,1,3,2,15,65
30,50,90,0,1,3,2,15,70
