Id,GroupId,RequiredCount,RewardType,RewardItemInfoId,RewardCount
1,101,3,1,,50000
2,101,6,6,910221,3
3,101,9,6,910220,3
4,101,12,6,400000,3
5,101,15,6,910237,3
6,101,18,6,490027,1
7,101,21,2,,500
8,101,24,1,,100000
9,101,27,6,910221,6
10,101,30,6,910220,6
11,101,33,6,400000,4
12,101,36,6,910237,4
13,101,45,1,,150000
14,101,48,6,910221,9
15,101,51,6,910220,9
16,101,54,6,400000,5
17,101,57,6,910237,5
18,101,63,6,490037,1
19,101,66,1,,200000
20,101,69,6,910221,12
21,101,72,6,910220,12
22,101,75,6,400000,6
23,101,78,6,910237,6
24,101,87,1,,250000
25,101,90,6,910221,15
26,101,93,6,910220,15
27,101,96,6,400000,7
28,101,99,6,910237,7
29,101,105,6,490026,1
30,101,108,1,,300000
31,101,111,6,910221,18
32,101,114,6,910220,18
33,101,117,6,400000,8
34,101,120,6,910237,8
1001,102,1,1,,100000
1002,102,7,1,,100000
1003,102,13,6,490027,1
1004,102,19,6,400000,2
1005,102,25,3,,400
1006,102,31,1,,100000
1007,102,37,6,490027,1
1008,102,43,6,400000,2
