GroupID,RewardType,RewardItemInfoId,RewardCount,RewardIcon
5,6,500401,3,Icon_QuestScroll_S
5,6,911200,1,Icon_Box_BossReward
5,6,910256,1,Icon_Box_SP_03
5,6,490020,1,Icon_Box_Rune_02
5,6,910255,1,Icon_Shop_Gacha_Armor_01
6,6,500401,3,Icon_QuestScroll_S
6,6,911200,1,Icon_Box_BossReward
6,6,910256,1,Icon_Box_SP_03
6,6,490020,1,Icon_Box_Rune_02
6,6,910255,1,Icon_Shop_Gacha_Armor_01
7,6,500401,3,Icon_QuestScroll_S
7,6,911200,1,Icon_Box_BossReward
7,6,910256,1,Icon_Box_SP_03
7,6,490020,1,Icon_Box_Rune_02
7,6,910255,1,Icon_Shop_Gacha_Armor_01
8,6,500401,3,Icon_QuestScroll_S
8,6,911200,1,Icon_Box_BossReward
8,6,910256,1,Icon_Box_SP_03
8,6,490020,1,Icon_Box_Rune_02
8,6,910255,1,Icon_Shop_Gacha_Armor_01
9,6,500401,3,Icon_QuestScroll_S
9,6,911200,1,Icon_Box_BossReward
9,6,910256,1,Icon_Box_SP_03
9,6,490020,1,Icon_Box_Rune_02
9,6,910255,1,Icon_Shop_Gacha_Armor_01
10,6,500401,3,Icon_QuestScroll_S
10,6,911200,1,Icon_Box_BossReward
10,6,910256,1,Icon_Box_SP_03
10,6,490020,1,Icon_Box_Rune_02
10,6,910255,1,Icon_Shop_Gacha_Armor_01
35,6,500401,3,Icon_QuestScroll_S
35,6,911200,1,Icon_Box_BossReward
35,6,910256,1,Icon_Box_SP_03
35,6,490020,1,Icon_Box_Rune_02
35,6,910255,1,Icon_Shop_Gacha_Armor_01
36,6,500401,3,Icon_QuestScroll_S
36,6,911200,1,Icon_Box_BossReward
36,6,910256,1,Icon_Box_SP_03
36,6,490020,1,Icon_Box_Rune_02
36,6,910255,1,Icon_Shop_Gacha_Armor_01
37,6,500401,3,Icon_QuestScroll_S
37,6,911200,1,Icon_Box_BossReward
37,6,910256,1,Icon_Box_SP_03
37,6,490020,1,Icon_Box_Rune_02
37,6,910255,1,Icon_Shop_Gacha_Armor_01
38,6,500401,3,Icon_QuestScroll_S
38,6,911200,1,Icon_Box_BossReward
38,6,910256,1,Icon_Box_SP_03
38,6,490020,1,Icon_Box_Rune_02
38,6,910255,1,Icon_Shop_Gacha_Armor_01
39,6,500401,3,Icon_QuestScroll_S
39,6,911200,1,Icon_Box_BossReward
39,6,910256,1,Icon_Box_SP_03
39,6,490020,1,Icon_Box_Rune_02
39,6,910255,1,Icon_Shop_Gacha_Armor_01
40,6,500401,3,Icon_QuestScroll_S
40,6,911200,1,Icon_Box_BossReward
40,6,910256,1,Icon_Box_SP_03
40,6,490020,1,Icon_Box_Rune_02
40,6,910255,1,Icon_Shop_Gacha_Armor_01
65,6,500401,3,Icon_QuestScroll_S
65,6,911200,1,Icon_Box_BossReward
65,6,910256,1,Icon_Box_SP_03
65,6,490020,1,Icon_Box_Rune_02
65,6,910255,1,Icon_Shop_Gacha_Armor_01
66,6,500401,3,Icon_QuestScroll_S
66,6,911200,1,Icon_Box_BossReward
66,6,910256,1,Icon_Box_SP_03
66,6,490020,1,Icon_Box_Rune_02
66,6,910255,1,Icon_Shop_Gacha_Armor_01
67,6,500401,3,Icon_QuestScroll_S
67,6,911200,1,Icon_Box_BossReward
67,6,910256,1,Icon_Box_SP_03
67,6,490020,1,Icon_Box_Rune_02
67,6,910255,1,Icon_Shop_Gacha_Armor_01
68,6,500401,3,Icon_QuestScroll_S
68,6,911200,1,Icon_Box_BossReward
68,6,910256,1,Icon_Box_SP_03
68,6,490020,1,Icon_Box_Rune_02
68,6,910255,1,Icon_Shop_Gacha_Armor_01
69,6,500401,3,Icon_QuestScroll_S
69,6,911200,1,Icon_Box_BossReward
69,6,910256,1,Icon_Box_SP_03
69,6,490020,1,Icon_Box_Rune_02
69,6,910255,1,Icon_Shop_Gacha_Armor_01
70,6,500401,3,Icon_QuestScroll_S
70,6,911200,1,Icon_Box_BossReward
70,6,910256,1,Icon_Box_SP_03
70,6,490020,1,Icon_Box_Rune_02
70,6,910255,1,Icon_Shop_Gacha_Armor_01
95,6,500401,3,Icon_QuestScroll_S
95,6,911200,1,Icon_Box_BossReward
95,6,910256,1,Icon_Box_SP_03
95,6,490020,1,Icon_Box_Rune_02
95,6,910255,1,Icon_Shop_Gacha_Armor_01
96,6,500401,3,Icon_QuestScroll_S
96,6,911200,1,Icon_Box_BossReward
96,6,910256,1,Icon_Box_SP_03
96,6,490020,1,Icon_Box_Rune_02
96,6,910255,1,Icon_Shop_Gacha_Armor_01
97,6,500401,3,Icon_QuestScroll_S
97,6,911200,1,Icon_Box_BossReward
97,6,910256,1,Icon_Box_SP_03
97,6,490020,1,Icon_Box_Rune_02
97,6,910255,1,Icon_Shop_Gacha_Armor_01
98,6,500401,3,Icon_QuestScroll_S
98,6,911200,1,Icon_Box_BossReward
98,6,910256,1,Icon_Box_SP_03
98,6,490020,1,Icon_Box_Rune_02
98,6,910255,1,Icon_Shop_Gacha_Armor_01
99,6,500401,3,Icon_QuestScroll_S
99,6,911200,1,Icon_Box_BossReward
99,6,910256,1,Icon_Box_SP_03
99,6,490020,1,Icon_Box_Rune_02
99,6,910255,1,Icon_Shop_Gacha_Armor_01
100,6,500401,3,Icon_QuestScroll_S
100,6,911200,1,Icon_Box_BossReward
100,6,910256,1,Icon_Box_SP_03
100,6,490020,1,Icon_Box_Rune_02
100,6,910255,1,Icon_Shop_Gacha_Armor_01
