Id,GroupId,Name,UnusedGrade,ItemGrade
1,0,AUCTION_HOUSE_TYPE_ALL,1,9
201,2,AUCTION_SUB_GROUP_SWORD,0,4
202,2,AUCTION_SUB_GROUP_DUALSWORD,0,4
203,2,AUCTION_SUB_GROUP_DAGGER,0,4
204,2,AUCTION_SUB_GROUP_SPEAR,0,4
205,2,AUCTION_SUB_GROUP_BOW,0,4
206,2,AUCTION_SUB_GROUP_STAFF,0,4
301,3,AUCTION_SUB_GROUP_HELMET,0,4
302,3,AUCTION_SUB_GROUP_ARMOR,0,4
303,3,AUCTION_SUB_GROUP_GLOVES,0,4
304,3,AUCTION_SUB_GROUP_BOOTS,0,4
401,4,AUCTION_SUB_GROUP_EARRING,0,4
402,4,AUCTION_SUB_GROUP_RING,0,4
403,4,AUCTION_SUB_GROUP_NECKLACE,0,4
501,5,AUCTION_SUB_GROUP_ATTACKPOWER,0,4
502,5,AUCTION_SUB_GROUP_DEFENSEPOWER,0,4
503,5,AUCTION_SUB_GROUP_HP,0,4
504,5,AUCTION_SUB_GROUP_HIT,0,4
505,5,AUCTION_SUB_GROUP_DODGE,0,4
506,5,AUCTION_SUB_GROUP_CRITICAL,0,4
507,5,AUCTION_SUB_GROUP_ANTICRITICAL,0,4
508,5,AUCTION_SUB_GROUP_PENETRATION,0,4
509,5,AUCTION_SUB_GROUP_RESILIENCE,0,4
605,6,AUCTION_SUB_GROUP_REDHERB,1,9
606,6,AUCTION_SUB_GROUP_BLUEHERB,1,9
607,6,AUCTION_SUB_GROUP_PURPLEHERB,1,9
608,6,AUCTION_SUB_GROUP_YELLOWHERB,1,9
609,6,AUCTION_SUB_GROUP_REDRECIPE,1,9
610,6,AUCTION_SUB_GROUP_BLUERECIPE,1,9
611,6,AUCTION_SUB_GROUP_PURPLERECIPE,1,9
612,6,AUCTION_SUB_GROUP_YELLOWRECIPE,1,9
701,7,AUCTION_SUB_GROUP_WEAPONENCHANTSCROLL,1,9
702,7,AUCTION_SUB_GROUP_ARMORENCHANTSCROLL,1,9
703,7,AUCTION_SUB_GROUP_ACCESSORYENCHANTSCROLL,1,9
704,7,AUCTION_SUB_GROUP_BLESSEDWEAPONENCHANTSCROLL,1,9
705,7,AUCTION_SUB_GROUP_BLESSEDARMORENCHANTSCROLL,1,9
706,7,AUCTION_SUB_GROUP_BLESSEDACCESSORYENCHANTSCROLL,1,9
707,7,AUCTION_SUB_GROUP_WEAPONUPGRADESTONE,1,9
708,7,AUCTION_SUB_GROUP_ARMORUPGRADESTONE,1,9
709,7,AUCTION_SUB_GROUP_ACCESSORYUPGRADESTONE,1,9
710,7,AUCTION_SUB_GROUP_PROTECTIONJEWEL,1,9
711,7,AUCTION_SUB_GROUP_ABILITYSTONE,0,4
712,7,AUCTION_SUB_GROUP_LIMITBREAK,0,6
801,8,AUCTION_SUB_GROUP_TALKINGSISLANDEASTERN,0,1
802,8,AUCTION_SUB_GROUP_TALKINGSISLANDEASWESTERN,0,1
803,8,AUCTION_SUB_GROUP_ELVENRUINS1,0,3
804,8,AUCTION_SUB_GROUP_ELVENRUINS2,0,3
805,8,AUCTION_SUB_GROUP_GLUDINMAINROAD,0,1
806,8,AUCTION_SUB_GROUP_GLUDIOPLAIN,0,1
807,8,AUCTION_SUB_GROUP_WINDAWOOD,0,1
808,8,AUCTION_SUB_GROUP_WASTELAND,0,1
809,8,AUCTION_SUB_GROUP_ANTTUNNEL1,0,3
810,8,AUCTION_SUB_GROUP_ANTTUNNEL2,0,3
811,8,AUCTION_SUB_GROUP_PASTURE,0,1
812,8,AUCTION_SUB_GROUP_CRUMASWAMP,0,1
813,8,AUCTION_SUB_GROUP_PEAKSOFSTRUGGLE,0,1
814,8,AUCTION_SUB_GROUP_SCREAM,0,1
815,8,AUCTION_SUB_GROUP_CRUMATOWER2,0,3
816,8,AUCTION_SUB_GROUP_CRUMATOWER3,0,3
817,8,AUCTION_SUB_GROUP_GIRANDOMINION,0,1
818,8,AUCTION_SUB_GROUP_DEATHCOASTALFOG,0,1
819,8,AUCTION_SUB_GROUP_DEVILISLE,0,1
820,8,AUCTION_SUB_GROUP_ROADSIDEOFDEATH,0,1
824,8,AUCTION_SUB_GROUP_IVORYTOBASEMENT1,0,3
825,8,AUCTION_SUB_GROUP_IVORYTOBASEMENT2,0,3
826,8,AUCTION_SUB_GROUP_IVORYTOBASEMENT3,0,3
901,9,AUCTION_SUB_GROUP_HPPOTION,1,9
902,9,AUCTION_SUB_GROUP_MPPOTION,1,9
903,9,AUCTION_SUB_GROUP_HIGHHPPOTION,1,9
904,9,AUCTION_SUB_GROUP_HIGHMPPOTION,1,9
905,9,AUCTION_SUB_GROUP_RUNEPIECE,1,9
906,9,AUCTION_SUB_GROUP_SOULSHOT,1,9
907,9,AUCTION_SUB_GROUP_TELEPORTSCROLL,1,9
908,9,AUCTION_SUB_GROUP_QUESTSCROLL,0,3
909,9,AUCTION_SUB_GROUP_SUMMONGEM,1,9
1001,10,AUCTION_SUB_GROUP_SKILLBOOK,1,9
1002,10,AUCTION_SUB_GROUP_SKILLBOOKPAGE,1,9
1101,11,AUCTION_SUB_GROUP_LECIPE,0,7
1102,11,AUCTION_SUB_GROUP_EquipmemtMaterial,1,9
1103,11,AUCTION_SUB_GROUP_UpgradeCrystal,1,9
1201,12,AUCTION_SUB_GROUP_PetEquipment,0,4
1204,12,AUCTION_SUB_GROUP_PetEquipmentEnchantMaterial,0,4
1205,12,AUCTION_SUB_GROUP_PetEtc,0,4
9901,99,AUCTION_SUB_GROUP_ETC,1,9
