Id,Order,StayTime,ReNotice,SwipeDelete,Option,Vibration,SoundName
1,3,3,,,,,UI_Common_Chat_1
2,,3,,,,,UI_Common_Chat_1
3,,3,,,1,,UI_Common_Chat_1
4,,3,,,1,,UI_Common_Chat_1
5,,3,,,1,,UI_Common_Chat_1
6,,3,,,1,,UI_Common_Chat_1
7,,3,,,1,,UI_Common_Chat_1
8,,3,,,1,,UI_Common_Chat_1
9,,3,,,1,,UI_Common_Chat_1
10,,3,,,1,,UI_Common_Chat_1
11,,3,,,1,,UI_Common_Chat_1
12,,3,,,1,,UI_Common_Chat_1
13,10,10,,1,1,1,UI_Common_PartyInvited_2
14,,3,3,,,,UI_Common_Chat_1
15,10,10,,1,1,1,UI_Common_PartyInvited_2
16,10,3,,,1,,UI_Common_Chat_1
17,10,10,,1,1,1,UI_Common_PartyInvited_2
18,10,10,,1,1,1,UI_Common_PartyInvited
19,10,10,,1,1,1,UI_Common_PartyInvited_2
20,10,10,,1,1,1,UI_Common_PartyInvited_2
21,10,10,,1,1,1,UI_Common_PartyInvited_2
22,10,10,,1,1,1,UI_Common_PartyInvited_2
23,10,3,,,1,,UI_Common_Chat_1
24,,3,,,1,,UI_Common_PartyInvited
25,5,3,,,1,,UI_Common_PartyInvited
26,,3,,,1,,UI_Common_Chat_1
27,,3,,,1,,UI_Common_Chat_1
28,5,3,,,1,,UI_Common_Chat_1
29,10,10,,1,1,1,UI_Common_PartyInvited_2
30,10,10,,1,1,1,UI_Common_PartyInvited
31,3,3,,,1,,UI_Common_Chat_1
32,,3,,,,,UI_Common_Chat_1
33,,3,,,1,,UI_Common_Chat_1
34,,3,,,1,,UI_Common_Chat_1
35,1,3,1800,,1,,UI_Common_Chat_1
36,,3,3,,1,,UI_Common_Chat_1
37,,3,,,1,,UI_Common_Chat_1
38,,3,,,,,UI_Common_Chat_1
39,,3,,,,,UI_Common_Chat_1
40,10,5,,,1,,UI_Common_PartyInvited_2
41,,3,,,,,UI_Common_Chat_1
42,10,5,5,,1,,UI_Common_PartyInvited_2
43,,3,,,,,UI_Common_Chat_1
44,,3,,,,,UI_Common_Chat_1
45,,3,,,1,,UI_Common_Chat_1
46,,3,,,,,UI_Common_Chat_1
47,,3,,,1,,UI_Common_Chat_1
48,,3,,,1,,UI_Common_Chat_1
49,,3,,,,,UI_Common_Chat_1
50,,3,,,,,UI_Common_Chat_1
51,,3,,,,,UI_Common_Chat_1
52,10,3,,,1,,UI_Common_Chat_1
53,5,5,,,1,,UI_Common_Chat_1
54,5,5,,,1,,UI_Common_Chat_1
55,5,5,,,1,,UI_Common_PartyInvited
56,5,5,,,1,,UI_Common_PartyInvited
57,,3,,,1,,UI_Common_Chat_1
58,,3,,,1,,UI_Common_Chat_1
59,,3,,,1,,UI_Common_Chat_1
60,,3,,,,,UI_Common_Chat_1
61,,3,,,,,UI_Common_Chat_1
62,,3,,,,,UI_Common_Chat_1
63,,3,,,,,UI_Common_Chat_1
64,,3,,,,,UI_Common_Chat_1
65,,3,,,1,,UI_Common_Chat_1
66,,3,,,1,,UI_Common_Chat_1
67,,3,,,,,UI_Common_Chat_1
68,,3,,,,,UI_Common_Chat_1
69,5,10,,1,1,1,UI_Common_PartyInvited_2
70,3,3,,,1,,UI_Common_Chat_1
71,10,3,,,1,,UI_Common_Chat_1
72,10,3,,,1,,UI_Common_Chat_1
73,10,3,,,1,,UI_Common_Chat_1
74,10,3,,,1,,UI_Common_Chat_1
75,10,10,,1,1,1,UI_Common_PartyInvited_2
76,10,10,,1,1,1,UI_Common_PartyInvited_2
77,10,3,,,1,1,UI_Common_Chat_1
78,10,3,,,1,1,UI_Common_Chat_1
79,,3,,,1,,UI_Common_Chat_1
80,,3,,,1,,UI_Common_Chat_1
81,,3,,,,,UI_Common_Chat_1
82,,5,,,1,,UI_Common_Chat_1
83,,3,,,,,UI_Common_Chat_1
84,,3,,,,,UI_Common_Chat_1
85,,5,,,1,1,UI_Common_Chat_1
86,,5,,,1,1,UI_Common_Chat_1
87,,3,,,1,,UI_Common_Chat_1
88,5,3,,,1,,UI_Common_Chat_1
89,10,10,,1,1,1,UI_Common_PartyInvited_2
90,10,10,,1,1,1,UI_Common_PartyInvited_2
91,10,10,,1,1,1,UI_Common_PartyInvited_2
92,10,15,,1,1,1,UI_Common_Chat_1
810000001,10,4,,,1,1,UI_Common_PartyInvited_2
810000002,20,4,,1,1,1,UI_Common_Chat_1
