AbilityLevel,ItemGrade,RequiredAdena,SuccessRate,FailAddRate
1,4,5000,5000,100
1,5,5000,9000,300
1,6,5000,10000,500
1,7,5000,10000,500
2,4,10000,4500,100
2,5,10000,8500,300
2,6,10000,10000,500
2,7,10000,10000,500
3,4,20000,2500,100
3,5,20000,5000,300
3,6,20000,8000,500
3,7,20000,8000,500
4,4,30000,2000,100
4,5,30000,4000,300
4,6,30000,7000,500
4,7,30000,7000,500
5,4,100000,1500,100
5,5,100000,3000,300
5,6,100000,6000,500
5,7,100000,6000,500
6,4,150000,1000,100
6,5,150000,2000,300
6,6,150000,5000,500
6,7,150000,5000,500
7,4,200000,200,100
7,5,200000,1000,300
7,6,200000,3500,500
7,7,200000,3500,500
8,4,1000000,100,100
8,5,1000000,500,300
8,6,1000000,3000,500
8,7,1000000,3000,500
9,4,1500000,100,100
9,5,1500000,500,300
9,6,1500000,3000,500
9,7,1500000,3000,500
10,4,99999999,99,99
10,5,99999999,99,99
10,6,99999999,99,99
10,7,99999999,99,99
