Id,ProductType,ItemInfoId,ProductValue
1,2,,1500
1,6,911132,1
2,2,,500
2,6,491010,1
3,2,,500
3,6,491020,1
4,2,,1000
4,6,491030,1
5,2,,1500
5,6,491045,1
6,2,,1500
6,6,491070,1
7,2,,2000
7,6,491120,1
11,2,,1500
12,2,,100
12,6,490019,1
12,6,910007,1
13,2,,100
13,6,490019,1
13,6,910007,2
13,6,410002,1
14,2,,100
14,6,490019,1
14,6,910007,3
14,6,410003,1
15,2,,100
15,6,490019,1
15,6,910007,4
15,6,410001,1
16,2,,100
16,6,490019,1
16,6,910007,6
16,6,410002,1
17,2,,100
17,6,490019,1
17,6,910007,8
17,6,410003,1
18,2,,100
18,6,490019,1
18,6,910007,10
18,6,410001,1
20,2,,1000
21,2,,500
21,6,911179,1
21,6,400001,500
22,2,,500
22,6,911179,1
22,6,400001,500
23,2,,500
23,6,911179,1
23,6,400001,500
24,2,,500
24,6,911179,1
24,6,400001,500
25,2,,500
25,6,911179,1
25,6,400001,500
26,2,,500
26,6,911179,1
26,6,400001,500
27,2,,500
27,6,911179,1
27,6,400001,500
28,2,,500
28,6,911179,1
28,6,400001,500
30,2,,1000
31,2,,500
31,6,910301,1
31,6,449999,1
31,6,400002,40
32,2,,500
32,6,910301,1
32,6,449999,1
32,6,400002,40
33,2,,500
33,6,910301,1
33,6,449999,1
33,6,400002,40
34,2,,500
34,6,910301,1
34,6,449999,1
34,6,400002,40
35,2,,500
35,6,910301,1
35,6,449999,1
35,6,400002,40
36,2,,500
36,6,910301,1
36,6,449999,1
36,6,400002,40
37,2,,500
37,6,910301,1
37,6,449999,1
37,6,400002,40
38,2,,500
38,6,910301,1
38,6,449999,1
38,6,400002,40
39,2,,500
39,6,910301,1
39,6,449999,1
39,6,400002,40
40,2,,500
40,6,910301,1
40,6,449999,1
40,6,400002,40
101,6,490007,1
102,6,490007,1
103,6,490007,1
104,6,490008,1
105,6,490008,1
106,6,490008,1
107,6,490008,1
108,6,490008,1
109,6,490008,1
110,6,490008,1
111,6,490009,1
112,6,490009,1
101,6,490046,1
102,6,490046,2
103,6,490046,3
104,6,490046,4
105,6,490047,1
106,6,490047,5
107,6,490047,5
108,6,490047,1
109,6,490047,1
110,6,490047,2
111,6,490047,2
112,6,490047,2
101,6,900006,1
102,6,900006,1
103,6,900006,1
104,6,900006,1
105,6,900007,1
106,6,900007,1
107,6,900007,1
108,6,900007,1
109,6,900007,1
110,6,900007,1
111,6,900007,1
112,6,900007,1
1101,2,490003,100
1102,2,490003,300
1103,2,490003,500
1104,2,490003,1000
1105,2,490003,2000
1106,2,490003,3000
1102,6,490011,3
1103,6,490011,5
1104,6,400002,150
1105,6,400002,300
1106,6,400002,500
1105,6,400000,1
1106,6,400000,1
2101,6,490030,1
2102,6,490030,2
2103,6,490030,3
2104,6,490030,4
2105,6,490030,5
2106,6,490030,6
2107,6,490030,7
2108,6,490030,8
2109,6,490030,9
2110,6,490030,10
2111,6,490030,10
2112,6,490030,10
2101,6,490043,3
2102,6,490044,1
2103,6,490044,2
2104,6,490044,5
2105,6,490044,7
2106,6,490044,10
2107,6,490044,12
2108,6,490044,14
2109,6,490044,16
2110,6,490044,18
2111,6,490044,20
2112,6,490044,25
3101,6,911176,1
3102,6,911176,1
3103,6,911177,1
3104,6,911177,1
3105,6,911178,1
3106,6,911178,1
3107,6,911179,1
3108,6,911179,1
3109,6,911180,1
3110,6,911180,1
3102,6,490005,50
3103,6,490005,100
3104,6,490005,200
3105,6,490005,300
3106,6,490005,400
3107,6,490005,500
3108,6,490005,600
3109,6,490005,700
3110,6,490005,800
3108,6,900012,1
3109,6,900012,1
3110,6,900012,1
1001,2,,1500
1001,6,490027,1
1002,2,,500
1002,6,490066,20
1003,2,,500
1003,6,490066,20
1004,2,,1000
1004,6,490027,1
1005,2,,1000
1005,6,490066,20
1006,2,,1000
1006,6,490066,20
1007,2,,1000
1007,6,490037,1
1300,2,,1000
1301,2,,1000
1301,6,910301,1
1301,6,449999,1
1301,6,400002,40
1302,2,,1000
1302,6,910301,1
1302,6,449999,1
1302,6,400002,40
1303,2,,1000
1303,6,910301,1
1303,6,449999,1
1303,6,400002,40
1304,2,,1000
1304,6,910301,1
1304,6,449999,1
1304,6,400002,40
