Id,Param1,BuffType,ClientType,Param,Param2,Group,StackCount,Duration,Period,VisualEffectId,ExtendVisualEffectId,IconTexture,CameraShake,CameraShakeIntensity,Sound
4,,5,0,,,,1,6000,2000,5,,Icon_Debuff_Poison,,,
6,,5,5,,,,1,3600000,,,,Icon_Debuff_Poison,,,
7,,5,6,"{""Color"":{""R"":1,""G"":1,""B"":1},
""Intensity"":1,
""Speed"":1}",,,1,6000000,,40020482,,,,,
8,,5,6,"{""Color"":{""R"":255,""G"":1,""B"":1},
""Intensity"":10,
""Speed"":1}",,,1,6000000,,40020482,,,,,
1001,,5,2,,,1003,1,2000,,,,,,,
1002,,5,2,,,1003,1,2000,,,,,,,
1003,,5,2,,,1003,1,2500,,,,,,,
1004,,5,0,,,,1,10000,,,,Icon_Buff_Invincible,,,
1005,,5,0,,,,1,10000,,,,Icon_Buff_Invincible,,,
1006,,5,2,,,1003,1,2000,,,,,,,
1011,,5,4,,,1002,1,2000,,1,,,,,
10111,,5,2,,,1003,1,2000,,,,,,,
10122,,5,0,,,1001,1,4000,,,,Icon_Skill_Active_10122,,,
11211,,5,0,,,,1,8000,,,,Icon_Skill_Active_11211,,,
112124,,5,10,,,,1,4000,,,,Icon_Skill_Active_11212,,,
112125,,5,0,,,,1,8001,,,,Icon_Skill_Active_11212,,,
112126,,5,0,,,,1,8000,,,,,,,
11213,,5,0,,,,1,15001,,,,Icon_Skill_Active_11213,,,
11221,,5,0,,,,1,6000,,,,Icon_Skill_Active_11221,,,
11222,,5,4,,,1002,1,2000,,1,,Icon_Skill_Active_11222,,,
112231,,5,0,,,,1,15001,,,,Icon_Skill_Active_11223,,,
11231,,5,0,,,,1,10001,,,,Icon_Skill_Active_11231,,,
11232,,5,4,,,1002,1,3000,,1,,Icon_Skill_Active_11232,,,
112331,,5,0,,,,1,15001,,,,Icon_Skill_Active_11233,,,
112332,,5,0,,,,1,15001,,,,Icon_Skill_Active_11233,,,
11242,,5,0,,,,1,3000,,,,Icon_Skill_Active_11242,,,
11243,,5,0,,,,1,15001,,,,Icon_Skill_Active_11243,,,
