Group,Type,Day,RewardType,RewardItemInfoId,RewardCount,RewardIcon
22,2,1,2,,500,Icon_Asset_Diamond_02
22,2,2,6,900010,5,Icon_Gacha_EnchantScroll
22,2,3,1,,100000,Icon_Asset_Adena_01
22,2,4,6,910302,10,Icon_GachaItem_MonsterCore
22,2,5,6,900010,5,Icon_Gacha_EnchantScroll
22,2,6,1,,100000,Icon_Asset_Adena_01
22,2,7,6,400000,3,Icon_Asset_Protector_01
22,0,1,2,,500,Icon_Asset_Diamond_02
22,0,2,6,900010,5,Icon_Gacha_EnchantScroll
22,0,3,1,,100000,Icon_Asset_Adena_01
22,0,4,6,910302,10,Icon_GachaItem_MonsterCore
22,0,5,6,900010,5,Icon_Gacha_EnchantScroll
22,0,6,1,,100000,Icon_Asset_Adena_01
22,0,7,6,400000,3,Icon_Asset_Protector_01
22,1,1,2,,500,Icon_Asset_Diamond_02
22,1,2,6,900010,5,Icon_Gacha_EnchantScroll
22,1,3,1,,100000,Icon_Asset_Adena_01
22,1,4,6,910302,10,Icon_GachaItem_MonsterCore
22,1,5,6,900010,5,Icon_Gacha_EnchantScroll
22,1,6,1,,100000,Icon_Asset_Adena_01
22,1,7,6,400000,3,Icon_Asset_Protector_01
23,2,1,6,910222,3,Icon_Box_SkillBookPage
23,2,2,6,910222,3,Icon_Box_SkillBookPage
23,2,3,6,910222,3,Icon_Box_SkillBookPage
23,2,4,6,910222,3,Icon_Box_SkillBookPage
23,2,5,6,910222,3,Icon_Box_SkillBookPage
23,2,6,6,910222,3,Icon_Box_SkillBookPage
23,2,7,6,913001,3,Icon_Box_SkillBookPage
23,0,1,6,910222,3,Icon_Box_SkillBookPage
23,0,2,6,910222,3,Icon_Box_SkillBookPage
23,0,3,6,910222,3,Icon_Box_SkillBookPage
23,0,4,6,910222,3,Icon_Box_SkillBookPage
23,0,5,6,910222,3,Icon_Box_SkillBookPage
23,0,6,6,910222,3,Icon_Box_SkillBookPage
23,0,7,6,913001,3,Icon_Box_SkillBookPage
23,1,1,6,910222,3,Icon_Box_SkillBookPage
23,1,2,6,910222,3,Icon_Box_SkillBookPage
23,1,3,6,910222,3,Icon_Box_SkillBookPage
23,1,4,6,910222,3,Icon_Box_SkillBookPage
23,1,5,6,910222,3,Icon_Box_SkillBookPage
23,1,6,6,910222,3,Icon_Box_SkillBookPage
23,1,7,6,913001,3,Icon_Box_SkillBookPage
24,2,1,6,490027,3,Icon_Transcendence_02
24,2,2,1,,300000,Icon_Asset_Adena_01
24,2,3,6,910007,30,Icon_Box_Herb_01
24,2,4,6,490032,1,Icon_Box_SP_03
24,2,5,2,,777,Icon_Asset_Diamond_02
24,2,6,6,400000,3,Icon_Asset_Protector_01
24,2,7,6,490037,1,Icon_Transcendence_03
24,0,1,6,490027,3,Icon_Transcendence_02
24,0,2,1,,300000,Icon_Asset_Adena_01
24,0,3,6,910007,30,Icon_Box_Herb_01
24,0,4,6,490032,1,Icon_Box_SP_03
24,0,5,2,,777,Icon_Asset_Diamond_02
24,0,6,6,400000,3,Icon_Asset_Protector_01
24,0,7,6,490037,1,Icon_Transcendence_03
24,1,1,6,490027,3,Icon_Transcendence_02
24,1,2,1,,300000,Icon_Asset_Adena_01
24,1,3,6,910007,30,Icon_Box_Herb_01
24,1,4,6,490032,1,Icon_Box_SP_03
24,1,5,2,,777,Icon_Asset_Diamond_02
24,1,6,6,400000,3,Icon_Asset_Protector_01
24,1,7,6,490037,1,Icon_Transcendence_03
25,2,1,6,81000169,1,Icon_SelectBox_HRValentineWeapon
25,2,2,1,,100000,Icon_Asset_Adena_01
25,2,3,6,81017101,3,Icon_Asset_Protector_01
25,2,4,6,81015101,3,Icon_Asset_Protector_01
25,2,5,6,81019101,3,Icon_Asset_Protector_01
25,2,6,6,81018101,3,Icon_Asset_Protector_01
25,2,7,6,81020101,3,Icon_Asset_Protector_01
25,0,1,6,81000169,1,Icon_SelectBox_HRValentineWeapon
25,0,2,1,,100000,Icon_Asset_Adena_01
25,0,3,6,81017101,3,Icon_Asset_Protector_01
25,0,4,6,81015101,3,Icon_Asset_Protector_01
25,0,5,6,81019101,3,Icon_Asset_Protector_01
25,0,6,6,81018101,3,Icon_Asset_Protector_01
25,0,7,6,81020101,3,Icon_Asset_Protector_01
25,1,1,6,81000169,1,Icon_SelectBox_HRValentineWeapon
25,1,2,1,,100000,Icon_Asset_Adena_01
25,1,3,6,81017101,3,Icon_Asset_Protector_01
25,1,4,6,81015101,3,Icon_Asset_Protector_01
25,1,5,6,81019101,3,Icon_Asset_Protector_01
25,1,6,6,81018101,3,Icon_Asset_Protector_01
25,1,7,6,81020101,3,Icon_Asset_Protector_01
26,2,1,6,81019111,5,Icon_EnchantScroll_01
26,2,2,6,81015111,5,Icon_EnchantScroll_01
26,2,3,6,81017111,5,Icon_EnchantScroll_01
26,2,4,6,910220,10,Icon_Gacha_EnchantScroll
26,2,5,6,81020112,5,Icon_EnchantScroll_02
26,2,6,6,81018112,5,Icon_EnchantScroll_02
26,2,7,6,910237,3,Icon_Gacha_EnchantScroll
26,0,1,6,81019111,5,Icon_EnchantScroll_01
26,0,2,6,81015111,5,Icon_EnchantScroll_01
26,0,3,6,81017111,5,Icon_EnchantScroll_01
26,0,4,6,910220,10,Icon_Gacha_EnchantScroll
26,0,5,6,81020112,5,Icon_EnchantScroll_02
26,0,6,6,81018112,5,Icon_EnchantScroll_02
26,0,7,6,910237,3,Icon_Gacha_EnchantScroll
26,1,1,6,81019111,5,Icon_EnchantScroll_01
26,1,2,6,81015111,5,Icon_EnchantScroll_01
26,1,3,6,81017111,5,Icon_EnchantScroll_01
26,1,4,6,910220,10,Icon_Gacha_EnchantScroll
26,1,5,6,81020112,5,Icon_EnchantScroll_02
26,1,6,6,81018112,5,Icon_EnchantScroll_02
26,1,7,6,910237,3,Icon_Gacha_EnchantScroll
27,2,1,6,81019101,1,Icon_Asset_Protector_01
27,2,2,6,81015101,1,Icon_Asset_Protector_01
27,2,3,6,81017101,1,Icon_Asset_Protector_01
27,2,4,6,400000,3,Icon_Asset_Protector_01
27,2,5,6,81020101,1,Icon_Asset_Protector_01
27,2,6,6,81018101,1,Icon_Asset_Protector_01
27,2,7,6,400000,3,Icon_Asset_Protector_01
27,0,1,6,81019101,1,Icon_Asset_Protector_01
27,0,2,6,81015101,1,Icon_Asset_Protector_01
27,0,3,6,81017101,1,Icon_Asset_Protector_01
27,0,4,6,400000,3,Icon_Asset_Protector_01
27,0,5,6,81020101,1,Icon_Asset_Protector_01
27,0,6,6,81018101,1,Icon_Asset_Protector_01
27,0,7,6,400000,3,Icon_Asset_Protector_01
27,1,1,6,81019101,1,Icon_Asset_Protector_01
27,1,2,6,81015101,1,Icon_Asset_Protector_01
27,1,3,6,81017101,1,Icon_Asset_Protector_01
27,1,4,6,400000,3,Icon_Asset_Protector_01
27,1,5,6,81020101,1,Icon_Asset_Protector_01
27,1,6,6,81018101,1,Icon_Asset_Protector_01
27,1,7,6,400000,3,Icon_Asset_Protector_01
