ShopId,ShopServerType,ProductType,ProductValue,ItemType,Grade,ItemInfoId,ProductItemType
1001,All,1,20000,104,9,,1
1002,All,1,42000,104,9,,1
1003,All,1,88000,104,9,,1
1004,All,1,184000,104,9,,1
1005,All,1,384000,104,9,,1
1006,All,1,800000,104,9,,1
2001,All,3,30,104,9,,1
2001,All,99,30,104,9,,2
2002,All,3,120,104,9,,1
2002,All,99,120,104,9,,2
2002,All,4,3,104,9,,2
2003,All,3,240,104,9,,1
2003,All,99,240,104,9,,2
2003,All,4,6,104,9,,2
2004,All,3,30,104,9,,1
2005,All,3,120,104,9,,1
2005,All,99,10,104,9,,2
2005,All,4,3,104,9,,2
2006,All,3,240,104,9,,1
2006,All,99,30,104,9,,2
2006,All,4,6,104,9,,2
2010,All,3,600,104,9,,1
2010,All,99,120,104,9,,2
2010,All,4,20,104,9,,2
2007,All,3,800,104,9,,1
2007,All,99,250,104,9,,2
2007,All,4,30,104,9,,2
2008,All,3,1200,104,9,,1
2008,All,99,400,104,9,,2
2008,All,4,45,104,9,,2
2009,All,3,2450,104,9,,1
2009,All,99,1050,104,9,,2
2009,All,4,100,104,9,,2
3001,All,1005,1,38,9,900002,1
3002,All,100,1,6,5,410011,1
3003,All,100,1,5,5,410012,1
3004,All,100,1,4,5,410013,1
3005,All,100,1,17,5,400000,1
3006,All,100,1,32,5,490026,1
3007,All,100,1,33,4,490027,1
3008,All,100,1,33,5,490037,1
3009,All,100,1,33,5,490038,1
3011,All,1005,1,38,9,900022,1
3999,All,100,20,13,9,440001,1
4000,All,100,20,15,9,440011,1
4001,All,100,20,13,9,440001,1
4002,All,100,200,13,9,440001,1
4003,All,100,20,13,9,440002,1
4004,All,100,200,13,9,440002,1
4005,All,100,20,15,9,440011,1
4006,All,100,200,15,9,440011,1
4007,All,100,20,15,9,440012,1
4008,All,100,200,15,9,440012,1
4009,All,100,500,18,9,400001,1
4010,All,100,5000,18,9,400001,1
4013,All,100,1,39,9,490000,1
4014,All,100,10,39,9,490000,1
4018,All,100,1,39,9,490000,1
4019,All,100,10,39,9,490000,1
4020,All,100,1,51,9,500302,1
4021,All,100,1,51,9,500402,1
4022,All,100,1,51,9,500502,1
4023,All,100,1,51,9,500602,1
4024,All,100,1,51,9,500702,1
4025,All,100,1,51,9,500802,1
4026,All,100,1,51,9,500902,1
4027,All,100,1,51,9,501002,1
4036,All,100,1,51,9,501102,1
4037,All,100,1,51,9,501202,1
4028,All,100,1,51,9,500301,1
4029,All,100,1,51,9,500401,1
4030,All,100,1,51,9,500501,1
4031,All,100,1,51,9,500601,1
4032,All,100,1,51,9,500701,1
4033,All,100,1,51,9,500801,1
4034,All,100,1,51,9,500901,1
4035,All,100,1,51,9,501001,1
4038,All,100,1,51,9,501101,1
4039,All,100,1,51,9,501201,1
4401,All,100,1,50,9,1000100,1
4402,All,100,1,50,9,1000101,1
4403,All,100,1,50,9,1000102,1
4404,All,100,1,50,9,1000103,1
4405,All,100,1,50,9,1000104,1
4604,All,100,3,38,9,910237,1
4605,All,100,1,33,9,490027,1
4606,All,100,1,17,9,400000,1
4607,All,100,5,17,9,400000,1
4608,All,100,5,38,9,900011,1
4609,All,100,1,32,9,490026,1
4610,All,1005,1,38,9,900022,1
4611,All,100,1,33,9,490037,1
4612,All,100,1,32,9,81022001,1
4613,All,100,1,32,9,81023001,1
4614,All,100,3,17,9,400000,1
4615,All,100,1,6,9,81017114,1
4616,All,100,5,5,9,81018115,1
4617,All,100,100,28,9,490006,1
4618,All,100,500,28,9,490006,1
4619,All,100,1,50,9,1000201,1
4620,All,100,1,50,9,1000202,1
4621,All,100,1,50,9,1000203,1
4622,All,100,5,38,9,900011,1
4623,All,100,1,17,9,81017101,1
4624,All,100,5,17,9,81018101,1
4625,All,100,100,28,9,490006,1
4626,All,100,500,28,9,490006,1
5002,All,1001,1,38,9,900008,1
5003,All,1001,11,38,9,900008,1
5014,All,1001,1,38,9,900008,1
5014,All,5,7,104,9,,2
5015,All,1001,11,38,9,900008,1
5015,All,5,77,104,9,,2
5401,All,1001,11,38,9,900008,1
5402,All,1001,11,11,9,81000080,1
5402,All,5,77,104,9,,2
5403,All,1001,11,11,9,81000081,1
5403,All,5,77,104,9,,2
5404,All,1001,11,38,9,900008,1
5404,All,5,77,104,9,,2
5405,All,1001,11,38,9,900008,1
