Id,ItemAchievementInfoGroupId,Name,TabIndex,Icon,RewardType1,RewardIndex1,RewardQuantity1,RewardIcon1,RewardType2,RewardIndex2,RewardQuantity2,RewardIcon2,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,EffectType4,EffectParam4,EffectType5,EffectParam5
810001002,815001020,"[장비 레벨업]
노멀공격 특성 무기",,Ability_Icon_Genocide,26,,,CharacterTitle_Ability_Genocide,26,,,,1,952,2,952,246,,246,,246,
810001003,815001030,"[장비 강화]
노멀공격 특성 무기",,Ability_Icon_Genocide,26,,,CharacterTitle_Ability_Genocide,26,,,,1,952,2,952,246,,246,,246,
810001004,815001040,"[특성 레벨업]
노멀공격 특성 무기",,Ability_Icon_Genocide,26,,,CharacterTitle_Ability_Genocide,26,,,,1,952,2,952,246,,246,,246,
810001007,815002020,"[장비 레벨업]
엘리트공격 특성 무기",,Ability_Icon_Hunting,26,,,CharacterTitle_Ability_Hunting,26,,,,1,952,2,952,246,,246,,246,
810001008,815002030,"[장비 강화]
엘리트공격 특성 무기",,Ability_Icon_Hunting,26,,,CharacterTitle_Ability_Hunting,26,,,,1,952,2,952,246,,246,,246,
810001009,815002040,"[특성 레벨업]
엘리트공격 특성 무기",,Ability_Icon_Hunting,26,,,CharacterTitle_Ability_Hunting,26,,,,1,952,2,952,246,,246,,246,
810001012,815003020,"[장비 레벨업]
보스공격 특성 무기",,Ability_Icon_Courage,26,,,CharacterTitle_Ability_Courage,26,,,,1,952,2,952,246,,246,,246,
810001013,815003030,"[장비 강화]
보스공격 특성 무기",,Ability_Icon_Courage,26,,,CharacterTitle_Ability_Courage,26,,,,1,952,2,952,246,,246,,246,
810001014,815003040,"[특성 레벨업]
보스공격 특성 무기",,Ability_Icon_Courage,26,,,CharacterTitle_Ability_Courage,26,,,,1,952,2,952,246,,246,,246,
810001017,815004020,"[장비 레벨업]
PVP특성 무기",,Ability_Icon_Stab,26,,,CharacterTitle_Ability_Stab,26,,,,1,952,2,952,246,,246,,246,
810001018,815004030,"[장비 강화]
PVP특성 무기",,Ability_Icon_Stab,26,,,CharacterTitle_Ability_Stab,26,,,,1,952,2,952,246,,246,,246,
810001019,815004040,"[특성 레벨업]
PVP특성 무기",,Ability_Icon_Stab,26,,,CharacterTitle_Ability_Stab,26,,,,1,952,2,952,246,,246,,246,
810001022,815005020,"[장비 레벨업]
번뜩임특성 무기",,Ability_Icon_Sparkle,26,,,CharacterTitle_Ability_Detection,26,,,,1,1,246,,246,,246,,246,
810001023,815005030,"[장비 강화]
번뜩임특성 무기",,Ability_Icon_Sparkle,26,,,CharacterTitle_Ability_Detection,26,,,,1,1,246,,246,,246,,246,
810001024,815005040,"[특성 레벨업]
번뜩임특성 무기",,Ability_Icon_Sparkle,26,,,CharacterTitle_Ability_Detection,26,,,,1,1,246,,246,,246,,246,
810001027,815006020,"[장비 레벨업]
마법계공격특성 무기",,Ability_Icon_Detection,26,,,CharacterTitle_Ability_Sparkle,26,,,,1,952,2,952,246,,246,,246,
810001028,815006030,"[장비 강화]
마볍계공격특성 무기",,Ability_Icon_Detection,26,,,CharacterTitle_Ability_Sparkle,26,,,,1,952,2,952,246,,246,,246,
810001029,815006040,"[특성 레벨업]
마법계공격 특성 무기",,Ability_Icon_Detection,26,,,CharacterTitle_Ability_Sparkle,26,,,,1,952,2,952,246,,246,,246,
810001032,815021020,"[장비 레벨업]
엘리트방어특성 투구",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001033,815021030,"[장비 강화]
엘리트방어특성 투구",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001034,815021040,"[특성 레벨업]
엘리트방어특성 투구",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001037,815022020,"[장비 레벨업]
엘리트방어특성 갑옷",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001038,815022030,"[장비 강화]
엘리트방어특성 갑옷",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001039,815022040,"[특성 레벨업]
엘리트방어특성 갑옷",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001042,815023020,"[장비 레벨업]
엘리트방어특성 장갑",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001043,815023030,"[장비 강화]
엘리트방어특성 장갑",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001044,815023040,"[특성 레벨업]
엘리트방어특성 장갑",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001047,815024020,"[장비 레벨업]
엘리트방어특성 신발",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001048,815024030,"[장비 강화]
엘리트방어특성 신발",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001049,815024040,"[특성 레벨업]
엘리트방어특성 신발",,Ability_Icon_Patience,26,,,CharacterTitle_Ability_Patience,26,,,,21,343,22,343,246,,246,,246,
810001052,815031020,"[장비 레벨업]
보스방어특성 투구",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001053,815031030,"[장비 강화]
보스방어특성 투구",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001054,815031040,"[특성 레벨업]
보스방어특성 투구",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001057,815032020,"[장비 레벨업]
보스방어특성 갑옷",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001058,815032030,"[장비 강화]
보스방어특성 갑옷",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001059,815032040,"[특성 레벨업]
보스방어특성 갑옷",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001062,815033020,"[장비 레벨업]
보스방어특성 장갑",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001063,815033030,"[장비 강화]
보스방어특성 장갑",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001064,815033040,"[특성 레벨업]
보스방어특성 장갑",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001067,815034020,"[장비 레벨업]
보스방어특성 신발",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001068,815034030,"[장비 강화]
보스방어특성 신발",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001069,815034040,"[특성 레벨업]
보스방어특성 신발",,Ability_Icon_Blessing,26,,,CharacterTitle_Ability_Blessing,26,,,,21,343,22,343,246,,246,,246,
810001072,815041020,"[장비 레벨업]
PVP방어특성 투구",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001073,815041030,"[장비 강화]
PVP방어특성 투구",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001074,815041040,"[특성 레벨업]
PVP방어특성 투구",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001077,815042020,"[장비 레벨업]
PVP방어특성 갑옷",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001078,815042030,"[장비 강화]
PVP방어특성 갑옷",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001079,815042040,"[특성 레벨업]
PVP방어특성 갑옷",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001082,815043020,"[장비 레벨업]
PVP방어특성 장갑",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001083,815043030,"[장비 강화]
PVP방어특성 장갑",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001084,815043040,"[특성 레벨업]
PVP방어특성 장갑",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001087,815044020,"[장비 레벨업]
PVP방어특성 신발",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001088,815044030,"[장비 강화]
PVP방어특성 신발",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001089,815044040,"[특성 레벨업]
PVP방어특성 신발",,Ability_Icon_Impregnable,26,,,CharacterTitle_Ability_Impregnable,26,,,,21,343,22,343,246,,246,,246,
810001092,815051020,"[장비 레벨업]
마법계방어특성 투구",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
810001093,815051030,"[장비 강화]
마법계방어특성 투구",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
810001094,815051040,"[특성 레벨업]
마법계방어특성 투구",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
810001097,815052020,"[장비 레벨업]
마법계방어특성 갑옷",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
810001098,815052030,"[장비 강화]
마법계방어특성 갑옷",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
810001099,815052040,"[특성 레벨업]
마법계방어특성 갑옷",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
810001102,815053020,"[장비 레벨업]
마법계방어특성 장갑",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
810001103,815053030,"[장비 강화]
마법계방어특성 장갑",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
810001104,815053040,"[특성 레벨업]
마법계방어특성 장갑",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
810001107,815054020,"[장비 레벨업]
마법계방어특성 신발",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
810001108,815054030,"[장비 강화]
마법계방어특성 신발",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
810001109,815054040,"[특성 레벨업]
마법계방어특성 신발",,Ability_Icon_Guard,26,,,CharacterTitle_Ability_Guard,26,,,,21,343,22,343,246,,246,,246,
