Id,EmoticonTabType,ShortcutKey,EmoticonPath
1,0,(ウィンク),Emoticon_Emotion_01
2,0,(笑顔),Emoticon_Emotion_02
3,0,(べー),Emoticon_Emotion_03
4,0,(爆笑),Emoticon_Emotion_04
5,0,(ドヤ),Emoticon_Emotion_05
6,0,(落ち込み),Emoticon_Emotion_06
7,0,(不満),Emoticon_Emotion_07
8,0,(チュー),Emoticon_Emotion_08
9,0,(びっくり),Emoticon_Emotion_09
10,0,(ドン引き),Emoticon_Emotion_10
11,0,(感激),Emoticon_Emotion_11
12,0,(挫折),Emoticon_Emotion_12
13,0,(鼻血),Emoticon_Emotion_13
14,0,(ため息),Emoticon_Emotion_14
15,0,(涙),Emoticon_Emotion_15
16,0,(ラブ),Emoticon_Emotion_16
17,0,(病気),Emoticon_Emotion_17
18,0,(怒り),Emoticon_Emotion_18
19,0,(混乱),Emoticon_Emotion_19
20,0,(ショック),Emoticon_Emotion_20
21,0,(イライラ),Emoticon_Emotion_21
22,0,(いたずら),Emoticon_Emotion_22
23,0,(沈黙),Emoticon_Emotion_23
24,0,(netmarble_01),Chattingapp_Emotion_01
25,0,(netmarble_02),Chattingapp_Emotion_02
26,0,(netmarble_03),Chattingapp_Emotion_03
27,0,(netmarble_04),Chattingapp_Emotion_04
28,0,(netmarble_05),Chattingapp_Emotion_05
29,0,(netmarble_06),Chattingapp_Emotion_06
30,0,(netmarble_07),Chattingapp_Emotion_07
31,0,(netmarble_08),Chattingapp_Emotion_08
32,0,(netmarble_09),Chattingapp_Emotion_09
33,0,(netmarble_10),Chattingapp_Emotion_10
34,0,(netmarble_11),Chattingapp_Emotion_11
35,0,(netmarble_12),Chattingapp_Emotion_12
36,0,(netmarble_13),Chattingapp_Emotion_13
37,0,(netmarble_14),Chattingapp_Emotion_14
38,0,(netmarble_15),Chattingapp_Emotion_15
39,0,(netmarble_16),Chattingapp_Emotion_16
40,0,(netmarble_17),Chattingapp_Emotion_17
41,0,(netmarble_18),Chattingapp_Emotion_18
42,0,(netmarble_19),Chattingapp_Emotion_19
43,0,(netmarble_20),Chattingapp_Emotion_20
44,0,(netmarble_winter_02),Chattingapp_Emotion_21
45,0,(netmarble_winter_03),Chattingapp_Emotion_22
46,0,(netmarble_winter_04),Chattingapp_Emotion_23
47,0,(netmarble_winter_05),Chattingapp_Emotion_24
48,0,(netmarble_winter_06),Chattingapp_Emotion_25
49,0,(netmarble_winter_07),Chattingapp_Emotion_26
50,0,(netmarble_winter_08),Chattingapp_Emotion_27
51,0,(netmarble_winter_09),Chattingapp_Emotion_28
52,0,(netmarble_winter_10),Chattingapp_Emotion_29
53,0,(netmarble_winter_11),Chattingapp_Emotion_30
54,0,(netmarble_winter_12),Chattingapp_Emotion_31
55,0,(netmarble_winter_13),Chattingapp_Emotion_32
56,0,(netmarble_winter_14),Chattingapp_Emotion_33
57,0,(netmarble_winter_15),Chattingapp_Emotion_34
58,0,(netmarble_winter_16),Chattingapp_Emotion_35
59,0,(netmarble_winter_17),Chattingapp_Emotion_36
60,0,(netmarble_winter_18),Chattingapp_Emotion_37
61,0,(netmarble_winter_19),Chattingapp_Emotion_38
62,0,(netmarble_winter_20),Chattingapp_Emotion_39
63,0,(netmarble_winter_21),Chattingapp_Emotion_40
64,0,(netmarble_winter_22),Chattingapp_Emotion_41
65,0,(netmarble_winter_23),Chattingapp_Emotion_42
66,0,(netmarble_winter_24),Chattingapp_Emotion_43
67,0,(netmarble_winter_25),Chattingapp_Emotion_44
101,1,(雪だるま),Emoticon_Etc_01
102,1,(雨),Emoticon_Etc_02
103,1,(雲),Emoticon_Etc_03
104,1,(太陽),Emoticon_Etc_04
105,1,(ハート),Emoticon_Etc_05
106,1,(別れ),Emoticon_Etc_06
107,1,(プレゼント),Emoticon_Etc_07
108,1,(ケーキ),Emoticon_Etc_08
109,1,(うんち),Emoticon_Etc_09
110,1,(チョキ),Emoticon_Etc_10
111,1,(パー),Emoticon_Etc_11
112,1,(グッド),Emoticon_Etc_12
113,1,(バッド),Emoticon_Etc_13
114,1,(祈り),Emoticon_Etc_14
115,1,(いち),Emoticon_Etc_15
116,1,(札束),Emoticon_Etc_16
117,1,(クローバー),Emoticon_Etc_17
118,1,(ツリー),Emoticon_Etc_18
119,1,(クラッカー),Emoticon_Etc_19
120,1,(花束),Emoticon_Etc_20
1001,2,(SystemDice1),UI_Icon_Chat_Dice_01
1002,2,(SystemDice2),UI_Icon_Chat_Dice_02
1003,2,(SystemDice3),UI_Icon_Chat_Dice_03
1004,2,(SystemDice4),UI_Icon_Chat_Dice_04
1005,2,(SystemDice5),UI_Icon_Chat_Dice_05
1006,2,(SystemDice6),UI_Icon_Chat_Dice_06
