ID,GroupID,SkillIcon
1,30011,Icon_Debuff_Boranta_02
2,30011,Icon_Skill_Active_12242
3,30011,Icon_Skill_Active_12212
4,30012,Icon_Skill_Passive_24221
5,30012,Icon_Skill_Active_11251
6,30012,Icon_Debuff_Ramog_01
7,30021,Icon_Debuff_Boranta_02
8,30021,Icon_Skill_Active_12242
9,30021,Icon_Skill_Active_12212
10,30022,Icon_Skill_Passive_24221
11,30022,Icon_Skill_Active_11251
12,30022,Icon_Debuff_Ramog_01
13,30031,Icon_Debuff_Boranta_02
14,30031,Icon_Skill_Active_12242
15,30031,Icon_Skill_Active_12212
16,30032,Icon_Skill_Passive_24221
17,30032,Icon_Skill_Active_11251
18,30032,Icon_Debuff_Ramog_01
19,30041,Icon_Debuff_Boranta_02
20,30041,Icon_Skill_Active_12242
21,30041,Icon_Skill_Active_12212
22,30042,Icon_Skill_Passive_24221
23,30042,Icon_Skill_Active_11251
24,30042,Icon_Debuff_Ramog_01
25,30111,Icon_Debuff_Leonard_01
26,30111,Icon_Buff_MaxHP
27,30111,Icon_Debuff_KnockDown
28,30111,Icon_Debuff_Leonard_02
29,30121,Icon_Debuff_Leonard_01
30,30121,Icon_Buff_MaxHP
31,30121,Icon_Debuff_KnockDown
32,30121,Icon_Debuff_Leonard_02
33,30131,Icon_Debuff_Leonard_01
34,30131,Icon_Buff_MaxHP
35,30131,Icon_Debuff_KnockDown
36,30131,Icon_Debuff_Leonard_02
37,30131,Icon_Debuff_Stun
38,30141,Icon_Debuff_Leonard_01
39,30141,Icon_Buff_MaxHP
40,30141,Icon_Debuff_KnockDown
41,30141,Icon_Debuff_Leonard_02
42,30141,Icon_Debuff_Stun
43,30112,Icon_Debuff_Trisha_01
44,30112,Icon_Debuff_Trisha_02
45,30112,Icon_Skill_Active_13224
46,30112,Icon_Debuff_Taunt
47,30112,Icon_Skill_Passive_21221
48,30122,Icon_Debuff_Trisha_01
49,30122,Icon_Debuff_Trisha_02
50,30122,Icon_Skill_Active_13224
51,30122,Icon_Debuff_Taunt
52,30122,Icon_Skill_Passive_21221
53,30132,Icon_Debuff_Trisha_01
54,30132,Icon_Debuff_Trisha_02
55,30132,Icon_Skill_Active_13224
56,30132,Icon_Debuff_Taunt
57,30132,Icon_Skill_Passive_21221
58,30132,Icon_Skill_Active_13261
59,30142,Icon_Debuff_Trisha_01
60,30142,Icon_Debuff_Trisha_02
61,30142,Icon_Skill_Active_13224
62,30142,Icon_Debuff_Taunt
63,30142,Icon_Skill_Passive_21221
64,30142,Icon_Skill_Active_13261
65,30211,Icon_Skill_Active_10002
66,30211,Icon_Skill_Active_10001
67,30212,Icon_Skill_Active_10111
68,30212,Icon_Skill_Active_11253
69,30212,Icon_Skill_Unique_30005
70,30221,Icon_Skill_Active_10002
71,30221,Icon_Skill_Active_10001
72,30222,Icon_Skill_Active_10111
73,30222,Icon_Skill_Active_11253
74,30222,Icon_Skill_Unique_30005
75,30231,Icon_Skill_Active_10002
76,30231,Icon_Skill_Active_10001
77,30232,Icon_Skill_Active_10111
78,30232,Icon_Skill_Active_11253
79,30232,Icon_Skill_Unique_30005
80,30241,Icon_Skill_Active_10002
81,30241,Icon_Skill_Active_10001
82,30242,Icon_Skill_Active_10111
83,30242,Icon_Skill_Active_11253
84,30242,Icon_Skill_Unique_30005
85,50011,Icon_Debuff_Boranta_02
86,50011,Icon_Skill_Active_12242
87,50011,Icon_Skill_Active_12212
88,50012,Icon_Skill_Passive_24221
89,50012,Icon_Debuff_Taunt
90,50012,Icon_Skill_Active_13224
91,50021,Icon_Debuff_Boranta_02
92,50021,Icon_Skill_Active_12242
93,50021,Icon_Skill_Active_12212
94,50022,Icon_Skill_Passive_24221
95,50022,Icon_Debuff_Taunt
96,50022,Icon_Skill_Active_13224
97,50031,Icon_Debuff_Boranta_02
98,50031,Icon_Skill_Active_12242
99,50031,Icon_Skill_Active_12212
100,50032,Icon_Skill_Passive_24221
101,50032,Icon_Debuff_Taunt
102,50032,Icon_Skill_Active_13224
103,50041,Icon_Debuff_Boranta_02
104,50041,Icon_Skill_Active_12242
105,50041,Icon_Skill_Active_12212
106,50042,Icon_Skill_Passive_24221
107,50042,Icon_Debuff_Taunt
108,50042,Icon_Skill_Active_13224
109,50051,Icon_Debuff_Boranta_02
110,50051,Icon_Skill_Active_12242
111,50051,Icon_Skill_Active_12212
112,50052,Icon_Skill_Passive_24221
113,50052,Icon_Debuff_Taunt
114,50052,Icon_Skill_Active_13224
