Id,GroupId,EffectType,EffectParamMin,EffectParamMax,EffectParamGrowth,EffectParam1,EffectParam2,EffectParam3,EffectParam4,EffectParam5,EffectParam6,EffectParam7,EffectParam8,EffectParam9,EffectParam10,EffectParam11,EffectParam12,EffectParam13,EffectParam14,EffectParam15,EffectParam16,EffectParam17,EffectParam18,EffectParam19,EffectParam20,EffectSkillInfoId,EffectSubParam
1,1001,153,4000,11200,1,4000,4800,5600,6400,7200,8000,8800,9600,10400,11200,,,,,,,,,,,,
2,1002,153,4000,11200,1,4000,4800,5600,6400,7200,8000,8800,9600,10400,11200,,,,,,,,,,,,
3,1003,153,4000,11200,1,4000,4800,5600,6400,7200,8000,8800,9600,10400,11200,,,,,,,,,,,,
4,1004,153,200,2000,1,200,400,600,800,1000,1200,1400,1600,1800,2000,,,,,,,,,,,,
5,1005,154,1000,2800,1,500,600,700,800,900,1000,1100,1200,1300,1400,,,,,,,,,,,,
6,1006,154,1000,2800,1,500,600,700,800,900,1000,1100,1200,1300,1400,,,,,,,,,,,,
7,1007,154,1000,2800,1,500,600,700,800,900,1000,1100,1200,1300,1400,,,,,,,,,,,,
8,1008,154,50,500,1,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,
9,1009,160,1000,2800,1,500,750,1000,1250,1500,1750,2000,2250,2500,2750,,,,,,,,,,,,
10,1010,22,1000,2800,1,500,750,1000,1250,1500,1750,2000,2250,2500,2750,,,,,,,,,,,,
11,1011,159,1000,2800,1,500,750,1000,1250,1500,1750,2000,2250,2500,2750,,,,,,,,,,,,
12,1012,158,1000,2800,1,500,750,1000,1250,1500,1750,2000,2250,2500,2750,,,,,,,,,,,,
13,1013,62,200,560,1,100,150,200,250,300,350,400,450,500,550,,,,,,,,,,,,
14,1014,100,1000,2800,1,500,750,1000,1250,1500,1750,2000,2250,2500,2750,,,,,,,,,,,,
15,1015,155,800,3000,0.6,800,960,1120,1280,1440,1600,1760,1920,2080,2240,,,,,,,,,,,,
16,1016,153,10000,28000,0.6,10000,12500,15000,17500,20000,22500,25000,27500,30000,32500,,,,,,,,,,,,
17,1016,120,,,,200,400,600,800,1000,1200,1400,1600,1800,2000,,,,,,,,,,,,
18,1017,154,2000,5600,0.7,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,,,,,,,,,,,,
19,1017,120,,,,200,400,600,800,1000,1200,1400,1600,1800,2000,,,,,,,,,,,,
101,1101,153,125,5000,1,125,667,1209,1751,2293,2835,3377,3919,4461,5000,,,,,,,,,,,,
102,1102,153,375,5000,1,375,889,1403,1917,2431,2945,3459,3973,4487,5000,,,,,,,,,,,,
103,1103,153,500,5000,1,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,,
104,1104,153,125,5000,1,125,667,1209,1751,2293,2835,3377,3919,4461,5000,,,,,,,,,,,,
105,1105,153,375,5000,1,375,889,1403,1917,2431,2945,3459,3973,4487,5000,,,,,,,,,,,,
106,1106,153,500,5000,1,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,,
107,1107,154,250,5000,1,250,778,1306,1834,2362,2890,3418,3946,4474,5000,,,,,,,,,,,,
108,1108,154,375,5000,1,375,889,1403,1917,2431,2945,3459,3973,4487,5000,,,,,,,,,,,,
109,1109,153,250,5000,1,250,778,1306,1834,2362,2890,3418,3946,4474,5000,,,,,,,,,,,,
110,1110,153,375,5000,1,375,889,1403,1917,2431,2945,3459,3973,4487,5000,,,,,,,,,,,,
111,1111,154,200,500,1,1000,1150,1300,1450,1600,1750,1900,2050,2200,2350,,,,,,,,,,,,
112,1112,154,400,500,1,1000,1150,1300,1450,1600,1750,1900,2050,2200,2350,,,,,,,,,,,,
113,1113,153,500,5000,1,1000,1150,1300,1450,1600,1750,1900,2050,2200,2350,,,,,,,,,,,,
114,1114,153,1000,5000,1,1000,1150,1300,1450,1600,1750,1900,2050,2200,2350,,,,,,,,,,,,
115,1115,154,200,500,1,1000,1150,1300,1450,1600,1750,1900,2050,2200,2350,,,,,,,,,,,,
116,1116,154,400,500,1,1000,1150,1300,1450,1600,1750,1900,2050,2200,2350,,,,,,,,,,,,
117,1117,154,200,500,1,1000,1150,1300,1450,1600,1750,1900,2050,2200,2350,,,,,,,,,,,,
118,1118,154,400,500,1,1000,1150,1300,1450,1600,1750,1900,2050,2200,2350,,,,,,,,,,,,
201,1201,153,1500,1500,1,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,,,,,,,,,,,,
202,1202,154,500,500,1,1000,1150,1300,1450,1600,1750,1900,2050,2200,2350,,,,,,,,,,,,
203,1203,151,5000,5000,1,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,
801,1801,153,4000,11200,1,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,,
802,1802,153,4000,11200,1,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,,
803,1803,153,4000,11200,1,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,,
804,1804,153,200,2000,1,200,400,600,800,1000,1200,1400,1600,1800,2000,,,,,,,,,,,,
805,1805,154,1000,2800,1,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,
806,1806,154,1000,2800,1,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,
807,1807,154,1000,2800,1,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,
808,1808,154,50,500,1,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,
809,1809,98,1000,2800,1,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,
810,1810,22,1000,2800,1,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,
811,1811,97,1000,2800,1,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,
812,1812,15,1000,2800,1,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,
813,1813,62,200,560,1,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,
814,1814,100,1000,2800,1,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,,
815,1815,155,800,3000,0.6,800,1044,1288,1532,1776,2020,2264,2508,2752,3000,,,,,,,,,,,,
816,1816,153,10000,28000,0.6,2000,2610,3220,3830,4440,5050,5660,6270,6880,7490,,,,,,,,,,,,
817,1817,154,2000,5600,0.7,500,555,610,665,720,775,830,885,940,995,,,,,,,,,,,,
301,1301,7,200,600,1,200,244,288,333,377,422,466,511,555,600,,,,,,,,,,,,
110001,110001,153,4000,11200,1,4000,4800,5600,6400,7200,8000,8800,9600,10400,11200,,,,,,,,,,,,
110002,110002,153,4000,11200,1,4000,4800,5600,6400,7200,8000,8800,9600,10400,11200,,,,,,,,,,,,
