ShopId,Id,RequiredId,TaskType,TaskCount,RewardItemInfoId
8001,1001,,12,1,1
8001,1002,1001,12,10,2
8001,1003,1002,12,20,3
8001,1004,1003,12,30,4
8001,1005,1004,12,45,5
8001,1006,1005,12,70,6
8001,1007,1006,12,120,7
8002,10011,,17,1,11
8002,10012,10011,17,1,12
8002,10013,10012,17,2,13
8002,10014,10013,17,3,14
8002,10015,10014,17,4,15
8002,10016,10015,17,5,16
8002,10017,10016,17,6,17
8002,10018,10017,17,7,18
8003,10021,,51,0,20
8003,10022,,51,1,21
8003,10023,,51,1,22
8003,10024,,51,1,23
8003,10025,,51,1,24
8003,10026,,51,1,25
8003,10027,,51,1,26
8003,10028,,51,1,27
8003,10029,,51,1,28
8004,10031,,90,0,30
8004,10032,10031,90,1,31
8004,10033,10032,90,1,32
8004,10034,10033,90,1,33
8004,10035,10034,90,1,34
8004,10036,10035,90,1,35
8004,10037,10036,90,1,36
8004,10038,10037,90,1,37
8004,10039,10038,90,1,38
8004,10040,10039,90,1,39
8004,10041,10040,90,1,40
8011,1101,,12,1,1001
8011,1102,1101,12,130,1002
8011,1103,1102,12,140,1003
8011,1104,1103,12,150,1004
8011,1105,1104,12,160,1005
8011,1106,1105,12,170,1006
8011,1107,1106,12,180,1007
8014,11041,,90,,1300
8014,11042,11041,90,1,1301
8014,11043,11042,90,1,1302
8014,11044,11043,90,1,1303
8014,11045,11044,90,1,1304
