Id,Difficulty,ClearRankScore,NpcHpRate,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3
1,0,0,30,1,911006,1,,,,
2,0,40,50,2,911006,2,,,,
3,0,55,65,3,911006,3,,,,
4,0,65,75,4,911006,4,,,,
5,0,75,95,5,911006,5,,,,
6,0,85,100,6,911006,6,,,,
7,1,0,30,1,911006,4,,,,
8,1,40,50,2,911006,5,,,,
9,1,55,65,3,911006,6,,,,
10,1,65,75,4,911006,7,,,,
11,1,75,95,5,911006,8,,,,
12,1,85,100,6,911006,9,,,,
13,2,0,30,1,911006,7,,,,
14,2,40,50,2,911006,8,,,,
15,2,55,65,3,911006,9,,,,
16,2,65,75,4,911006,10,,,,
17,2,75,95,5,911006,11,,,,
18,2,85,100,6,911006,12,,,,
19,3,0,30,1,911006,10,,,,
20,3,40,50,2,911006,11,,,,
21,3,55,65,3,911006,12,,,,
22,3,65,75,4,911006,13,,,,
23,3,75,95,5,911006,14,,,,
24,3,85,100,6,911006,15,,,,
