Id,GroupId,Type,DialogTexture
100011,10001,1,
100021,10002,1,
100041,10004,1,
101171,10117,1,
101181,10118,1,
101191,10119,1,
101201,10120,1,
101211,10121,1,
101231,10123,1,
101241,10124,1,
101261,10126,1,
101301,10130,1,
101311,10131,1,
101331,10133,1,
101341,10134,1,
101381,10138,1,
101391,10139,1,
101441,10144,1,
101451,10145,1,
101461,10146,1,
101471,10147,1,
101501,10150,1,
101541,10154,1,
101542,10154,1,
101543,10154,1,
101544,10154,1,
101545,10154,1,
101551,10155,1,
101571,10157,1,
101611,10161,1,
101621,10162,1,
101771,10177,1,
101811,10181,1,
101821,10182,1,
101831,10183,1,
101841,10184,1,
101911,10191,1,
101921,10192,1,
101931,10193,1,
101941,10194,1,
101961,10196,1,
101971,10197,1,
101981,10198,1,
102011,10201,1,
102221,10222,1,
102501,10250,1,
102511,10251,1,
102551,10255,1,
102561,10256,1,
103001,10300,1,
103011,10301,1,
103021,10302,1,
111671,11167,1,
111691,11169,1,
111851,11185,1,
111861,11186,1,
111891,11189,1,
111971,11197,1,
111981,11198,1,
210011,21001,1,
280811,28081,1,
280821,28082,1,
300171,30017,1,
300181,30018,1,
304081,30408,1,
304111,30411,1,
305851,30585,1,
307781,30778,1,
307791,30779,1,
309371,30937,1,
309391,30939,1,
309411,30941,1,
309441,30944,1,
309451,30945,1,
309791,30979,1,
309801,30980,1,
309811,30981,1,
309831,30983,1,
309841,30984,1,
309851,30985,1,
309861,30986,1,
309871,30987,1,
309891,30989,1,
309901,30990,1,
309921,30992,1,
309951,30995,1,
309961,30996,1,
309971,30997,1,
310331,31033,1,
310341,31034,1,
310441,31044,1,
318221,31822,1,
318231,31823,1,
318241,31824,1,
322561,32256,1,
322611,32261,1,
322701,32270,1,
322711,32271,1,
322981,32298,1,
392751,39275,1,
392781,39278,1,
350151,35015,1,
350152,35015,1,
350161,35016,1,
350162,35016,1,
350163,35016,1,
350181,35018,1,
350182,35018,1,
350191,35019,1,
350192,35019,1,
350201,35020,1,
350202,35020,1,
350211,35021,1,
350212,35021,1,
350221,35022,1,
350222,35022,1,
350231,35023,1,
350232,35023,1,
350241,35024,1,
350242,35024,1,
350261,35026,1,
350262,35026,1,
350281,35028,1,
350282,35028,1,
350311,35031,1,
350312,35031,1,
350321,35032,1,
350322,35032,1,
350331,35033,1,
350332,35033,1,
309911,30991,1,
309912,30991,1,
309931,30993,1,
309932,30993,1,
401151,40115,1,
401152,40115,1,
410421,41042,1,
410422,41042,1,
410331,41033,1,
410332,41033,1,
400131,40013,1,
400132,40013,1,
409511,40951,1,
409512,40951,1,
410391,41039,1,
410392,41039,1,
410521,41052,1,
410522,41052,1,
410541,41054,1,
410542,41054,1,
410571,41057,1,
410572,41057,1,
418501,41850,1,
418502,41850,1,
418561,41856,1,
418562,41856,1,
400401,40040,1,
400402,40040,1,
450471,45047,1,
450472,45047,1,
450481,45048,1,
450482,45048,1,
450491,45049,1,
450492,45049,1,
450501,45050,1,
450502,45050,1,
450531,45053,1,
450532,45053,1,
450541,45054,1,
450542,45054,1,
450551,45055,1,
450552,45055,1,
450561,45056,1,
450562,45056,1,
499711,49971,1,
506751,50675,1,
506752,50675,1,
508741,50874,1,
508742,50874,1,
512641,51264,1,
512642,51264,1,
514601,51460,1,
514602,51460,1,
550011,55001,1,
550012,55001,1,
550021,55002,1,
550022,55002,1,
550031,55003,1,
550032,55003,1,
607241,60724,1,
607251,60725,1,
607261,60726,1,
607521,60752,1,
607541,60754,1,
607551,60755,1,
612811,61281,1,
612812,61281,1,
630251,63025,1,
630252,63025,1,
650061,65006,1,
650062,65006,1,
650071,65007,1,
650072,65007,1,
650081,65008,1,
650082,65008,1,
650121,65012,1,
650122,65012,1,
650181,65018,1,
650182,65018,1,
650191,65019,1,
650192,65019,1,
650231,65023,1,
650232,65023,1,
699711,69971,1,
706031,70603,1,
706041,70604,1,
706051,70605,1,
706061,70606,1,
706071,70607,1,
706101,70610,1,
706111,70611,1,
706121,70612,1,
706122,70612,1,
706131,70613,1,
706132,70613,1,
706141,70614,1,
706151,70615,1,
706171,70617,1,
706181,70618,1,
706191,70619,1,
706201,70620,1,
706211,70621,1,
706221,70622,1,
706231,70623,1,
706241,70624,1,
799711,79971,1,
780471,78047,1,
780481,78048,1,
780491,78049,1,
780911,78091,1,
780921,78092,1,
780951,78095,1,
780981,78098,1,
781001,78100,1,
781021,78102,1,
720091,72009,1,
750051,75005,1,
750052,75005,1,
750061,75006,1,
750062,75006,1,
750081,75008,1,
750082,75008,1,
750501,75050,1,
750502,75050,1,
750521,75052,1,
750522,75052,1,
750531,75053,1,
750532,75053,1,
750551,75055,1,
750552,75055,1,
750561,75056,1,
750562,75056,1,
750601,75060,1,
750602,75060,1,
750591,75059,1,
750592,75059,1,
750621,75062,1,
750622,75062,1,
750651,75065,1,
750652,75065,1,
750661,75066,1,
750662,75066,1,
750681,75068,1,
750682,75068,1,
800381,80038,1,
800382,80038,1,
803881,80388,1,
803882,80388,1,
804101,80410,1,
804102,80410,1,
804131,80413,1,
804132,80413,1,
850641,85064,1,
850642,85064,1,
850661,85066,1,
850662,85066,1,
850671,85067,1,
850672,85067,1,
899711,89971,1,
998711,99871,1,
1019911,101991,1,
1050001,105000,1,
1050002,105000,1,
1050021,105002,1,
1050022,105002,1,
1050031,105003,1,
1050032,105003,1,
1050061,105006,1,
1050062,105006,1,
1050051,105005,1,
1050052,105005,1,
1050201,105020,1,
1050202,105020,1,
1050231,105023,1,
1050232,105023,1,
1106931,110693,1,
1106932,110693,1,
1106933,110693,1,
1191421,119142,1,
1191422,119142,1,
1191431,119143,1,
1191461,119146,1,
1150411,115041,1,
1150412,115041,1,
1117001,111700,1,
1117002,111700,1,
1117003,111700,1,
1117021,111702,1,
1117022,111702,1,
1117023,111702,1,
1170041,117004,1,
1170042,117004,1,
1170043,117004,1,
1170081,117008,1,
1170082,117008,1,
1170083,117008,1,
1170091,117009,1,
1170092,117009,1,
1170111,117011,1,
1170112,117011,1,
1170113,117011,1,
1170121,117012,1,
1170122,117012,1,
1170123,117012,1,
1170151,117015,1,
1170152,117015,1,
1170153,117015,1,
1170161,117016,1,
1170162,117016,1,
1170163,117016,1,
1170181,117018,1,
1170182,117018,1,
1170183,117018,1,
1170221,117022,1,
1170222,117022,1,
1170223,117022,1,
1170241,117024,1,
1170242,117024,1,
1170243,117024,1,
1170311,117031,1,
1170312,117031,1,
1170313,117031,1,
1170291,117029,1,
1170292,117029,1,
1170293,117029,1,
1160101,116010,1,
1160102,116010,1,
1160161,116016,1,
1160162,116016,1,
1160163,116016,1,
1170341,117034,1,
1170342,117034,1,
1170343,117034,1,
1170371,117037,1,
1170372,117037,1,
1170373,117037,1,
1170381,117038,1,
1170382,117038,1,
1170383,117038,1,
1170501,117050,1,
1170502,117050,1,
1170503,117050,1,
1170531,117053,1,
1170532,117053,1,
1170533,117053,1,
1170561,117056,1,
1170562,117056,1,
1170601,117060,1,
1170602,117060,1,
1170603,117060,1,
1200011,120001,1,
1200031,120003,1,
1200041,120004,1,
1200061,120006,1,
1200071,120007,1,
1200081,120008,1,
1200091,120009,1,
1200111,120011,1,
1200281,120028,1,
1200301,120030,1,
1200351,120035,1,
1211311,121131,1,
1399711,139971,1,
1430361,143036,1,
1430401,143040,1,
1430421,143042,1,
1430431,143043,1,
1430491,143049,1,
1430511,143051,1,
1430541,143054,1,
1430571,143057,1,
1430591,143059,1,
1430611,143061,1,
1430631,143063,1,
1430651,143065,1,
1430661,143066,1,
1430671,143067,1,
1430681,143068,1,
1430691,143069,1,
1430811,143081,1,
1610011,161001,1,
7920011,792001,1,
7920012,792001,1,
7920021,792002,1,
7920022,792002,1,
7920023,792002,1,
7920041,792004,1,
7920042,792004,1,
7920043,792004,1,
7920031,792003,1,
7920032,792003,1,
7920033,792003,1,
7920061,792006,1,
7920062,792006,1,
7920063,792006,1,
7920181,792018,1,
7920182,792018,1,
7920183,792018,1,
7920191,792019,1,
7920192,792019,1,
7920193,792019,1,
7920194,792019,1,
7920111,792011,1,
7920112,792011,1,
7920113,792011,1,
7920131,792013,1,
7920132,792013,1,
7920133,792013,1,
7921011,792101,1,
7921012,792101,1,
7921013,792101,1,
7921021,792102,1,
7921022,792102,1,
7921023,792102,1,
7921041,792104,1,
7921042,792104,1,
7921043,792104,1,
7921031,792103,1,
7921032,792103,1,
7921033,792103,1,
7921061,792106,1,
7921062,792106,1,
7921063,792106,1,
7921081,792108,1,
7921082,792108,1,
7921083,792108,1,
7921181,792118,1,
7921182,792118,1,
7921183,792118,1,
7921191,792119,1,
7921192,792119,1,
7921193,792119,1,
7921194,792119,1,
7921111,792111,1,
7921112,792111,1,
7921113,792111,1,
7921131,792113,1,
7921132,792113,1,
