Order,Type,ShopType,Display,IconTexture,BadgeType,IsAnnuity
1,60,1,1,,237,0
2,3,1,0,,92,0
3,2,1,1,,91,0
4,4,1,1,,93,0
5,5,1,1,,237,0
6,6,1,1,,94,0
7,1,1,1,,90,0
8,7,1,1,,95,0
9,9,1,1,,97,0
10,10,7,1,,99,0
11,20,7,1,,101,0
12,15,7,0,,86,0
13,16,7,0,,87,0
14,17,7,0,,88,0
15,18,7,0,,89,0
16,19,1,0,,80,0
17,11,4,1,,83,1
18,21,4,1,,84,1
19,12,4,1,,100,1
20,14,4,1,,178,1
21,22,4,1,,179,1
22,13,4,1,,177,1
23,61,14,1,,237,0
24,31,6,0,,237,0
25,32,6,1,,237,0
26,33,6,1,,237,0
27,34,6,1,,237,0
28,35,6,0,,237,0
29,36,6,1,,237,0
30,37,6,0,,237,0
31,40,9,1,,237,0
