Id,Text
1,Chasse
2,Quête
3,Préparer l'élixir
4,Fabriquer un Parchemin oublié
5,Succès
6,Récomp. de halte
7,Terminer
8,Points d'amitié
9,Invocation
10,Consommables
11,Adena
12,Topazes
13,Lots
14,Points de loyauté
15,Recharger Diamants
16,Diamants quotidiens
17,Lot de connexion
18,Lot de renforcement
19,Donjon élite
20,Donjon quotidien
21,Tour de l'insolence
22,Donjon d'extraction
23,Arène
24,Ami
25,Clan
26,Cadeaux de clan
27,Succès de clan
28,Diamants bleus
29,Don de clan
30,Saluer les membres du clan
31,Activités quot.
32,Champ de bataille d'honneur
33,Champ de bataille des braves
34,Champ de bataille antique
35,Quête de Salle du clan
36,"Normal, Nommé"
37,Boss mondial
38,Boss de terrain
39,@20
40,Lier
41,Recycler
42,Gardien du temple
43,Donjon d'Adena
44,Cercle d'invocation
45,Relique de Salle du clan
46,Coffre au trésor
47,Mag. Conquête
48,Festival du Siège de château
49,Magasin de parchemins
50,Événements
51,Événmt de voyage
52,Événement Web
53,Récomp. connex.
54,Donner un coup de main
55,Siège de château
56,Siège de forteresse
57,Recycler un cœur
58,Cristal d'âme
59,Échanger
60,Siège ouvert
61,Faille temporelle
62,정복자의 전당
63,Donjon de clan
