Id,PlaceName
1,Porte éclatante
2,Ruines du dolmen
3,Ville de l'Île du discours
4,Terres brisées
5,Obélisque de la victoire
6,Camp fortifié
7,Académie des arcanes d'Einhovant
8,Forêt du vent
9,Forêt hantée
10,Poste d'éclaireurs occidental
11,Ruines elfiques
12,Port de Gludin
13,Ville de Gludin
14,Plaines du moulin à vent
15,Cimetière silencieux
16,Camp des pilleurs
17,Château de la ville de Gludio
18,Site d'extermination des monstres
19,Ferme dévastée
20,Habitations reptiliennes mailles
21,Camp orc turek
22,Lac Fellmere
23,Périphérie du château de Gludio
24,Château de Gludio
25,Ruines de Windawood
26,Champ de bataille
27,Sanctuaire de l'elfe tombé
28,Station orc turek
29,Bassin de poussière
30,Terres désolées
31,Camp de Staris
32,Crète rocheuse rouge
33,Périphérie du château de Dion
34,Ville du château de Dion
35,Zone d'abattage
36,Région agricole de Dion
37,Refuge
38,Plaines de Dion
39,Terrain inquiétant
40,Camp des archéologues
41,Site d'excavation
42,Terres marécageuses
43,Entrée de la Tour de Cruma
44,Marécage des ombres
45,Bois sereins
46,Repaire Ol Mahum
47,Avant-poste tanor
48,Zone de conflit
49,Ferme de mandragores
50,Lieu d'exécution
51,Fort de l'agonie
52,Fort en ruine
53,Incinérateur
54,Ville de Giran
55,Jardin fleuri de la gorgone
56,Périphérie du château de Giran
57,Forêt chantante
58,Camp reptilien langk
59,Parcelle désertée
60,Château de Giran
61,Route commerciale
62,Rive du mort
63,Forêt des géants
64,Port de Giran
65,Repaire de bandits Ol Mahums
66,Autel du géant
67,Marécage du vent iodé
68,Grotte d'or
69,Fosse de la haine
70,Bastion orc breka
71,Col du mort
72,Gouffre de l'oubli
73,Vallée des nemrods
74,Ville d'Oren
75,Périphérie du château d'Oren
76,Marécage des reptiliens
77,Avant-poste timak
78,Plateau tanor enragé
79,Sceau brisé
80,Mer de spores
81,Forêt de la sorcière
82,Forêt des hors-la-loi
83,Forêt maléfique
84,Camp orc timak
85,Cratère de la Tour d'ivoire
90,Faille démoniaque
91,Forteresse de désespoir
92,Tombeau du nemrod
93,Terre des dragons
94,Entrée du repaire d'Antharas
95,Ruines elfiques 1
96,Ruines elfiques 2
97,Nid de fourmis 1
98,Nid de fourmis 2
99,Tour de Cruma 2
100,Tour de Cruma 3
101,Tour d'ivoire 1
102,Tour d'ivoire 2
103,Tour d'ivoire 3
104,Laboratoire de la Tour d'ivoire
105,Canopée de la Forêt des secrets
106,Sous-bois de la Forêt des secrets
107,Site du massacre de la Forêt des secrets
1001,Vestige de Varkaron
1002,Grotte de la Reine fourmi
1003,Tour d'ivoire 1
30000004,Port de Gludin
30000005,Catacombes
30000006,Intérieur de la pierre d'invocation maléfique
30000007,Extramonde
30000008,Tour de Cruma 2
30000009,Abîme de Zaken
30000010,Abîme de Zaken
30000011,Territoire du Roi sanglant
30000012,Tour de Cruma 3
