Name,TaskName,QuestNpcName,QuestNpcDialog,QuestNpcName2,QuestNpcDialog2
La fin de la tyrannie,En attente de Lucia,,,,
La fin de la tyrannie,Suivre Lucia,,,,
La fin de la tyrannie,Éliminer les soldats loyalistes,,,,
La fin de la tyrannie,Détruire la guérite,,,,
La fin de la tyrannie,Accéder à la place,,,,
La fin de la tyrannie,Éliminer les renforts loyalistes,,,,
La fin de la tyrannie,Approcher de la Tour de contrôle,,,,
La fin de la tyrannie,Vaincre Marlow l'ancêtre,,,,
La fin de la tyrannie,Vaincre Marlow l'ancêtre,,,,
La fin de la tyrannie,Tour de contrôle détruite,,,,
La fin de la tyrannie,Se rendre à la guérite,,,,
Le voyage commence,Trouver le capitaine des mercenaires,"Psyché, gestionnaire du port","C'est l'endroit idéal pour gagner de l'EXP en tant qu'aventurier.
<p>Vous devriez accepter quelques missions pour vous familiariser avec les lieux.
<p>Douglas, le capitaine des mercenaires, cherche de la main-d'œuvre. Vous devriez aller lui parler.",,
Preuve de compétence,Chasse au loup noir,Capitaine Douglas,"Vous avez l'air de vous y connaître. C'est une bonne chose !
<P>Alors comme ça, vous cherchez du travail ? Eh bien, si vous n'avez pas peur de vous salir les mains, le poste est à vous.
<p>Il y a quelques loups qui sèment le chaos dans les environs. Chargez-vous-en pour moi.",,
Un vrai boulot,Chercher des ours rouges,Capitaine Douglas,"Vous n'avez fait qu'une bouchée de ces loups ! Vous pourriez faire l'affaire.
<p>Voyons comment vous allez vous en sortir avec une vraie mission. Vous avez vu des ours rouges en chassant les loups ? On dirait que ces bêtes n'ont plus peur de la civilisation.
<p>J'ai besoin de quelqu'un pour décimer ces ours rouges avant qu'ils n'attaquent quelqu'un. Vous pensez être à la hauteur ?",Capitaine Douglas,Nous avons des ennuis ! Un groupe d'assaillants orcs attaque le port !
Un vrai boulot,Trouver le capitaine des mercenaires,,,,
Un vrai boulot,Embuscade orc,,,,
Un vrai boulot,Embuscade orc,,,,
Urgence !,Trouver le capitaine de la garde,Capitaine Douglas,"Je protégerai les villageois avec mes hommes. Dirigez-vous vers le port !
<p>Quand vous trouverez le capitaine de la garde, dites-lui que je vous envoie ! Je vous en serais très redevable si vous pouviez faire ça !",,
Embuscade orc,Vaincre les combattants orcs,Capitaine Harold,"Les orcs se rassemblent près du bateau ! Ils ont surgi de nulle part, comme ça ! Pourquoi ne les a-t-on pas repérés ?
<p>Nous devons protéger le bateau à tout prix ! Battez-vous à nos côtés !",,
Embuscade orc,Vaincre l'escorte orc,,,,
Embuscade orc,Trouver le capitaine des fantassins orc,,,,
Embuscade orc,Trouver le capitaine des fantassins orc,Capitaine Harold,"Bon sang ! Le capitaine des fantassins est parti !
<P>Il a dû se diriger vers la porte du port ! Dépêchons-nous !",,
Embuscade orc,Aller à la porte du port,,,,
