Key,Value
ACCOUNT_CONFINE,Ce compte a été bloqué.
ACHIEVEMENT,Succès
ACHIEVEMENT_CLEAR_ASSETS,Succès de ressource terminé !
ACHIEVEMENT_CLEAR_BATTLE,Succès de combat terminé !
ACHIEVEMENT_CLEAR_DAILY,Succès quotidien terminé !
ACHIEVEMENT_CLEAR_GROWTH,Succès de renforcement terminé !
ACHIEVEMENT_CLEAR_ITEM,Succès d'équipement terminé !
ACHIEVEMENT_CLEAR_MONTHLY,Succès mensuel terminé !
ACHIEVEMENT_CLEAR_SOCIAL,Succès social terminé !
ACHIEVEMENT_CLEAR_WEEKLY,Succès hebdomadaire terminé !
ACHIEVEMENT_LEVELREWARD_ERROR,Vous avez déjà récupéré la récompense de ce palier de succès.
ACHIEVEMENT_POINT,Points de succès
ADENA_LOOTED,[Adena] Adena obtenues.
SIEGE_FESTIVAL_TICKET_LOOTED,[Value] ticket(s) de festival du Siège obtenu(s).
ADENA_NOT_ENOUGH,Adena insuffisante.
AHIEVEMENT_HEROIC_WAY,Voie d'un héros
APP_VERSION_UNDER_MIN,La version de votre application n'est pas la plus récente.
APP_VERSION_UNDER_LATEST,"Une nouvelle version est disponible.
Voulez-vous effectuer la mise à jour ?"
ARMOR_TYPE_HEAVY,Armure lourde
ARMOR_TYPE_LIGHT,Armure légère
ARMOR_TYPE_ROBE,Robe
ASSETS_ACQUIRE_FROM_GUILD_GREETING,Vous avez salué [MemberCount] membre(s) de clan et obtenu <FontYellow>[AssetCount] Pièce(s) de clan</>.
ASSETS_ACQUIRE_FROM_RECEIVE_GUILD_GREET,Vous avez reçu [MemberCount] salutation(s) de la part de votre clan et obtenu <FontYellow>[AssetCount] Adena</>.
ATTENDANCE_NO_MORE_REWARD,Aucune récompense disponible.
ATTENDANCE_REWARD_SENT_TO_MAILBOX,Les récompenses du jour [Param1] ont été envoyées dans votre messagerie.
AUCTION_COST,Coût
AUCTION_ESTIMATED_TIME,Dans la liste dans [Time]
AUCTION_GROUP_ACCESSORY,Accessoire
AUCTION_GROUP_ARMOR,Armure
AUCTION_GROUP_ELIXIR,Matériaux de potions/élixirs
AUCTION_GROUP_ENCHANT,Matériaux de perfectionnement
AUCTION_GROUP_EquipmentCraft,Fabrication de matériaux
AUCTION_GROUP_ETC,Autre
AUCTION_GROUP_MONSTERCORE,Cœur de monstre
AUCTION_GROUP_SKILLBOOK,"Pages/
Parchemins 
oubliés"
AUCTION_GROUP_SOULSTONE,Cristal d'âme
AUCTION_GROUP_USEITEM,Consommables
AUCTION_GROUP_WEAPON,Arme
AUCTION_GROUP_PET,Monture
AUCTION_HOUSE,Comptoir échan.
AUCTION_HOUSE_CATEGORY,Catégorie
AUCTION_HOUSE_EQ_ITEM_SELL,Ajouter [Name] à la liste pour [Cost] Diamants ?
AUCTION_HOUSE_FAVORITE_SELLCANCEL,Annuler la vente
AUCTION_HOUSE_FAVORITE_SELLCOMPLETE,Vendu
AUCTION_HOUSE_FAVORITE_SELLFAILED,Expiré
AUCTION_HOUSE_FAVORITE_SELLING,Création de la liste en cours
AUCTION_HOUSE_FAVORITE_WAITING,En attente d'ajout à la liste
