Id,Value,ButtonString1,ButtonString2
1,[ChatString],,
2,Vous avez été déconnecté(e) du serveur.,,
3,Un groupe a été créé.,,
4,Vous avez rejoint le groupe.,,
5,<FontGreen>[Name]</> a rejoint le groupe.,,
6,Vous avez quitté le groupe.,,
7,<FontGreen>[Name]</> a quitté le groupe.,,
8,Vous avez été expulsé(e) du groupe.,,
9,<FontGreen>[Name]</> a été expulsé(e) du groupe.,,
10,Vous devenez le chef du groupe.,,
11,<FontGreen>[Name]</> a été désigné(e) nouveau chef de groupe.,,
12,Le groupe a été dissous.,,
13,"<FontGreen>[Name]</> vous invite à rejoindre son groupe.
Rejoindre le groupe ?<FontRed>[Seconds]</> s",Refuser,Rejoindre
14,Vous avez refusé de rejoindre le groupe.,,
15,"Quelqu'un a demandé à rejoindre le groupe.
Approuvez-vous ? <FontRed>[Seconds]</> seconde(s)",@13,Accepter
16,Groupe auto. annulé.,,
17,"Lieu : <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
<FontBlue>[Name]</> souhaite commencer l'aventure. Se préparer ?<FontRed>[Seconds]</> s",@13,Accepter
18,"Lieu : <FontGreen>[DungeonName]</> <FontRed>([Difficulty])</>
Vous allez entrer <FontGreen>[DungeonName]</> <FontRed>([Difficulty])</> dans <FontRed>[Seconds]</> secondes.
Préparez-vous au combat.",,
19,"Lieu : <FontGreen>[WorldName]</>
<FontBlue>[Name]</> souhaite vous invoquer.
Accepter l'invocation ? <FontRed>[Seconds]</> s",En marchant,Par portail
20,@19,Fermer,Entrer
21,"Lieu : <FontGreen>[WorldName]</>
Vous rendre à l'emplacement où le groupe se réunit ? <FontRed>[Seconds]</> s",@19,@19
22,@21,@20,@20
23,"<FontYellow>Le groupe de [Battlefield] a été créé.
Entrez sur le champ de bataille <FontBlue>en solo</> ou dans un <FontBlue>groupe de champ de bataille</> avec d'autres joueurs.",,
24,Groupe de <FontYellow>[Battlefield]</> rejoint.,,
25,<FontGreen>[Name]</> a rejoint le groupe de <FontYellow>[Battlefield]</>.,,
26,Le groupe de <FontYellow>[Battlefield]</> a été dissous.,,
27,A quitté le groupe de <FontYellow>[Battlefield]</>.,,
28,<FontGreen>[Name]</> a quitté le groupe <FontYellow>[Battlefield]</>.,,
29,"<FontGreen>[Name]</> ([Power]) vous invite à rejoindre son groupe de champ de bataille.
Rejoindre le groupe de <FontYellow>[Battlefield]</> ?<FontRed>[Seconds]</> s",@13,@15
30,"L'association pour <FontYellow>[BattlefieldType]</> est terminée.
Entrée sur le champ de bataille dans <FontRed>[Seconds]</> s. Préparez-vous au combat.",,
31,[Name] vous a envoyé une demande d'amitié.,Ami,
32,[Name] rejoint votre liste d'amis.,@31,
33, <FontYellow>Le chef de clan a changé l'emblème de clan.</>,,
34,Le membre du clan [Name] a changé son pseudo : <FontGreen>[Name2]</>,,
35,<FontGreen>[Param1]</> s'est connecté(e).,,
36,<FontGreen>[Name]</> a fait un bon de <FontGreen>[Count] [AssetsType]</> pour les membres du clan.,,
37,<FontGreen>[Param1]</> a <FontBlue>rejoint</> le clan.,,
38,<FontGreen>[Param1]</> a <FontRed>quitté</> le clan.,,
39,<FontGreen>[Name]</> a été <FontRed>expulsé(e)</> du clan.,,
40,Le clan <FontBlue>[GuildName]</> a envoyé une invitation.,@13,@17
41,<FontBlue>[Name]</> a décliné l'invitation.,,
42,<FontYellow>Il existe une nouvelle demande d'adhésion au clan.</>,Clan,
43,Vous avez rejoint <FontBlue>[GuildName]</>.,@42,
44,<FontBlue>[GuildName]</><FontRed> </> a refusé votre demande d'adhésion.,,
45,A quitté le clan.,,
46,<FontGreen>[Param1]</> voit son rang devenir <FontBlue>[Param2]</>,,
47,<FontGreen>[Param1]</> a été nommé(e) chef de clan.,,
48,<FontGreen>[Param1]</> a été nommé(e) chef de clan suite à l'absence prolongée ou au manque de participation de l'ancien chef de clan.,,
49,[Param1] a donné une récompense à <FontGreen>[Param2]</>.,,
50,[Param1] a donné des récompenses à <FontGreen>tous les membres du clan</>.,,
51,"[Param1] a donné des récompenses aux <FontGreen>[Param3] membres</>, dont [Param2].",,
52,Un cadeau de clan a été envoyé par <FontGreen>[Name]</>.,Bulletin,
53,"<FontGreen>[Name]</>, membre du clan, a demandé une
revanche à [Name2] du <FontRed>clan [GuildName]</>.",@20,@19
54,"<FontGreen>[Name]</>, membre du clan, a demandé une
revanche à [Name] du <FontRed>clan [GuildName]</>.",@20,@20
