Id,SpotName,SpotTitle,Desc
1,Forteresse du Grand chemin de Gludin,,
2,Forteresse des Plaines de Gludio,,
3,Forteresse du Manoir de Windawood,,
4,Forteresse des Terres désolées,,
5,Forteresse des Plaines de Dion,,
6,Forteresse du Marais de Cruma,,
7,Forteresse du Sommet de la dissonance,,
8,Forteresse des Terres de clameur,,
9,Forteresse du Domaine de Giran,,
10,Forteresse des Rivages de brume mortelle,,
11,Forteresse de l'Île du diable,,
12,Forteresse de la Nécropole hantée,,
13,Forteresse de la Vallée draconique,,
14,Forteresse du Plateau du mistral,,
15,Forteresse des Terres éternelles,,
16,Forteresse conquise de la Tour d'ivoire,,
17,Forteresse des Ruines du dolmen,,
18,Forteresse des Terres brisées,,
19,Forteresse de l'Obélisque de la victoire,,
20,Forteresse du Camp fortifié,,
21,Forteresse de la Forêt du vent,,
22,Forteresse de la Forêt hantée,,
23,Forteresse du Poste d'éclaireurs occidental,,
24,Forteresse des Ruines elfiques,,
101,Port de l'Île du discours,Port de l'Île du discours,
102,Terres brisées,Terres brisées,
197,Ville de l'Île du discours,Ville de l'Île du discours,
201,Poste d'éclaireurs occidental,Poste d'éclaireurs occidental,
202,Forêt hantée,Forêt hantée,
301,Plaines du moulin à vent,Plaines du moulin à vent,
302,Cimetière silencieux,Cimetière silencieux,
303,Camp des pilleurs,Camp des pilleurs,
397,Ville de Gludin,Ville de Gludin,
398,@1,Forteresse du Grand chemin de Gludin,
401,Ferme dévastée,Ferme dévastée,
402,Poste de command. d'exterm. des mons.,Poste de command. d'exterm. des mons.,
403,Habitations reptiliennes mailles,Habitations reptiliennes mailles,
404,Camp orc turek,Camp orc turek,
497,Château de la ville de Gludio,Château de la ville de Gludio,
498,@2,Forteresse des Plaines de Gludio,
499,Château de Gludio,Château de Gludio,
501,Ruines de Windawood,Ruines de Windawood,
502,Champ de bataille,Champ de bataille,
503,Sanctuaire de l'elfe tombé,Sanctuaire de l'elfe tombé,
504,Station orc turek,Station orc turek,
598,@3,Forteresse du Manoir de Windawood,
601,Bassin de poussière,Bassin de poussière,
602,Terres désolées,Terres désolées,
603,Chaîne de montagnes rocheuse rouge,Crète rocheuse rouge,
697,Camp de Staris,Camp de Staris,
698,@4,Forteresse des Terres désolées,
701,Zone d'abattage,Zone d'abattage,
702,Région agricole,Région agricole,
703,Périphérie du château de Dion,Périphérie du château de Dion,
704,Plaines,Plaines,
