MissionInfoId,TaskName,TaskDescription
3101,Rejoindre ou créer un clan,Rejoignez ou créez un clan {0} fois. ({1}/{2})
3102,Enregistrement de clan,Enregistrez-vous auprès d'un clan {0} fois. ({1}/{2})
3103,Magasin,Effectuez {0} achats dans le magasin du clan. ({1}/{2})
3104,Don de clan,Donnez {0} Adena au clan. ({1}/{2})
3105,Salutations de clan,Saluez un membre de clan {0} fois. ({1}/{2})
3201,Succès de clan,Récupérez une récompense de succès de clan {0} fois. ({1}/{2})
3202,@3102,@3102
3203,@3103,@3103
3204,@3104,Donnez {0} Preuve(s) de sang au clan. ({1} / {2})
3205,@3105,@3105
3301,@3201,@3201
3302,@3102,@3102
3303,@3103,@3103
3304,@3104,Donnez {0} Pierre(s) d'étoile rouge(s) au clan. ({1}/{2})
3305,@3105,@3105
3401,@3201,@3201
3402,@3102,@3102
3403,@3103,@3103
3404,@3104,@3104
3405,@3105,@3105
3501,@3201,@3201
3502,@3102,@3102
3503,@3103,@3103
3504,@3104,@3204
3505,@3105,@3105
3601,@3201,@3201
3602,@3102,@3102
3603,@3103,@3103
3604,@3104,@3304
3605,@3105,@3105
2101,Développer de l'équipement,Tenter de développer de l'équipement {0} fois ({1}/{2})
2102,Tenter de perfectionner,Tenter de perfectionner de l'équipement {0} fois ({1}/{2})
2103,Améliorer des Cristaux d'âme,Améliorer des Cristaux d'âme {0} fois ({1}/{2})
2104,Éliminer le Gardien du temple,Éliminer le Gardien du temple {0} fois ({1}/{2})
2105,Tirer de l'équipement,Tenter de tirer de l'équipement {0} fois ({1}/{2})
2201,@2101,@2101
2202,@2102,@2102
2203,@2103,@2103
2204,@2104,@2104
2205,@2105,@2105
2301,@2101,@2101
2302,@2102,@2102
2303,@2103,@2103
2304,@2104,@2104
2305,@2105,@2105
2401,@2101,@2101
2402,@2102,@2102
2403,Fusionner de l'équipement,Tenter de fusionner de l'équipement {0} fois ({1}/{2})
2404,@2104,@2104
2405,Tenter de modifier les stats extra,Modifier les stats extra d'un équipement {0} fois ({1}/{2})
2501,@2101,@2101
2502,@2102,@2102
2503,@2403,@2403
2504,@2104,@2104
2505,@2405,@2405
2601,@2101,@2101
2602,@2102,@2102
2603,@2403,@2403
2604,@2104,@2104
2605,@2405,@2405
