Id,TitleName
1001,Dirigeant de Gludio
1002,Dirigeant de Dion
1003,Dirigeant de Giran
1004,Dirigeant d'Oren
2001,Maître du Grand chemin de Gludin
2002,Maître des Plaines de Gludio
2003,Maître du Manoir de Windawood
2004,Maître des Terres désolées
2005,Maître des Plaines de Dion
2006,Maître des Terres marécageuses de Cruma
2007,Maître du Sommet de la dissonance
2008,Maître des Terres de clameur
2009,Maître du Domaine de Giran
2010,Maître des Rivages de brume mortelle
2011,Maître de l'Île du diable
2012,Maître de la Nécropole hantée
2013,Maître de la Vallée draconique
2014,Maître du Plateau du mistral
2015,Maître des Terres éternelles
2016,Maître de la Tour d'ivoire
2017,Maître des Ruines du dolmen
2018,Maître des Terres brisées
2019,Maître de l'Obélisque de la victoire
2020,Maître du Camp fortifié
2021,Maître de la Forêt du vent
2022,Maître de la Forêt hantée
2023,Maître du Poste d'éclaireurs occidental
2024,Maître des Ruines elfiques
