Id,Name,RepresentRewardName,RepresentRewardDescription,Description
200,Ruines elfiques 1,,,"Gorgée d’énergie magique, cette académie a vu les humains apprendre la magie elfe et s’imposer sur le continent."
201,Ruines elfiques 2,,,"À l'époque où les elfes dominaient le continent, seuls les humains aux talents exceptionnels avaient accès à cet étage."
202,Nid de fourmis 1,,,Une grotte bondée de fourmis géantes ayant muté pour survivre sur les Terres désolées suite à l'énorme explosion de magie noire.
203,Nid de fourmis 2,,,"Pour protéger leurs trésors, les fourmis ont créé ce labyrinthe, où elles sont les seules à pouvoir se repérer."
204,Tour de Cruma 2,,,"Forteresse mobile et centre scientifique voué à la création d’une forme de vie par les géants, ce lieu protège le laboratoire."
205,Tour de Cruma 3,,,"Reflet de la vocation de la tour, cet étage dispose de moult laboratoires et recèle l'énergie magique des géants."
206,Tour d'ivoire 1,,,"D’abord frappé par une météorite de nébulite, ce lieu d’études magiques a fermé suite à l’affaire des sorciers effrénés."
207,Tour d'ivoire 2,,,"À l'origine, cet endroit accueillait un laboratoire alchimique, mais il est maintenant envahi de champignons durs comme la pierre."
208,Tour d'ivoire 3,,,"Où se trouve la nébulite, la météorite. Des monstres renforcés sous l'effet de la nébulite errent par ici."
209,Laboratoire de la Tour d'ivoire,,,C'est à la fois le laboratoire d'un sorcier de la Tour d'ivoire obsédé par la nébulite et l'endroit où il fut scellé. Beaucoup de sujets rôdent par ici.
210,Canopée de la Forêt des secrets,,,Voici l'endroit où vivaient les fées. Les monstres ont envahi cette zone après la fuite des fées pour éviter les combats.
211,Sous-bois de la Forêt des secrets,,,"La Forêt des secrets est très dense, le soleil n'y pénètre pas et les monstres y ont élu domicile."
212,Site du massacre de la Forêt des secrets,,,Voici où reposent les fées qui ont résisté à la chasse aux fées. Un sinistre brouillard rouge sang flotte en permanence.
4000,Jardin d'écaille irisée (factice),,,
9000,Épreuves d'expérience I,Pierre d'amélioration,Sert à obtenir 1 tirage de Pierre d'amélioration.,De nombreuses Pierres d'invocation maléfiques installées par la Sombre confrérie n'ont pas encore été découvertes. Pénétrez l'Extramonde pour vaincre les monstres et les retirer.
9001,Épreuves d'expérience II,@9000,Sert à obtenir 2 tirages de Pierre d'amélioration.,@9000
9002,Épreuves d'expérience III,@9000,Sert à obtenir 3 tirages de Pierre d'amélioration.,@9000
9003,Épreuves d'expérience IV,@9000,Sert à obtenir 5 tirages de Pierre d'amélioration.,@9000
9100,Épreuves d'expérience V,@9000,@9003,@9000
9004,Donjon d'Adena I,@9000,@9000,"Shunaiman, l'empereur d'Elmoreden, utilisait ce lieu pour stocker l'or pour construire la Tour de l'insolence. Après sa mort, il s'est retrouvé occupé par Kresous, le dragon d'or."
9005,Donjon d'Adena II,@9000,@9001,@9004
9006,Donjon d'Adena III,@9000,@9002,@9004
9009,Gardien du temple I,@9000,@9000,"Le temple elfique qui abrite le cristal aquatique béni par Eva. Hardin a ordonné aux Mercenaires Lumargent de protéger le temple, et ainsi le cristal contre la Sombre confrérie."
9010,Gardien du temple II,@9000,@9001,@9009
9011,Gardien du temple III,@9000,@9002,@9009
9012,Gardien du temple IV,@9000,@9003,@9009
9300,Gardien du temple V,@9000,@9003,@9009
9013,Cercle d'invocation I,@9000,@9000,Protégez Feldheim tandis qu'il dissipe la magie de l'artefact sacré scellé et terminez le donjon pour obtenir la Pierre d'invocation.
9014,Cercle d'invocation II,@9000,@9001,@9013
9015,Cercle d'invocation III,@9000,@9002,@9013
9016,Cercle d'invocation IV,@9000,@9003,@9013
9017,Donjon de Pierre de raffinement I,@9000,@9000,Détruisez le portail interdimensionnel qui invoque les monstres et obtenez des récompenses.
9018,Donjon de Pierre de raffinement II,@9000,@9001,@9017
9019,Donjon de Pierre de raffinement III,@9000,@9002,@9017
9020,Donjon de Pierre de raffinement IV,@9000,@9003,@9017
11100,Sanctuaire antique I,Boîte de sélection de Pierre d'amélioration,Sert à obtenir 1 Boîte de sélection de Pierres d'amélioration.,
11101,Sanctuaire antique II,@11100,Sert à obtenir 2 Boîtes de sélection de Pierres d'amélioration.,
11102,Sanctuaire antique III,@11100,Sert à obtenir 3 Boîtes de sélection de Pierres d'amélioration.,
11103,Sanctuaire antique IV,@11100,Sert à obtenir 4 Boîtes de sélection de Pierres d'amélioration.,
11104,Sanctuaire antique V,Boîte de sélection de Pierre d'amélioration radieuse,Sert à obtenir 1 Boîte de sélection de Pierre d'amélioration radieuse.,
11200,Sanctuaire des traqueurs I,Parchemin : arme,Sert à obtenir 1 Parchemin : arme.,
