Id,GipText
1,"Au total, il existe <FontBlue>6 qualités d'équipement</>."
2,Vous pouvez ouvrir gratuitement <FontBlue>1 Boîte d'invocation d'équipement normale 3 fois par jour</>.
3,Touchez la <FontBlue>fonction quête auto.</> pour <FontBlue>chasser automatiquement</> des monstres.
4,Touchez la carte du monde pour <FontBlue>atteindre</> le <FontBlue>lieu souhaité</>.
5,Touchez un <FontBlue>PNJ ou un monstre</> de la carte du monde pour rejoindre l'emplacement souhaité.
6,Vous pouvez ajuster la <FontBlue>fréquence d'utilisation des potions</> dans le menu <FontBlue>Paramètres > Combat</>.
7,Vous pouvez <FontBlue>personnaliser les compétences selon vos goûts</> en fonction de votre <FontBlue>arme</>.
8,Le nombre maximum d'<FontBlue>emplacements de compétence</> peut passer à <FontBlue>5</> en apprenant une <FontBlue>compétence rare</>.
9,"Lorsque vous <FontBlue>fusionnez</> de l'équipement, tous les <FontBlue>types et classes</> sont <FontBlue>hérités</>."
10,La quête de <FontBlue>transfert</> de classe sera disponible quand vous atteindrez le <FontBlue>niveau 31</>.
11,<FontBlue>Augmentez considérablement les stats</> grâce au <FontBlue>marquage de rune</>.
12,Vous pouvez procéder au <FontBlue>marquage de rune</> selon l'<FontBlue>ordre des pages de runes</>.
13,"Si des <FontBlue>runes à proximité</> sont améliorées au <FontBlue>même niveau</>, vous pouvez augmenter le <FontBlue>niveau des Cœurs runiques</>."
14,Vous pouvez profiter de bonus de stats selon le <FontBlue>niveau total de votre personnage</>.
15,Les <FontBlue>Cristaux d'âme</> peuvent uniquement être équipés dans des <FontBlue>emplacements de la même couleur</>.
16,<FontBlue>L'emplacement d'équipement</> peut être étendu en fonction de la <FontBlue>qualité de l'objet</>
17,Utilisez le <FontBlue>codex de monstres</> pour augmenter différents <FontBlue>niveaux de compétences de personnage</>.
18,Vous pouvez entrer dans <FontBlue>1 donjon quotidien</> <FontBlue>gratuitement tous les jours</>.
19,Augmentez votre <FontBlue>rang d'honneur</> dans l'<FontBlue>Arène</> pour obtenir d'<FontBlue>autres stats</>.
20,Recevez des <FontBlue>points d'honneur quotidiens</> et des <FontBlue>récompenses de rang</> dans l'<FontBlue>Arène</>.
21,Attrapez un <FontBlue>Blaireau robuste</> dans la <FontBlue>fosse d'extraction</> pour recevoir une <FontBlue>bénédiction</> et augmenter votre <FontBlue>vitesse d'extraction</>.
22,Attrapez une <FontBlue>Mandragore</> pour obtenir des <FontBlue>essences d'élixir</>.
23,Les élixirs préparés à base d'herbes et d'essences augmentent vos stats de façon permanente.
24,<FontBlue>Élevez-vous</> dans la Tour de l'insolence pour acquérir des <FontBlue>Fragments de rune</>.
25,Recevez une <FontBlue>Récompense spéciale</> tous les <FontBlue>5 étages</> dans la <FontBlue>Tour de l'insolence </>.
26,Vous pouvez <FontBlue>entrer</> dans la Tour de l'insolence <FontBlue>gratuitement 3 fois par jour</>.
27,"Pendant le <FontBlue>bonus temporaire</> de donjon d'élite, vous obtenez de l'<FontBlue>EXP et le taux d'apparition des objets augmente</>."
28,Des <FontBlue>pénalités d'agression</> s'appliquent dans les donjons élite.
29,Conquérez des forteresses lors de Sièges de forteresse pour décrocher les récompenses !
31,Chassez les boss de terrain pour obtenir des récompenses spéciales.
35,Seuls les <FontBlue>clans de niv. 4</> et plus peuvent participer aux <FontBlue>Sièges de forteresse</>.
41,Vous pouvez obtenir <FontBlue>[Forgotten Scrolls]</> et <FontBlue>[High-grade Equipment]</> en récompense des <FontBlue>chasses au boss de terrain</>.
42,Les clans <FontBlue>déclarés vainqueurs lors des Sièges de forteresse</> obtiennent des <FontBlue>buffs avantageux en chassant dans la région</>.
44,@29
45,@35
51,Un <FontBlue>groupe doit être formé</> pour entrer dans un <FontBlue>Gardien du temple</>.
52,Terminez le Gardien du temple avec des <FontBlue>niveaux supérieurs</> pour <FontBlue>acquérir de meilleurs équipements</>.
53,<FontBlue>Protégez l'artefact sacré</> contre les ennemis entrants.
54,<FontBlue>Attaquez le dragon</> dans le donjon et <FontBlue>acquérez de l’Adena</>.
55,Tuez le <FontBlue>Coffre au trésor d'Adena</> pour obtenir de l'<FontBlue>Adena supplémentaire</>.
56,<FontBlue>Éliminez plus</> de monstres pour acquérir <FontBlue>davantage d’EXP bonus</>.
57,Obtenez les buffs dans les donjons pour gagner en puissance.
58,"Vous pouvez entrer dans <FontBlue>n'importe quelle autre Salle du clan</>, pas uniquement la vôtre !"
59,<FontBlue>Renforcez le Cristal d'unité</> pour distribuer <FontBlue>différents buffs</> aux membres de votre clan.
60,La <FontBlue>valeur chaotique</> n'augmente pas dans l'Arène impitoyable.
61,Vous pouvez vous adonner à des agressions dans l'Arène impitoyable en ajustant vos <FontBlue>réglages du mode agressif.</>
62,Battez un joueur avec le <FontBlue>buff de sanctuaire</> de l'Arène impitoyable pour le lui prendre.
1003,Rejoignez un clan et conquérez des forteresses et des châteaux pour obtenir des avantages spéciaux !
1009,Vivez des <FontBlue>histoires passionnantes</> et des <FontBlue>quêtes dynamiques</> dans le <FontBlue>monde immersif</> de Lineage 2: Revolution.
1011,Participez à des <FontBlue>combats en temps réel</> dans l'immense <FontBlue>monde ouvert</> de Lineage 2: Revolution.
1014,Vous pouvez attaquer d’autres joueurs dans les zones où le JcJ est autorisé.
1015,Formez des <FontBlue>groupes</> pour affronter des <FontBlue>ennemis puissants</>.
1019,Des <FontBlue>donjons incroyables</> vous attendent.
1023,Rejoignez un <FontBlue>clan</> pour profiter de <FontBlue>divers avantages</> et fonctionnalités</>.
1024,Formez des <FontBlue>alliances</> avec d’autres clans pour gagner en puissance.
1025,Conquérez des châteaux lors des <FontBlue>Sièges de château à grande échelle</> pour <FontBlue>augmenter la puissance de votre clan</>.
1026,Conquérez des territoires lors des <FontBlue>Sièges de forteresse</> pour décrocher de formidables <FontBlue>récompenses</> et recevoir de l'<FontBlue>honneur</>.
72,Combattez en solitaire ou en groupe dans un <FontBlue>Siège ouvert</>. 
73,"Dans un Siège ouvert, <FontBlue> tout personnage et toute classe peuvent être sélectionnés</>, et les personnages se battront à <FontBlue>stats égales</>."
74,Explorez <FontBlue>un vaste monde ouvert</> avec votre <FontBlue>monture</> !
75,Obtenez des <FontBlue>matériaux de renforcement</> pour votre <FontBlue>monture</> dans le <FontBlue>cercle d'invocation</> !
76,"Protégez votre qualité de perfectionnement grâce au <FontBlue>système de perfectionnement de protection</> !
Atteindre une qualité de perfectionnement +7 / +10 / +20 vous évitera d'atteindre une qualité inférieure."
77,"Utilisez les <FontBlue>paramètres du deck de combat</> pour <FontBlue>passer facilement</>
des compétences à l'équipement en fonction de la situation."
78,Le <FontBlue>perfectionnement d'attribut</> vous imprègne d'encore plus de <FontBlue>pouvoirs spéciaux</>.
79,Participez à tout le <FontBlue>contenu</> que la <FontBlue>Salle du clan</> a à offrir !
80,Vous avez une chance d'obtenir de l'<FontBlue>équipement rare</> en <FontBlue>fusionnant</> de l'équipement.
81,Une <FontBlue>boîte d'équipement de haute qualité</> a une légère chance d'octroyer un <FontBlue>équipement rare</>.
