Id,Name,Description
1,Donjon quotidien,Obtenez quotidiennement les matériaux nécessaires pour renforcer.
2,Tour de l'insolence,De plus en plus haut ! Repoussez vos limites !
3,Donjon élite,Tuez de puissants monstres et obtenez quantité d'EXP !
4,Donjon d'extraction,Récupérez des herbes magiques pour préparer des élixirs !
5,Gardien du temple,Protégez les artefacts sacrés aux endroits clés pour gagner de l'équipement !
6,Donjon d'Adena,Volez des Adena dans le repaire d'un dragon avide !
7,Épreuves d'expérience,"Venez à moi, mes frères, si l'EXP est ce que vous désirez !"
8,Cercle d'invocation,"Descellez l'Artefact sacré et
obtenez des Pierres d'invocation !"
9,Donjon de Pierre de raffinement,Détruisez le portail interdimensionnel sous haute protection pour gagner des récompenses !
10,Vestiges de Varkaron,Les lames acérées de Varkaron infligeront des saignements importants.
11,Grotte de la Reine fourmi,"Dans les profondeurs de sa grotte, la Reine fourmi maîtrise les poisons."
12,Salle du Cœur de Cruma,"Le contrôleur de la Tour de Cruma
qui manipule les esprits."
13,Maliss,Maliss la tentatrice
14,Autel de la folie,"Dirigez-vous vers le
village orc fou !"
15,Boudoir de la comtesse du sang,"Retrouvez les soldats de Giran disparus
et la comtesse !"
