Id,NpcName,DialogMessage
1001,,
1002,,
2001,,
2002,,
3001,,
3002,"Psyché, gestionnaire du port","Bienvenue. Est-ce votre première visite de l'Île du discours ? 
En touchant ici, vous ferez passer la quête en mode automatique."
4001,,
4002,"Douglas, Cpt des mercenaires",La quête auto. s'arrête une fois la quête terminée. Touchez pour entamer la prochaine quête.
6001,@4002,Très bien. Vous avez ça dans le sang. Essayons une nouvelle quête.
11001,Capitaine Harold,Vous pouvez retrouver tous vos objets dans l'inventaire.
11002,,
11003,@11001,L'Équip. auto. est un moyen simple et rapide d'équiper le meilleur équipement.
11004,,
11005,@11001,"Cette fonctionnalité est particulièrement utile pour les nouveaux aventuriers comme vous, alors n'hésitez pas."
11006,,
12001,Feldheim,Les <YellowBold>Traits d'âme</> permettent des attaques plus puissantes.
12002,@12001,Vous devriez commencer par utiliser les Traits d'âme automatiquement !
12003,@12001,Les Traits d'âme ne sont utilisés que <YellowBold>lorsque vous attaquez</>.
12004,@12001,"Le reste du temps, ils sont conservés en sécurité."
12005,@12001,Vous ne voulez pas les utiliser automatiquement ? Touchez à nouveau.
12006,@12001,"<YellowBold>Les Traits d'âme sont disponibles au magasin</>, alors n'en tombez jamais à court !"
12007,,
13001,Niah,Parlons maintenant des donjons quotidiens.
13002,@13001,Vous en trouverez l'entrée dans le menu Donjon.
13003,@13001,Touchez ceci.
13004,@13001,Vous voyez les différents donjons ?
13005,@13001,"Si votre formation se passe bien, vous pourrez bientôt vous y frotter !"
13006,@13001,"Pour le moment, jetons un œil au donjon quotidien."
13007,@13001,"<YellowBold>Chaque jour, des monstres différents apparaissent</> dans les <YellowBold>donjons quotidiens</>."
13008,@13001,Éliminez-les pour obtenir des <YellowBold>récompenses spéciales</> !
13009,@13001,"Les monstres plus puissants accordent de meilleures récompenses, donc vous feriez mieux de gagner vous-même en puissance."
13010,@13001,"Allez-y, entrez !"
13011,,
13012,,
13013,,
13014,@13001,Le Combat auto. est disponible en cas de besoin.
13015,,
13016,,
13017,,
13018,@13001,Ouah ! Vous avez éliminé un monstre sacrément puissant !
13019,,
13020,@13001,"Vous ne pouvez entrer que quelques fois par jour, mais ne vous en faites pas. Le nombre d'entrées est <YellowBold>réinitialisé quotidiennement</>."
13021,,
13022,,
13023,@13001,"En cas d'échec, <YellowBold>l'entrée ne sera pas comptabilisée</>, donc n'hésitez pas à vous lancer des défis !"
13024,@13001,Bel effort ! La prochaine fois sera peut-être la bonne !
13025,,
14001,Daniel l'archonte,L'heure est venue de consulter vos succès et d'obtenir des récompenses.
14002,@14001,La première étape consiste à accéder aux Défis.
14003,@14001,Cela vous mènera aux Succès.
14004,@14001,Faites reconnaître vos <YellowBold>succès</> et recevez des <YellowBold>récompenses</> en échange.
14005,@14001,Vous avez travaillé dur. Vous avez déjà accompli des <YellowBold>succès</>.
14006,@14001,"Allez-y, récupérez cette récompense."
14007,,
14008,@14001,Bien joué. Vos hauts faits vous vaudront des <YellowBold>titres et capacités</>.
14009,@14001,Pensez à venir régulièrement pour suivre leur avancement.
14010,@14001,Continuez à travailler dur et vos efforts seront bientôt récompensés.
14011,@14001,"Plus le niv. de succès est élevé, plus les capacités seront puissantes et vous recevrez des ravitaillements comme récomp. quotidiennes."
14012,@14001,Ne négligez pas les <YellowBold>différents types de succès</> à accomplir.
14013,,
15001,Anaïs la marchande,Le magasin regorge d'objets utiles.
15002,@15001,@13003
15003,@15001,"Comme celui-ci. Souvenez-vous de son apparence, il vous servira plus tard !"
15004,@15001,Qu'est-ce que vous attendez ? Ouvrez !
