Id,Adventure,Difficulty
1,Tout,Tout
2,Donjon élite,Ruines elfiques 1
3,@2,Ruines elfiques 2
4,@2,Nid de fourmis 1
5,@2,Nid de fourmis 2
6,@2,Tour de Cruma 2
7,@2,Tour de Cruma 3
8,@2,Tour d'ivoire 1
9,@2,Tour d'ivoire 2
10,Donjon d'extraction,Donjon d'extraction
11,Gardien du temple,Facile
12,@11,Normal
13,@11,Difficile
14,@11,Extrême
15,Cercle d'invocation,@11
16,@15,@12
17,@15,@13
101,Boss de raid,Berger des esprits
102,@101,Zodiaque
103,@101,Kyrios
104,@101,Barbe grise
105,@101,Vapar
106,@101,Kazir
107,@101,Flagon
108,@101,Sina
109,@101,Amadeus
111,@101,Stenoa
112,@101,Marsha
118,@2,Tour d'ivoire 3
124,Faille temporelle,Autel de la folie - Facile
125,@124,Autel de la folie - Normal
129,@124,Boudoir de la comtesse du sang - Facile
130,@124,Boudoir de la comtesse du sang - Normal
140,Donjon de monstre rare,Île du discours
141,@140,Gludio
142,@140,Dion
143,@140,Giran
144,@140,Oren
145,Donjon de Pierre d'invocation de boss,@141
146,@145,@142
147,@145,@143
148,@145,@144
