Id,ActName,ChapterName
1,1. East Talking Island,Birth of a Hero
2,@1,Emerging Darkness
3,@1,The First Barrier
4,@1,Niah’s Friend
5,@1,Orc Hunters Assemble!
6,@1,Hazing
7,@1,Beginner’s Luck
8,@1,Elven Coronet
9,@1,Unbelievable Incident
10,@1,The Second Barrier
11,@1,Niah’s Disappearance
12,2. West Talking Island,Traces of the Archaeologists
13,@12,Search in Progress!
14,@12,Merciless
15,@12,Search Party
16,@12,The Third Barrier
17,@12,Can’t Let Go
18,@12,That Individual
19,3. Gludin Highway,Emergency Situation!
20,@19,Plan for Counterattack!
21,@19,The Suspicious Incident
22,@19,Evidence Discovered!
23,@19,Lonely Lady
24,@19,Tragedy
25,@19,Exterminate Kidnapper!
26,@19,Pleasant Faces
27,@19,Greedy
28,@19,Carrot and Stick
29,4. Gludio Plains,Earn Profit While You Can
30,@29,Raided Town
31,@29,Escape!
32,@29,Second Platoon In Peril
33,@29,Division
34,@29,Familiar Object
35,@29,Of Course!
36,@29,Foreseen Ending
37,@29,There’s No Time!
38,@29,Hero of Gludio
39,5. Windawood Manor,Missing Soldiers
40,@39,Rescue Plan!
41,@39,Reunite
42,@39,Ruin Decisive Battle
43,@39,Fight for Crystal
44,@39,Mysterious Man
45,@39,Ancient Demon
46,@39,Windawood Revenge Battle
47,@39,Sound the Bell of Counterattack
48,@39,Decisive Battle
49,6. Wasteland,Ivory Tower Wizard
50,@49,Poor Wizard
51,@49,Uncover the Truth
52,@49,Staris
53,@49,In Memory of the Dead
54,@49,Unusual Itinerant Vendors
55,@49,Halfway Point
56,@49,Ol Mahum Dispute
57,@49,Subjugate Rebellion
58,@49,Individual Circumstances
59,7. Plains of Dion,Orc Ambush
60,@59,Suspicious Letter
61,@59,Lizardman Invasion
62,@59,Girl with Amnesia
63,@59,To A Safe Place
64,@59,Finding Elie
65,@59,Reason For Confusion
66,@59,Dion Soldier’s Fight
67,@59,Dark Brotherhood’s Target
68,8. Cruma Swamp,Proliferating Spiders
69,@68,Pleasant Face
70,@68,Swamp Dark Brotherhood
71,@68,Stabbed in the Back!
72,@68,Attacked Researchers
73,@68,In Search of the Key
74,@68,To Cruma Tower
75,@68,Trap
76,@68,Suspicious Cat
77,9. Summit of Dissonance,Forest Hunter
78,@77,Unwelcome Guest
79,@77,To Tanor Chief
80,@77,@78
81,@77,Honorable Tanor
82,@77,Genuine Plan
83,@77,Public Enemy
84,@77,De Facto Power
85,10. Shrieking Hallows,For Those Who Have Passed
86,@85,Infinite Challenge
87,@85,Familiar Face
88,@85,Something that Shouldn't Be
89,@85,Death Quickening
90,@85,Heartless Trap
91,@85,Contract
92,@85,Sleep Once More
93,@85,Business Goes On
94,11. Giran Dominion,Business Starts With Sale
95,@94,A Cat’s Repayment
96,@94,Finding Brother I
97,@94,Finding Brother II
98,@94,Gorgon Queen
99,@94,Pandora’s Box
100,@94,Sealed Past
101,@94,Concealment
102,@94,Disappeared Delegation
103,@94,Rescue Delegation
104,12. Deathly Fog Shores,Pan’s Revenge
105,@104,Vanished Transportation Unit
106,@104,Uncover the Truth
107,@104,Realistic Runaway
108,@104,Reorganization
109,@104,Object Delivery
110,@104,Gnosis’s Trace
111,@104,Eternal Slumber
112,@104,Research Goes On
113,@104,Dark Harbor
114,@104,Revived Pirate Crew
115,13. Devil's Isle,Advance Party’s Whereabouts
116,@115,Odd Behavior
117,@115,A Place to Return To
118,@115,Tragedy I
119,@115,Pirate Crew’s Past
120,@115,Frederick’s Anger I
121,@115,Tragedy II
122,@115,Frederick’s Anger II
123,@115,Sad News
124,14. Haunted Necropolis,Rescue Oren Delegation
125,@124,Can’t Die Yet!
126,@124,Tree of Protection
127,@124,Ghost of Past
128,@124,Dead Memories
129,@124,Message for Future
130,@124,Pan is Pan
131,@124,Watchers
132,@124,Spirit Sword
133,@124,Hope Arisen
