Id,GipText
1,يوجد إجمالي <FontBlue>6 رتب معدات</>.
2,يمكنك فتح <FontBlue>صندوق واحد من صناديق استدعاء المعدات العادية 3 مرات في اليوم، مجانًا.</>
3,"اضغط على <FontBlue>الزر ""تلقائي""</> لمطادرة <FontBlue>الوحوش تلقائيًا</>."
4,اضغط على خريطة العالم <FontBlue>للانتقال</> إلى <FontBlue>الموقع المطلوب</>.
5,اضغط على <FontBlue>شخصية خارج سيطرة اللاعب أو وحش</> في خريطة العالم للانتقال إلى الموقع المطلوب.
6,يمكنك ضبط <FontBlue>جرعة الاستخدام المتكرر</> في <FontBlue>إعدادات - المعركة</>.
7,يمكنك <FontBlue>تخصيص المهارات وفقًا لما تراه</> بناءً على <FontBlue>سلاحك</>.
8,يزداد عدد <FontBlue>فتحات المهارات</> إلى <FontBlue>أقصى 5</> عندما تتعلم <FontBlue>مهارة نادرة</>.
9,عند <FontBlue>جمع</> المعدات، كل <FontBlue>الأنواع والتصنيفات</> يتم <FontBlue>توارثها</>.
10,ستصبح مهمة <FontBlue>نقل التصنيف</> متوفرة عندما تصل إلى <FontBlue>المستوى 31</>.
11,<FontBlue>ارتفعت الإحصائيات بشدة</> من خلال <FontBlue>طباعة الأحرف الرونية</>.
12,يمكنك <FontBlue>طباعة الأحرف الرونية</> بناءً على <FontBlue>ترتيب صفحات الأحرف الرونية</>.
13,إذا تمت ترقية <FontBlue>الأحرف الرونية المتجاورة</> إلى <FontBlue>نفس المستوى</>، فيمكنك زيادة <FontBlue>مستوى الأحرف الرونية الأساسية</>.
14,يمكنك الحصول على إحصائيات إضافية حسب <FontBlue>المستوى الكلي للشخصية</>.
15,يمكن فقط التزويد <FontBlue>بالبلورات المسكونة</> في <FontBlue>الفتحات ذات اللون الواحد</>.
16,يمكن توسيع <FontBlue>فتحة المعدات</> حسب <FontBlue>رتبة العنصر</>
17,استخدم <FontBlue>مخطوطة الوحش</> لرفع <FontBlue>مختلف مستويات مهارة الشخصية</>.
18,يمكنك دخول <FontBlue>سرداب يومي واحد</> مجانًا <FontBlue>كل يوم</>.
19,ارفع <FontBlue>رتبة الشرف</> في <FontBlue>الميدان</> لتحصل على <FontBlue>إحصائيات إضافية</>.
20,استقبل <FontBlue>نقاط الشرف اليومية</> و<FontBlue>جوائز الفئة</> في <FontBlue>الميدان</>.
21,أمسك <FontBlue>آكل العسل</> الذي يظهر في <FontBlue>منبع الاستخراج</> لكي تكون <FontBlue>مباركًا</> وتكسب <FontBlue>سرعة استخراج متزايدة</>.
22,اقبض على <FontBlue>ماندراجورا</> في منبع الاستخراج للحصول على <FontBlue>خلاصات الإكسير</>.
23,<FontBlue>استخدم الإكسير</> المصنوع من الأعشاب والخلاصات في <FontBlue>رفع</> إحصائياتك <FontBlue>للأبد</>.
24,<FontBlue>اقفز إلى أعلى</> في برج الغطرسة للحصول على المزيد من <FontBlue>قطع الأحرف الرونية</>.
25,احصل على <FontBlue>مكافأة خاصة</> كل <FontBlue>5 طوابق</> في <FontBlue>برج الغطرسة</>.
26,يمكنك <FontBlue>دخول</> برج الغطرسة <FontBlue>3 مرات مجانًا كل يوم</>.
27,أثناء <FontBlue>الوقت الإضافي</> في السرداب المتميز، حصلت على <FontBlue>نقاط خبرة ومعدل سقوط عناصر متزايد</>.
28,السردايب المتميزة هي <FontBlue>مناطق تتلقى عقوبات قتل لاعب</>.
29,احتل الحصون في حصار الحصن لجني المكافآت.
31,مطاردة زعماء الساحة للحصول على مكافآت خاصة.
35,يمكن فقط <FontBlue>لقبائل المستوى 4</> والمستويات الأعلى المشاركة في <FontBlue>حصارات الحصون</>.
41,يمكنك الحصول على <FontBlue>[مخطوطات منسية]</> و<FontBlue>[معدات عالية الجودة]</> كمكافآت من <FontBlue>مطاردات زعيم الساحة</>.
42,تحصل القبائل <FontBlue>المنتصرة في حصار الحصن</> على<FontBlue>دعم مساعد أثناء المطاردة في المنطقة</>.
44,@29
45,@35
51,<FontBlue>يجب تكوين فريق</> لدخول <FontBlue>معبد جارديان</>.
52,قم بإخلاء معبد جارديان ذي <FontBlue>المستويات الأعلى</> من أجل<FontBlue>الحصول على معدات أفضل</>.
53,<FontBlue>احمِ التحفة الأثرية المقدسة</> من الأعداء القادمين.
54,<FontBlue>هاجِم التنين</> في السرداب و<FontBlue>احصل على عملات أدينا</>.
