Id,TitleName
1001,Gludio Ruler
1002,Dion Ruler
1003,Giran Ruler
1004,Oren Ruler
2001,Gludin Highway Master
2002,Gludio Plains Master
2003,Windawood Manor Master
2004,Wasteland Master
2005,Plains of Dion Master
2006,Cruma Marshlands Master
2007,Summit of Dissonance Master
2008,Shrieking Hallows Master
2009,Giran Dominion Master
2010,Deathly Fog Shores Master
2011,Devil's Isle Master
2012,Haunted Necropolis Master
2013,Dragon Valley Master
2014,Northwind Plateau Master
2015,Eternal Lands Master
2016,Ivory Tower Master
2017,Dolmen Ruins Master
2018,Shattered Lands Master
2019,Obelisk of Victory Master
2020,Fortified Camp Master
2021,Whispering Woods Master
2022,Haunted Forest Master
2023,Western Scout Post Master
2024,Elven Ruins Master
