Id,Description
1,يقوم بتعيين دقة اللعبة. قد تعمل اللعبة بسلاسة أكبر عند تعيين إعدادات أقل.
2,يقوم بتعيين النطاق المعروض. قد تعمل اللعبة بسلاسة أكبر عند تعيين إعدادات أقل.
3,يضبط مدى سلاسة عرض الحدود. ستظهر الكائنات أغلظ عند تعيين إعدادات أقل، لكن قد تعمل اللعبة بسلاسة أكبر.
4,يقوم بتعيين تفاصيل المادة. قد تعمل اللعبة بسلاسة أكبر عند تعيين إعدادات أقل.
5,يقوم بتعيين جودة الظل. ستظهر الرسومات أكثر واقعية عند تعيين إعدادات أعلى.
6,يقوم بتعيين التزامن الرأسي. ستظهر الرسومات بسلاسة أكبر عند تعيين إعدادات أعلى.
7,@5
8,يقوم بتعيين جودة المادة. قد تعمل اللعبة بسلاسة أكبر عند تعيين إعدادات أقل.
9,مستوى تطوير المادة
10,يقوم بتعيين نسبة الدقة.
11,يشغل 1 قبل المرور داخل اللوحة.
12,يقوم بتعيين مدى رؤية ظلك.
13,يقوم بتعيين معدل إطارات الفيديو.
14,يقوم بتعيين جودة الرسومات المتعلقة باستخدام APU.
15,يقوم بتعيين جودة الرسومات المتعلقة باستخدام الذاكرة.
16,يقوم بتعيين جودة قناة الصوت.
17,يقوم بتعيين هدف عرض التأثير.
18,Configure if other players’ name tags are displayed.
19,Sets the maximum number of players to be displayed on your screen.
20,Sets the equipment to be displayed on your screen.
21,Configure if cloaks are displayed.
22,"Configure Level of Enhancement Broadcasting (Enhance Success, Enhance Failed)."
23,Sets the master sound volume.
24,Sets the background sound volume.
25,Sets the sound effect volume.
26,Sets the voice actor volume.
27,Toggles vibration feedback.
28,Toggles your mobile device’s auto-turn on/off feature.
29,Toggles the voice chat’s auto-play feature.
30,You can toggle all in-game notifications.
31,Receive game notifications.
32,Receive game notice notifications.
33,Turning this off blocks all notification between 9pm and 8am.
34,Turn off this option to disable pop-up notifications (except high-priority notifications).
35,Turn off this option to disable 1:1 Chat pop-up notifications.
36,Turn off this option to disable Clan Chat pop-up notifications.
37,Turn off this option to disable Party Chat pop-up notifications.
44,Sets the HP at which to use HP Potions automatically.
45,Sets the MP at which to use MP Potions automatically.
46,Sets the HP percentage at which to use healing skills automatically.
47,Sets the order of potions to use when using HP Potions automatically.
48,Sets the order of potions to use when using MP Potions automatically.
49,Displays normal attack range.
50,Sets the range your character moves within while in Auto-Battle.
51,Sets the minimum grade for equipment to acquire.
52,Displays the current target of the target selected by the player.
53,Displays the target’s HP in various ways.
54,Escape to safety when you encounter Elite or greater Monsters while in Auto-Battle.
55,You will acquire items of at least this grade. (Will not acquire lower grade items.)
56,
57,
58,
59,Sets the control area of the Digital Analog controls to a fixed area of the screen.
60,Translates chat messages to the language used in-game.
61,Sets which languages should or should not be translated in chat.
62,@61
63,@61
64,@61
65,@61
66,@61
67,@61
68,@61
69,@61
70,@61
71,@61
