Id,Text
1,Hunt
2,Quest
3,Craft Elixir
4,Craft Forgotten Scroll
5,Achievement
6,Recess Reward
7,Complete Now
8,Friendship Point Shop
9,Summon Shop
10,Consumables Shop
11,Adena Shop
12,Topaz Shop
13,Bundle Shop
14,Loyalty Shop
15,Recharge Diamonds
16,Daily Diamond
17,Login Bundle
18,Strengthening Bundle
19,Elite Dungeon
20,Daily Dungeon
21,Tower of Insolence
22,Extraction Pit
23,Arena
24,Friend
25,Clan Shop
26,Clan Gift Shop
27,Clan Achievement
28,Blue Diamond Shop
29,Clan Donation
30,Greet Clan Members
31,Daily Activities
32,Honorable Battlefield
33,Courageous Battlefield
34,Ancient Battlefield
35,Clan Hall Quest
36,"Normal, Named"
37,World Boss
38,Field Boss
39,@20
40,Bind
41,Salvage
42,Temple Guardian
43,Adena Vault
44,Summoning Circle
45,Clan Hall Relic
46,Treasure Chest
47,Conquer Shop
48,Castle Siege Festival
49,Scroll Shop
50,Events
51,Journey Event
52,Web Event
53,Login Reward
54,Lend A Hand
55,Castle Siege
56,Fortress Siege
57,Salvage Core
58,Soul Crystal
59,Exchange
60,Open Siege
61,Temporal Rift
62,정복자의 전당
63,Clan Dungeon
