Id,Value
1,انضمَ [Param1] إلى القبيلة.
2,غادرَ [Param1] القبيلة.
3,فئة [Param1] أصبحت [Param2]{[Param2]|}.
4,تم تعيين [Param1] رئيسًا جديدًا للقبيلة.
5,لقد وصل مستوى القبيلة إلى [Param1]{[Param1]}.
6,كوّن تحالفًا مع [Param1].
7,لقد انتهى التحالف مع [Param1].
8,لقد منح [Param1] مكافأة لـ [Param2].
9,لقد منح [Param1] مكافآت لكل أعضاء القبيلة.
10,نجح في احتلال [Param1].
11,تجديد سعر المزايدة [Param1]!
12,لقد تمت زيادة سعر المزايدة البالغ [Param1].
13,تتعرض مقرات حصار [Param1] لهجوم.
14,لقد تم تدمير مقرات حصار [Param1].
15,ستتم إعادة تعيين بطاقات المهرجان عندما يبدأ حصار القلعة. سارع وتقدّم بطلب للحصول على قسيمة.
16,قام [Time] [Param1] بتسجيل الدخول بالفعل.
17,تم تعيين [Param1] رئيسًا جديدًا للقبيلة بسبب الغياب الطويل لرئيس القبيلة السابق وعدم حضوره.
18,سيظهر الدعم الجيد في غضون [Param1] من الثواني.
19,لقد هزم [Param1] [Param2].
20,لقد حصل الفريق الأزرق على [Param1]{[Param1]}.
21,لقد حصل الفريق الأحمر على [Param1]{[Param1]}.
22,لقد حقق [Param1] [Param2] من عمليات القتل المتتالية!
23,لقد حقق [Param2] من [Param1] [Param3] من عمليات القتل المتتالية!
24,لقد تم فتح ساحة المعركة المشرفة. انضم إلى القتال!
25,تبدأ ساحة المعركة المشرفة في غضون [Param1] دقيقة (دقائق). استعد للمعركة!
26,لقد تم فتح ساحة المعركة الباسلة. انضم إلى القتال!
27,تبدأ ساحة المعركة الباسلة في غضون [Param1] دقيقة (دقائق). استعد للمعركة!
28,لقد كافأ [Param1] [Param3] لاعبًا (لاعبين)، بما في ذلك [Param2].
