BattlefieldType,BattlefieldFXSoundNPCinfoID,FxSoundKey,FxSound
Battlefield,,BattlefieldBegin,Dialogue/System/Announce/Sys_Anno_Female_1
Battlefield,,Fight,Dialogue/System/Announce/Sys_Anno_Female_2
Battlefield,,BuffGeneration,Dialogue/System/Announce/Sys_Anno_Female_3
Battlefield,,BuffAcquisitionvBlueTeam,Dialogue/System/Announce/Sys_Anno_Female_4
Battlefield,,BuffAcquisitionvRedTeam,Dialogue/System/Announce/Sys_Anno_Female_5
Battlefield,,AllKillRedTeam,Dialogue/System/Announce/Sys_Anno_Female_6
Battlefield,,AllKillBlueTeam,Dialogue/System/Announce/Sys_Anno_Female_7
Battlefield,,BattlefieldWin,Dialogue/System/Announce/Sys_Anno_Female_14
Battlefield,,BattlefieldLose,Dialogue/System/Announce/Sys_Anno_Female_15
Battlefield,,AdvanceRank,Dialogue/System/Announce/Sys_Anno_Female_16
Battlefield,,DemotionRank,Dialogue/System/Announce/Sys_Anno_Female_17
FortressSiege,,EnterTheFortressSiege,Dialogue/System/Announce/Sys_Anno_Female_18
FortressSiege,,FortressSiegeAttackerBegin,Dialogue/System/Announce/Sys_Anno_Female_19
FortressSiege,,FortressSiegeDefenderBegin,Dialogue/System/Announce/Sys_Anno_Female_20
FortressSiege,,AltarWindSealComplete,Dialogue/System/Announce/Sys_Anno_Female_21
FortressSiege,,AltarWindSealReset,Dialogue/System/Announce/Sys_Anno_Female_22
FortressSiege,,AltarLandSealComplete,Dialogue/System/Announce/Sys_Anno_Female_23
FortressSiege,,AltarLandSealReset,Dialogue/System/Announce/Sys_Anno_Female_24
FortressSiege,,AllFortressSiegeAltarSealComplete,Dialogue/System/Announce/Sys_Anno_Female_25
FortressSiege,1,RedTeamGuardTowerDestroy,Dialogue/System/Announce/Sys_Anno_Female_26
FortressSiege,2,BlueTeamGuardTowerDestroy,Dialogue/System/Announce/Sys_Anno_Female_27
FortressSiege,,RedTeamAllGateDestroy,Dialogue/System/Announce/Sys_Anno_Female_28
FortressSiege,,BlueTeamAllGateDestroy,Dialogue/System/Announce/Sys_Anno_Female_29
FortressSiege,,RedTeamHolyArtifactBegin,Dialogue/System/Announce/Sys_Anno_Female_30
FortressSiege,,BlueTeamHolyArtifactBegin,Dialogue/System/Announce/Sys_Anno_Female_31
FortressSiege,,RedTeamHolyArtifactFail,Dialogue/System/Announce/Sys_Anno_Female_32
FortressSiege,,BlueTeamHolyArtifactFail,Dialogue/System/Announce/Sys_Anno_Female_33
FortressSiege,,FortressSiegeDefenderWin,Dialogue/System/Announce/Sys_Anno_Female_34
FortressSiege,,FortressSiegeAttackerWin,Dialogue/System/Announce/Sys_Anno_Female_35
FortressSiege,,FortressSiegeDefenderLose,Dialogue/System/Announce/Sys_Anno_Female_36
FortressSiege,,FortressSiegeAttackerLose,Dialogue/System/Announce/Sys_Anno_Female_37
CastleSiege,,EnterTheCastleSiege,Dialogue/System/Announce/Sys_Anno_Female_38
CastleSiege,,CastleSiegeAttackerBegin,Dialogue/System/Announce/Sys_Anno_Female_39
CastleSiege,,CastleSiegeDefenderBegin,Dialogue/System/Announce/Sys_Anno_Female_40
CastleSiege,,AltarFireSealComplete,Dialogue/System/Announce/Sys_Anno_Female_41
CastleSiege,,AltarFireSealReset,Dialogue/System/Announce/Sys_Anno_Female_42
CastleSiege,,AltarWaterSealComplete,Dialogue/System/Announce/Sys_Anno_Female_43
CastleSiege,,AltarWaterSealReset,Dialogue/System/Announce/Sys_Anno_Female_44
CastleSiege,,AllCastleSiegeAltarSealComplete,Dialogue/System/Announce/Sys_Anno_Female_25
CastleSiege,3,AllCastleSiegeBaseDestroy,Dialogue/System/Announce/Sys_Anno_Female_45
CastleSiege,4,AllCastleSiegeExternalGateDestroy,Dialogue/System/Announce/Sys_Anno_Female_46
CastleSiege,5,AllCastleSiegeGuardTowerDestroy,Dialogue/System/Announce/Sys_Anno_Female_47
CastleSiege,,HolyArtifactBegin,Dialogue/System/Announce/Sys_Anno_Female_48
CastleSiege,,HolyArtifactFail,Dialogue/System/Announce/Sys_Anno_Female_49
