Key,Command,Value
1,,글로벌스트링 임시데이터
999,,String matching error
1001,,Diamond
1002,,Adena
1003,,SP
1004,,Rune Fragment
1005,,Proof of Blood
1006,,Friendship Point
1007,,Mileage
1008,,Topaz
1009,,Clan Coin
1010,,Blue Diamond
1011,,Red Diamond
1012,,Clan Adena
1013,,Clan Proof of Blood
1014,,Siege Festival Ticket
1015,,Clan Red Starstone
1016,,Red Starstone
1017,,Exp.
1018,,Diamond
1019,,Soulshot
1020,,Enhancement Scroll
1021,,Blessed Scroll
1022,,Upgrade Stone
1023,,Herb
1024,,Elixir
1025,,Monster Core
1026,,Forgotten Scroll
1027,,Mendapat Auto-Clear
1028,,Potion
1029,,Elixir Essence
2000,,Semua
2001,,Daily Dungeon
2002,,Elite Dungeon
2003,,Extraction Dungeon
2004,,Equipment Dungeon
2005,,Adena Dungeon
2006,,Tower of Insolence
2007,,Enhancement Scroll Dungeon
2008,,Refining Stone Dungeon
2009,,Raid Boss
2010,,Dungeon Clan
2011,,Arena
2012,,Scrimmage Arena
2013,,Ancient Battlefield
2014,,Courageous Battlefield
3001,,Rekomendasi Toko
3002,,Toko Summon
3003,,Toko Consumable
3004,,Toko Adena
3005,,Toko Topaz
3006,,Toko Bundle
3007,,Toko Mileage
3008,,Recharge Diamond
3009,,Toko Blue Diamond
3010,,Toko Clan
3011,,Toko Gift
3012,,Daily Diamond
3013,,Login Diamond
3014,,Strengthen Diamond
3015,,Daily Adena
4001,,Hunt
4002,,Quest
4003,,Craft Elixir
4004,,Craft Forgotten Scroll
4005,,Path of the Hero
4006,,Reward Istirahat
4007,,Selesaikan
4008,,Clan Quest
4009,,Donasi Clan
4010,,Sapa Member Clan
4011,,Clan Quest
4012,,Mission Diperlukan
4013,,Teman
4014,,Class Transfer
4015,,Equipment
4016,,Soul Crystal
4017,,Weapon
4018,,Armor
4019,,Accessory
4020,,Kecil
4021,,Medium
4022,,Besar
4023,,Normal Monster
4024,,Elite Monster
4025,,Boss
4026,,Bronze
4027,,Silver
4028,,Gold
4029,,High-grade Equipment
4030,,Normal
4031,,High-grade
4032,,Highest-grade
5001,,Paladin
5002,,Temple Knight
5003,,Shillien Knight
5004,,Guardian
5005,,Warlord
5006,,Bladedancer
5007,,Swordsinger
5008,,Slayer
5009,,Treasure Hunter
5010,,Plains Walker
5011,,Abyss Walker
5012,,Scavenger
5013,,Hawkeye
5014,,Silver Ranger
5015,,Phantom Ranger
5016,,War Ranger
5017,,Sorcerer
5018,,Spellsinger
5019,,Spellhowler
5020,,Battle Mage
5021,,Bishop
5022,,Elder
5023,,Shillien Elder
5024,,Sage
10001,,C
10002,,B
10003,,A
10004,,S
10005,,R
10006,,SR
10007,,UR
10101,,C - B
10102,,C - A
10103,,C - S
10104,,C - R
10105,,C - SR
10106,,C - UR
10201,,B - A
10202,,B - S
10203,,B - R
10204,,B - SR
10205,,B - UR
10301,,A - S
10302,,A - R
10303,,A - SR
10304,,A - UR
10401,,S - R
10402,,S - SR
10403,,S - UR
10501,,R - SR
10502,,R - UR
10601,,SR - UR
80001,,"Format Tampilan Waktu
{31d:5w:6p:12m:80001f}
Tanggal d, Hari w, Jam a/p, Menit m
80001f = String Format + f(Format Abbreviation)"
81001,,[24H]:[mm]
81002,,[W] [24H]:[m]
81003,,[W]
81005,,[D]/[M]/[Y] [24H]:[m]
81006,,[D]/[M]/[Y] [24H]:[m]
81007,,[D]/[M]
81008,,[24HH]:[mm]
81009,,[D]-[M]-[Y] [24H]:[mm]
81010,,[D]
81011,,[M]
81012,,[m]
10000019,,Spring of Recovery
10000031,,Red Team West Tower
10000032,,Red Team East Tower
10000033,,Red Team Holy Artifact Tower
10000034,,Blue Team West Tower
10000035,,Blue Team East Tower
10000036,,Blue Team Holy Artifact Tower
10000043,,Class Change Revision
10000101,,Central Siege Camp
10000102,,East Siege Camp
10000103,,West Siege Camp
10000104,,Central Gatehouse
10000105,,East Gatehouse
10000106,,West Gatehouse
10000107,,Main Gate Left Defense Tower 
10000108,,Main Gate Right Defense Tower 
10000109,,Audience Chamber Left Defense Tower 
10000110,,Audience Chamber Right Defense Tower 
10000111,,West Gate Left Defense Tower 
10000112,,West Gate Right Defense Tower 
10000113,,East Gate Left Defense Tower 
10000114,,East Gate Right Defense Tower 
10000115,,Gate of Fire Left Defense Tower 
10000116,,Gate of Fire Right Defense Tower 
10000117,,Gate of Water Left Defense Tower 
10000118,,Gate of Water Right Defense Tower 
10000119,,Holy Artifact Chamber Left Tower 
10000120,,Holy Artifact Chamber Right Tower 
10000121,,Holy Artifact Left Tower 
10000122,,Holy Artifact Right Tower 
10000123,,Left Trap 
10000124,,Right Trap 
10000201,,Lloyd
10000203,,Jackie
10000211,,Crystal of Unity
10000301,,Green Robust Ratel
10000302,,Silver Robust Ratel
10000303,,Gold Robust Ratel
10000304,,Mandragora
10000305,,Garden Sentry
10001001,,Growler
10003010,,Gorgon Queen Stenoa
10003033,,Ketra Orc Seeker
10003034,,Ketra Orc White Captain
10003035,,Ketra Orc Ranger Captain
10003060,,Ol Mahum Warchief
10003086,,Tanor Silenos Chief
10003098,,Typheron
10003104,,White Wolf
10003105,,Rabid Cougar
10003121,,Disorderly Warrior
10003122,,Kurklin the Shredder
10003123,,Chief Turamathia
10003124,,Shelop Watcher
10003125,,Dragon Hatchling
10010000,,Hardin
10010001,,Theodore
10010002,,Smiley
10010003,,Bambam
10010004,,Adventurer
10010010,,Security Lieutenant
10010012,,Penduduk Kota
10010013,,Aristocrat
10010052,,Priest
10010059,,Thug
10010062,,Maid
10010102,,Sailor
10010104,,Isaac
10010105,,Psyche
10010108,,Navigator
10010109,,Trader
10010110,,Gludio Ship Attendant
10010111,,Peddler
10010112,,Gludio Ship Captain
10010113,,Penduduk Kota
10010114,,Kainess
10010115,,Anais
10010117,,Daniel
10010118,,Kynell
10010119,,Krius
10010121,,Roarke
10010122,,Dekkan
10010123,,Paws
10010124,,Mercenary
10010125,,Penzel
10010129,,Seriana
10010131,,Ajax
10010132,,Hazem
10010144,,Harold
10010149,,Douglas
10010150,,Codellia
10010151,,Niah
10010152,,Sinister Wizard
10010153,,Feldheim
10010154,,Purifying Fairy
10010156,,Aman
10010157,,Pesca
10010158,,Pan
10010159,,Terre
10010160,,Helia
10010161,,Town Guard
10010162,,Skeleton Soldier
10010163,,Russel
10010164,,Austin
10010165,,Arthur
10010166,,Albert the Giant
10010167,,Eugene
10010168,,Tau
10010169,,Jupie
10010170,,Orc Butcher
10010171,,Leo
10010175,,Einhovant Mystic
10010188,,Ferron
10010190,,Orc Kidnapper
10010191,,Arkeolog
10010202,,Ticket Inspector
10010210,,Arnold
10010215,,Cecile
10010218,,Canaria
10010221,,Hanna
10010227,,Andy
10010236,,Ethan
10010301,,Veteran Sailor Karlov
10010302,,Draid
10010304,,Patton
10010305,,East Gate Guard
10010307,,Kadol
10010308,,Forde
10010311,,Barry
10010312,,Luna
10010313,,Abel
10010315,,Picas
10010316,,Caiman
10010317,,Kristina
10010318,,Kyzel
10010319,,Gairan
10010320,,Gauss
10010321,,Dumel
10010322,,Faust
10010323,,Aruman
10010325,,Gludin Guard
10010326,,Nestor
10010327,,Galatea
10010330,,Harvey
10010331,,Athena
10010334,,Aren
10010335,,Kris
10010336,,Erica Ken Weber
10010337,,Silika
10010338,,Norman
10010339,,Ramog
10010340,,Walter
10010342,,Steven
10010344,,Hamel
10010345,,Augel
10010346,,Helena
10010348,,Eleanor
10010349,,Dark Mystic
10010350,,Byron
10010352,,Elos
10010353,,Jackson
10010357,,Aymel
10010360,,Thomas
10010361,,Andrew
10010362,,Martin
10010363,,Gludin Soldier
10010364,,Charles
10010371,,Ol Mahum Blood Ranger
10010374,,Penduduk yang Diculik
10010380,,Billy
10010381,,Pirate Zombie
10010382,,Ol Mahum Scout
10010383,,Ol Mahum Looter
10010387,,Nero
10010388,,Varot
10010389,,Vinath
10010390,,Laurel
10010391,,Faute
10010392,,Bhan
10010393,,Bolt
10010394,,Zarin
10010396,,Einhasad Priest
10010402,,Gludio Archon
10010404,,Monster Exterminator
10010407,,Injured Soldier
10010415,,Damion
10010416,,Ilya
10010418,,Mirio
10010419,,Micia
10010420,,Orpheus
10010421,,Kyritos
10010422,,Asnath
10010423,,Nebulus
10010424,,Gludio Guard
10010426,,Lyra
10010427,,Helix
10010428,,Simon
10010429,,Sodan
10010430,,Kyliana
10010431,,Gabi
10010432,,Kachu
10010438,,Horen
10010440,,Melina
10010441,,Draiden
10010442,,Keshupone
10010443,,Reuenthal
10010445,,Eric
10010446,,Melbourne
10010447,,Hexor
10010448,,Heath
10010450,,Dragos
10010451,,Karin
10010452,,Gludio Soldier
10010456,,Blood Ranger
10010458,,Polemus
10010461,,Captured Guard
10010462,,Amos
10010464,,Militiaman
10010465,,West Blood Ranger
10010466,,Frantic Soldier
10010467,,Prajurit dalam Kekacauan
10010468,,Elizabeth
10010470,,Chancellor’s Escort
10010475,,Lonna
10010487,,Palmon
10010488,,Alban
10010490,,Pante
10010491,,Hamon
10010493,,Dorothy
10010494,,Mitchell
10010495,,Sara Ra
10010497,,Knox
10010501,,Shayne
10010502,,Emil
10010503,,Dark Brotherhood
10010504,,Southern Troop Commandant
10010507,,Blood Ranger Soldier
10010508,,Angie
10010509,,Reinheim
10010510,,Pria Hilang Ingatan
10010511,,Carlze
10010512,,Gert
10010513,,Kail
10010514,,Duvalte
10010516,,Scouting Party Member
10010517,,Miles
10010519,,Latos
10010522,,Aurora
10010523,,Escort Soldier
10010525,,Soldier Recruit
10010527,,Troop Captain
10010532,,Reinforcement
10010546,,Kegoon
10010547,,Turek Orc Soldier Recruit
10010549,,Leopold
10010550,,Vicky
10010554,,Korum
10010577,,Warga yang Diculik
10010584,,Arche
10010588,,Darian
10010589,,Psy
10010602,,Edina
10010603,,Emon
10010604,,Western Adventurer
10010605,,Frightened Old Man
10010606,,Staris
10010610,,Monta
10010611,,Staris's Minion
10010613,,Astrologer Tiana
10010614,,Merchant
10010621,,Orang Tua yang Hampir Mati
10010631,,Swan
10010633,,Void
10010634,,Void Demon
10010635,,Red-Hair Ol Mahum Chief
10010646,,Charlie
10010647,,Tom
10010648,,Aria
10010649,,Peter
10010680,,Fallen Scout
10010684,,Shane
10010702,,Anak Hilang
10010709,,Clark
10010714,,Jurio
10010715,,Ralfina
10010716,,Huck
10010717,,Sara
10010718,,Gus
10010719,,Alf
10010720,,Morrison
10010721,,Rody
10010722,,Reuel
10010724,,Dion Guard
10010725,,Kazimoo
10010726,,Phoebe
10010730,,Jeld
10010732,,Marina
10010737,,Mahert
10010738,,Blood Ranger
10010739,,Vacen
10010740,,Mike
10010741,,Blood Ranger Soldier
10010742,,Parvill
10010743,,Thano
10010744,,Leia
10010745,,Nora
10010746,,Mystic Zaab
10010750,,Wounded Soldier
10010753,,Vascilious
10010754,,Penduduk yang Selamat
10010755,,Escort Soldier
10010768,,Theron
10010770,,Pavel
10010772,,Mechillen
10010774,,Alberto
10010775,,Mellon
10010776,,Ancelotti
10010777,,Evna
10010779,,Lucas
10010780,,Tony
10010784,,Morgoh
10010785,,Breka Destroyer
10010786,,Breka Giant Archer
10010802,,Laris
10010807,,Peneliti
10010811,,Guard Ligus
10010812,,Oden
10010813,,Bruin
10010814,,Guard Phard
10010819,,High Priest
10010822,,Swamp Guard
10010823,,Elie
10010828,,Mitereu
10010837,,Fallen Pan
10010838,,Hans
10010839,,Guard
10010842,,Horace
10010850,,Carmen
10010854,,Azir
10010858,,McCrane
10010859,,Pente
10010860,,Magikos
10010862,,Infant Stakato
10010902,,Vague
10010906,,Durzel
10010915,,Borys
10010925,,Gromwell
10010926,,Rouen
10010927,,Ashley
10010930,,Bartum
10010932,,Chief's Guards
10010933,,Al'Dahir
10010934,,Kankoon
10010935,,Jangdo
10010936,,Zawar
10011003,,Balu
10011004,,Valter
10011005,,Diabolos
10011010,,Injured Merchant
10011011,,Guillotine
10011014,,Mania
10011016,,Tortured Royal Knight
10011018,,Dimsdale
10011019,,Yumaeri
10011022,,Neville
10011026,,Inore
10011031,,Cowboy
10011102,,Giran Guard Captain
10011103,,Blood Queen
10011105,,Sesepuh Kota
10011107,,Botanist
10011108,,Ervin
10011109,,Mael
10011110,,Anora
10011114,,Muse
10011115,,Mischa
10011116,,Shannon
10011117,,Rael
10011118,,Lucius
10011119,,Giran Guard
10011120,,Krovis
10011121,,Gawain
10011122,,Crowale
10011123,,Vaster
10011124,,Medlam
10011125,,Artemis
10011129,,Alice
10011132,,Vehin
10011136,,Linfield
10011140,,Vishnua
10011155,,Meldon
10011159,,Vehin's Comrade
10011165,,Innadril Chancellor
10011167,,Chancellor's Attendant
10011168,,Chancellor's Carrier
10011178,,Sir Owen
10011180,,Christian
10011186,,Gardner
10011187,,Jaid
10011188,,Royce
10011189,,Jean
10011190,,Ingham
10011191,,Paul
10011192,,MacNahan
10011194,,Todd
10011195,,Rancho
10011206,,Stranded Merchant
10011208,,Merchant of the East
10011210,,Arzen
10011214,,Anna
10011222,,Hugh
10011224,,MacBain
10011225,,Falt
10011226,,Shao
10011227,,Oona
10011228,,Page
10011229,,Maliss
10011240,,Phobos
10011241,,Lyle
10011244,,Cartess
10011245,,Lyle's Royal Guard
10011249,,Aiden
10011251,,Frederick
10011255,,Gnosis
10011257,,Benjamin
10011265,,Votang
10011266,,George
10011268,,Farlon
10011270,,Ruben
10011271,,Jane
10011305,,West Gate Guard
10011317,,Barrett
10011324,,Zaken’s Patrol Unit
10011325,,Railey
10011327,,Kirion
10011350,,Executor
10011352,,Phantom of Zaken
10011354,,Soul Collector
10011356,,Nix
10011358,,Osto
10011363,,Ditch
10011364,,Tark
10011367,,Penjaga Termanipulasi
10011369,,Ancient Demon
10011404,,Putine
10011406,,Juan
10011407,,Hunter
10011410,,Jen
10011411,,Caranese
10011412,,Cara
10011413,,Natalie
10011415,,Adams
10011417,,Ravine Breka High Warchief
10011418,,Wizard
10011420,,Vanquished Pan
10011421,,Rowen
10011426,,Veremus
10011427,,Blood King
10011429,,Celin
10011430,,Veren
10011432,,Buhill
10011433,,Lawrence
10011434,,Kutcher
10011439,,Nithos
10011451,,Ravine Breka Royal Guard
10011452,,Ravine Breka Elite Soldier
10011453,,Cardinal's Retinue
10011454,,Cardinal's Carrier
10011455,,Quesnel
10011456,,Fettered Soul
10011473,,Patrol Unit
10011477,,Hammon
10011501,,Var
10011502,,Surmin
10011504,,Enraged Tanor Herald
10011505,,Enraged Tanor Chief
10011507,,Enraged Tanor Escort
10011511,,Ramone
10011512,,Dewyl
10011513,,Aida
10011514,,Sereos
10011515,,Runan
10011516,,Lowe
10011517,,Gale
10011518,,Arkham
10011519,,Rhias
10011520,,Boadeu
10011526,,Mammon
10011533,,Guard Captain
10011601,,Karen
10011603,,Molly
10011606,,Ivory Tower Warden
10011703,,Oren Blood Ranger Soldier
10011704,,Oren Blood Ranger Captain
10011707,,Ivory Tower Wizard
10011711,,Post Guard
10011713,,Blood Ranger Dan
10011714,,Molly's Soul Fragment
10011801,,Dragon Valley Merchant
10020101,,Prairie Vampire Bat
10020102,,Werewolf
10020103,,Prairie Antelope
10020104,,Red Bear
10020105,,Black Wolf
10020106,,Pincher
10020107,,Giant Pincher
10020108,,Orc Trooper
10020109,,Orc Archer
10020111,,Orc Scout
10020112,,Spider Egg
10020117,,Ruin Werewolf
10020118,,Prairie Red Bear
10020121,,Prairie Bat
10020123,,Orc Sentinel
10020125,,Grizzly Bear
10020126,,Orc Marauder
10020127,,Hermit Spider
10020141,,Orc Foreman
10020144,,Orc Escort
10020148,,Walking Fungus
10020149,,Elusive Premo
10020181,,Black Fang
10020182,,Silverhorn
