ItemType,ItemGrade,EquipmentType,WeaponType,Level,EnchantEfficiency,SuccessRate,SuccessRateBless,FailurePenalty,RequiredAdena,RequiredProtectionJewel,RequiredEnchantScroll
Equipment,C,Weapon,Sword,0,0,10000,10000,0,3400,0,1
Equipment,C,Weapon,Sword,1,5,10000,10000,0,3400,0,1
Equipment,C,Weapon,Sword,2,10,10000,10000,0,3400,0,1
Equipment,C,Weapon,Sword,3,15,9000,9000,1,3400,1,1
Equipment,C,Weapon,Sword,4,20,8000,8000,1,3400,1,1
Equipment,C,Weapon,Sword,5,28,,,,,,
Equipment,C,Weapon,Spear,0,0,10000,10000,0,3400,0,1
Equipment,C,Weapon,Spear,1,5,10000,10000,0,3400,0,1
Equipment,C,Weapon,Spear,2,10,10000,10000,0,3400,0,1
Equipment,C,Weapon,Spear,3,15,9000,9000,1,3400,1,1
Equipment,C,Weapon,Spear,4,20,8000,8000,1,3400,1,1
Equipment,C,Weapon,Spear,5,28,,,,,,
Equipment,C,Weapon,DualSword,0,0,10000,10000,0,3400,0,1
Equipment,C,Weapon,DualSword,1,5,10000,10000,0,3400,0,1
Equipment,C,Weapon,DualSword,2,10,10000,10000,0,3400,0,1
Equipment,C,Weapon,DualSword,3,15,9000,9000,1,3400,1,1
Equipment,C,Weapon,DualSword,4,20,8000,8000,1,3400,1,1
Equipment,C,Weapon,DualSword,5,28,,,,,,
Equipment,C,Weapon,Dagger,0,0,10000,10000,0,3400,0,1
Equipment,C,Weapon,Dagger,1,5,10000,10000,0,3400,0,1
Equipment,C,Weapon,Dagger,2,10,10000,10000,0,3400,0,1
Equipment,C,Weapon,Dagger,3,15,9000,9000,1,3400,1,1
Equipment,C,Weapon,Dagger,4,20,8000,8000,1,3400,1,1
Equipment,C,Weapon,Dagger,5,28,,,,,,
Equipment,C,Weapon,Bow,0,0,10000,10000,0,3400,0,1
Equipment,C,Weapon,Bow,1,5,10000,10000,0,3400,0,1
Equipment,C,Weapon,Bow,2,10,10000,10000,0,3400,0,1
Equipment,C,Weapon,Bow,3,15,9000,9000,1,3400,1,1
Equipment,C,Weapon,Bow,4,20,8000,8000,1,3400,1,1
Equipment,C,Weapon,Bow,5,28,,,,,,
Equipment,C,Weapon,Staff,0,0,10000,10000,0,3400,0,1
Equipment,C,Weapon,Staff,1,5,10000,10000,0,3400,0,1
Equipment,C,Weapon,Staff,2,10,10000,10000,0,3400,0,1
Equipment,C,Weapon,Staff,3,15,9000,9000,1,3400,1,1
Equipment,C,Weapon,Staff,4,20,8000,8000,1,3400,1,1
Equipment,C,Weapon,Staff,5,28,,,,,,
Equipment,C,Armor,,0,0,10000,10000,0,900,0,1
Equipment,C,Armor,,1,5,10000,10000,0,900,0,1
Equipment,C,Armor,,2,10,10000,10000,0,900,0,1
Equipment,C,Armor,,3,15,9000,9000,1,900,1,1
Equipment,C,Armor,,4,20,8000,8000,1,900,1,1
Equipment,C,Armor,,5,28,,,,,,
Equipment,C,Gloves,,0,0,10000,10000,0,900,0,1
Equipment,C,Gloves,,1,5,10000,10000,0,900,0,1
Equipment,C,Gloves,,2,10,10000,10000,0,900,0,1
Equipment,C,Gloves,,3,15,9000,9000,1,900,1,1
Equipment,C,Gloves,,4,20,8000,8000,1,900,1,1
Equipment,C,Gloves,,5,28,,,,,,
Equipment,C,Boots,,0,0,10000,10000,0,900,0,1
Equipment,C,Boots,,1,5,10000,10000,0,900,0,1
Equipment,C,Boots,,2,10,10000,10000,0,900,0,1
Equipment,C,Boots,,3,15,9000,9000,1,900,1,1
Equipment,C,Boots,,4,20,8000,8000,1,900,1,1
Equipment,C,Boots,,5,28,,,,,,
Equipment,C,Helmet,,0,0,10000,10000,0,900,0,1
Equipment,C,Helmet,,1,5,10000,10000,0,900,0,1
Equipment,C,Helmet,,2,10,10000,10000,0,900,0,1
Equipment,C,Helmet,,3,15,9000,9000,1,900,1,1
Equipment,C,Helmet,,4,20,8000,8000,1,900,1,1
Equipment,C,Helmet,,5,28,,,,,,
Equipment,C,Ring1,,0,0,10000,10000,0,900,0,1
Equipment,C,Ring1,,1,5,10000,10000,0,900,0,1
Equipment,C,Ring1,,2,10,10000,10000,0,900,0,1
Equipment,C,Ring1,,3,15,9000,9000,1,900,1,1
Equipment,C,Ring1,,4,20,8000,8000,1,900,1,1
Equipment,C,Ring1,,5,28,,,,,,
Equipment,C,Earring1,,0,0,10000,10000,0,900,0,1
Equipment,C,Earring1,,1,5,10000,10000,0,900,0,1
Equipment,C,Earring1,,2,10,10000,10000,0,900,0,1
Equipment,C,Earring1,,3,15,9000,9000,1,900,1,1
Equipment,C,Earring1,,4,20,8000,8000,1,900,1,1
