Id,RunePage,Group,RuneNumber,RuneLevel,EffectGroupId,EffectType1,EffectType2,EffectParam,CostAdena,CostRunePiece,StampProbability,RunePosX,RunePosY,TexturePath,TextureFramePath,RuneType
1000001,1,0,1,0,,None,,0,0,0,0,-64,-64,MI_UI_Image_MiddleRuneStone,,None
1000001,1,0,1,1,10101,None,,0,200,5,10000,-64,-64,MI_UI_Image_MiddleRuneStone,,None
1000001,1,0,1,2,10102,None,,0,240,6,9500,-64,-64,MI_UI_Image_MiddleRuneStone,,None
1000001,1,0,1,3,10103,None,,0,300,8,9000,-64,-64,MI_UI_Image_MiddleRuneStone,,None
1000001,1,0,1,4,10104,None,,0,400,9,8500,-64,-64,MI_UI_Image_MiddleRuneStone,,None
1000001,1,0,1,5,10105,None,,0,500,10,7500,-64,-64,MI_UI_Image_MiddleRuneStone,,None
1000001,1,0,1,6,10106,None,,0,600,13,6500,-64,-64,MI_UI_Image_MiddleRuneStone,,None
1000001,1,0,1,7,10107,None,,0,800,18,5000,-64,-64,MI_UI_Image_MiddleRuneStone,,None
1001001,1,1,1,0,,AttackPowerPhy,AttackPowerMag,0,0,0,0,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,Attack
1001001,1,1,1,1,,AttackPowerPhy,AttackPowerMag,9,200,5,10000,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,Attack
1001001,1,1,1,2,,AttackPowerPhy,AttackPowerMag,18,240,6,9500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,Attack
1001001,1,1,1,3,,AttackPowerPhy,AttackPowerMag,27,300,8,9000,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,Attack
1001001,1,1,1,4,,AttackPowerPhy,AttackPowerMag,36,400,9,8500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,Attack
1001001,1,1,1,5,,AttackPowerPhy,AttackPowerMag,45,500,10,7500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,Attack
1001001,1,1,1,6,,AttackPowerPhy,AttackPowerMag,54,600,13,6500,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,Attack
1001001,1,1,1,7,,AttackPowerPhy,AttackPowerMag,63,800,18,5000,-32,-128,UI_Icon_Rune_Attack,MI_UI_Image_MiddleRuneStone,Attack
1001002,1,1,2,0,,DefensePowerPhy,DefensePowerMag,0,0,0,0,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,Defense
1001002,1,1,2,1,,DefensePowerPhy,DefensePowerMag,12,240,7,9700,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,Defense
1001002,1,1,2,2,,DefensePowerPhy,DefensePowerMag,24,290,8,9215,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,Defense
1001002,1,1,2,3,,DefensePowerPhy,DefensePowerMag,36,360,10,8730,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,Defense
1001002,1,1,2,4,,DefensePowerPhy,DefensePowerMag,48,480,11,8245,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,Defense
1001002,1,1,2,5,,DefensePowerPhy,DefensePowerMag,60,600,13,7275,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,Defense
1001002,1,1,2,6,,DefensePowerPhy,DefensePowerMag,72,720,16,6305,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,Defense
1001002,1,1,2,7,,DefensePowerPhy,DefensePowerMag,84,960,23,4850,32,-160,UI_Icon_Rune_Defense,MI_UI_Image_MiddleRuneStone,Defense
1001003,1,1,3,0,,MaxHP,,0,0,0,0,32,-230,UI_Icon_Rune_MaxHP,MI_UI_Image_MiddleRuneStone,HPMP
