Key,Command,Value
1,,글로벌스트링 임시데이터
999,,字串配對錯誤
1001,,鑽石
1002,,金幣
1003,,SP
1004,,符文碎片
1005,,血之證
1006,,友情點數
1007,,紅利
1008,,黃寶石
1009,,血盟鑄幣
1010,,藍色鑽石
1011,,紅色鑽石
1012,,血盟金幣
1013,,血盟血之證
1014,,攻城戰慶典票券
1015,,血盟紅色星石
1016,,紅色星石
1017,,經驗值
1018,,鑽石
1019,,靈魂彈
1020,,強化卷軸
1021,,祝福的強化卷軸
1022,,進階石
1023,,藥草
1024,,靈藥
1025,,怪物核心
1026,,技能書
1027,,獲得掃蕩劵
1028,,藥水
1029,,靈藥精髓
2000,,全部
2001,,每日副本
2002,,菁英副本
2003,,採集副本
2004,,裝備副本
2005,,金幣副本
2006,,傲慢之塔
2007,,強化卷軸副本
2008,,洗鍊石副本
2009,,首領狩獵
2010,,血盟副本
2011,,競技場
2012,,亂鬥場
2013,,古代戰場
2014,,勇氣戰場
3001,,推薦商店
3002,,召喚商店
3003,,消耗品商店
3004,,金幣商店
3005,,黃寶石商店
3006,,禮包商店
3007,,紅利商店
3008,,鑽石儲值
3009,,藍色鑽石商店
3010,,血盟商店
3011,,禮物商店
3012,,每日鑽石
3013,,登入鑽石
3014,,成長鑽石
3015,,每日金幣
4001,,狩獵
4002,,任務
4003,,製作靈藥
4004,,製作技能書
4005,,英雄之路
4006,,休息獎勵
4007,,立刻達成
4008,,血盟任務
4009,,血盟捐贈
4010,,血盟成員問候
4011,,血盟任務
4012,,需求任務
4013,,好友
4014,,轉職
4015,,裝備
4016,,搜魂石
4017,,武器
4018,,防具
4019,,飾品
4020,,小型
4021,,中型
4022,,大型
4023,,一般怪物
4024,,菁英怪物
4025,,首領怪物
4026,,綠光
4027,,銀光
4028,,金光
4029,,高級裝備
4030,,一般
4031,,高級
4032,,最高級
5001,,聖騎士
5002,,聖殿騎士
5003,,席琳騎士
5004,,守護者
5005,,傭兵
5006,,劍刃舞者
5007,,劍術詩人
5008,,屠殺者
5009,,寶藏獵人
5010,,大地行者
5011,,深淵行者
5012,,收集者
5013,,鷹眼
5014,,銀月遊俠
5015,,闇影遊俠
5016,,弩弓遊俠
5017,,術士
5018,,咒術詩人
5019,,狂咒術士
5020,,爭鬥巫師
5021,,主教
5022,,長老
5023,,席琳長老
5024,,賢者
10001,,C
10002,,B
10003,,A
10004,,S
10005,,R
10006,,SR
10007,,UR
10101,,C-B
10102,,C-A
10103,,C-S
10104,,C-R
10105,,C-SR
10106,,C-UR
10201,,B-A
10202,,B-S
10203,,B-R
10204,,B-SR
10205,,B-UR
10301,,A-S
10302,,A-R
10303,,A-SR
10304,,A-UR
10401,,S-R
10402,,S-SR
10403,,S-UR
10501,,R-SR
10502,,R-UR
10601,,SR-UR
80001,,"顯示時間樣式
{31d:5w:6p:12m:80001f}
日期 d, 星期 w, 點 a/p, 分m
80001f = String Format + f(Format縮寫)"
81001,,[24H]點[mm]分
81002,,[W][24H]點[m]分
81003,,[W]
81005,,[Y]年[M]月[D]日[24H]點[m]分
