Id,NameKey,DelayTime,Duration,PeriodCount,MaxTargetCount,CollisionUnitType,CollisionUnitParam,TargetType,AutoIncreaseCollisionArea,Resource,FireCount,TotalHitCount,DirAlign,Hide,HideTime,EffectRepeatAble
11222,0,0,600,4,4,Circle,"""radius"": 400",Enemy,,,1,,1,0,,0
11242,0,1350,3000,4,4,Circle,"""radius"": 600",Enemy,,BP/BP_PTC_SkillArrowrain,1,,1,0,,0
11251,0,0,800,5,4,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_Skillvolcano,1,,1,0,,0
11261,0,1010,100,0,4,Circle,"""radius"": 450",Enemy,,,1,,1,0,,0
12212,0,600,5000,6,4,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_SkillEvasGrace,1,,1,0,,0
12251,0,0,100,1,1,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_SkillIceSpear,1,,1,0,,0
12261,0,0,800,2,4,Circle,"""radius"": 350",Enemy,,BP/BP_PTC_SkillHollyFire,1,,1,0,,0
13252,0,0,4000,4,4,Circle,"""radius"": 400",Enemy,,BP/BP_PTC_SkillCorruption,1,,1,0,,0
14262,0,800,4000,4,4,Circle,"""radius"": 400",Enemy,,BP/BP_PTC_SkillDivineClap,1,,1,0,,0
30005,0,500,500,4,4,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_SkillLighteningField,1,,1,0,,0
30007,0,500,4000,4,4,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_SkillPoisonSwamp,1,,1,0,,0
30012,0,750,500,1,6,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_SkillMeteorStorm,1,,1,0,,0
60096,0,2400,6000,11,20,Obb,"left:100, ""right"":100, ""front"":800, ""back"":0",Enemy,,,1,,1,0,,0
60097,0,2450,4000,1,1,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_BoreasBossSkill_02,1,,1,0,,0
60100,0,1940,1500,7,20,Circle,"""radius"": 300",Enemy,,,1,,1,0,,0
60115,0,2950,6147,10,20,Circle,"""radius"": 600",Enemy,,,1,,1,0,,0
60162,0,2950,6147,10,20,Circle,"""radius"": 600",Enemy,,,1,,1,0,,0
71032,0,1940,1500,7,20,Circle,"""radius"": 300",Enemy,,,1,,1,0,,0
71072,0,2400,6000,11,20,Obb,"left:100, ""right"":100, ""front"":800, ""back"":0",Enemy,,,1,,1,0,,0
71073,0,2450,4000,1,1,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_BoreasBossSkill_02,1,,1,0,,0
71472,0,2400,6000,11,20,Obb,"left:100, ""right"":100, ""front"":800, ""back"":0",Enemy,,,1,,1,0,,0
73012,0,2220,5000,5,50,Circle,"""radius"": 400",Enemy,,BP/BP_PTC_GuillotineBossSkill_02,1,,1,0,,0
73032,0,2970,5000,5,50,Circle,"""radius"": 100",Enemy,,BP/BP_PTC_OrfenBossSkill_02,1,,1,0,,0
74031,0,1980,500,0,5,Circle,"""radius"": 750",Enemy,,,1,,1,0,,0
74032,0,2677,500,0,5,Circle,"""radius"": 750",Enemy,,,1,,1,0,,0
74051,0,3220,5000,5,10,Circle,"""radius"": 500",Enemy,,BP/BP_PTC_ShelobBossSkill_01,1,,1,0,,0
74062,0,1280,500,0,5,Circle,"""radius"": 750",Enemy,,BP/BP_PTC_SkillLighteningField,1,,1,0,,0
74071,0,2200,30000,30,20,Circle,"""radius"": 170",Enemy,,BP/BP_PTC_SerpentSlaveBossSkill_01,1,,1,0,,0
74131,0,0,3000,3,1,Circle,"""radius"": 250",Self,,BP/BP_PTC_SerpentSlaveBossSkill_01,1,,1,0,,0
74132,0,5500,1000,1,1,Circle,"""radius"": 250",Self,,BP/BP_PTC_MedusaBossSkill_02,1,,1,0,,0
720231,0,0,8000,5,50,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_QueenAntBossSkill_02,1,,1,0,,0
1720231,0,500,12000,12,50,Circle,"""radius"": 350",Enemy,,BP/BP_PTC_QueenAntBossSkill_02,1,,1,0,,0
1504021,0,500,500,4,5,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_SkillLighteningField,1,,1,0,,0
7204311,0,3000,100,1,1,Circle,"""radius"": 1000",Self,,,1,,1,0,,0
7204321,0,3000,100,1,1,Circle,"""radius"": 1000",Self,,,1,,1,0,,0
