ItemType,EquipmentType,ItemGrade,MaxLevel,MaxEnchantLevel,LimitBreakBonusLevel,LimitBreakAddCount,LimitBreakAdenaCost,MaxLimitBreakCount,LimitBreakRate,OptionCount,OptionChangeCashCost,SocketCount,CompositionAdenaCost,UpgradeMaterialCount,UpgradeAdenaCost,AbilityUpgradeAdenaCost,AbilityUpgradeRate,AbilityBonusLevel,SocketExtractionAdenaCost,RequiredSoulshotCount,GachaCardTexture
Equipment,Weapon,C,30,5,0,,0,0,0,0,0,1,4000,3,3000,150000,0,,,1,gacha_card_dn
Equipment,Weapon,B,30,10,0,,0,0,0,0,0,2,9000,5,10000,150000,0,,,1,gacha_card_dn
Equipment,Weapon,A,30,15,0,,0,0,0,1,30,3,41000,10,30000,150000,0,,,2,gacha_card_dn
Equipment,Weapon,S,30,20,0,,0,0,0,1,30,4,120000,20,70000,150000,1000,1,,2,gacha_card_dn
Equipment,Weapon,R,30,25,0,,0,0,0,2,50,5,290000,30,120000,150000,3000,1,,3,gacha_card_gold_dn
Equipment,Weapon,SR,30,30,1,"1, 2",100000,10,100,3,100,6,0,0,0,150000,10000,1,,3,gacha_card_gold_dn
Equipment,Weapon,UR,30,30,1,"2, 3",100000,10,100,3,100,6,0,0,0,150000,10000,2,,3,gacha_card_gold_dn
Equipment,Helmet,C,30,5,0,,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
Equipment,Helmet,B,30,10,0,,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
Equipment,Helmet,A,30,15,0,,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
Equipment,Helmet,S,30,20,0,,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
Equipment,Helmet,R,30,25,0,,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
Equipment,Helmet,SR,30,30,1,"1, 2",40000,10,100,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
Equipment,Helmet,UR,30,30,1,"2, 3",40000,10,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
Equipment,Armor,C,30,5,0,,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
Equipment,Armor,B,30,10,0,,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
Equipment,Armor,A,30,15,0,,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
Equipment,Armor,S,30,20,0,,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
Equipment,Armor,R,30,25,0,,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
Equipment,Armor,SR,30,30,1,"1, 2",40000,10,100,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
Equipment,Armor,UR,30,30,1,"2, 3",40000,10,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
Equipment,Gloves,C,30,5,0,,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
Equipment,Gloves,B,30,10,0,,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
Equipment,Gloves,A,30,15,0,,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
Equipment,Gloves,S,30,20,0,,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
Equipment,Gloves,R,30,25,0,,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
Equipment,Gloves,SR,30,30,1,"1, 2",40000,10,100,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
Equipment,Gloves,UR,30,30,1,"2, 3",40000,10,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
Equipment,Boots,C,30,5,0,,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
Equipment,Boots,B,30,10,0,,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
Equipment,Boots,A,30,15,0,,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
Equipment,Boots,S,30,20,0,,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
Equipment,Boots,R,30,25,0,,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
Equipment,Boots,SR,30,30,1,"1, 2",40000,10,100,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
Equipment,Boots,UR,30,30,1,"2, 3",40000,10,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
Equipment,Cape,C,30,5,0,,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
Equipment,Cape,B,30,10,0,,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
Equipment,Cape,A,30,15,0,,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
Equipment,Cape,S,30,20,0,,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
Equipment,Cape,R,30,25,0,,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
Equipment,Cape,SR,30,30,1,"1, 2",40000,10,100,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
Equipment,Cape,UR,30,30,1,"2, 3",40000,10,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
Equipment,Earring1,C,30,5,0,,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
Equipment,Earring1,B,30,10,0,,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
Equipment,Earring1,A,30,15,0,,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
Equipment,Earring1,S,30,20,0,,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
Equipment,Earring1,R,30,25,0,,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
Equipment,Earring1,SR,30,30,1,"1, 2",40000,10,100,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
Equipment,Earring1,UR,30,30,1,"2, 3",40000,10,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
Equipment,Necklace,C,30,5,0,,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
Equipment,Necklace,B,30,10,0,,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
Equipment,Necklace,A,30,15,0,,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
Equipment,Necklace,S,30,20,0,,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
Equipment,Necklace,R,30,25,0,,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
Equipment,Necklace,SR,30,30,1,"1, 2",40000,10,100,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
Equipment,Necklace,UR,30,30,1,"2, 3",40000,10,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
Equipment,Ring1,C,30,5,0,,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
Equipment,Ring1,B,30,10,0,,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
Equipment,Ring1,A,30,15,0,,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
Equipment,Ring1,S,30,20,0,,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
Equipment,Ring1,R,30,25,0,,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
Equipment,Ring1,SR,30,30,1,"1, 2",40000,10,100,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
Equipment,Ring1,UR,30,30,1,"2, 3",40000,10,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
SoulCrystal,,C,5,0,,,,,,1,90,,,0,8000,,,,10000,,gacha_card_dn
SoulCrystal,,B,5,0,,,,,,1,90,,,0,25000,,,,30000,,gacha_card_dn
SoulCrystal,,A,5,0,,,,,,1,90,,,0,50000,,,,70000,,gacha_card_dn
SoulCrystal,,S,5,0,,,,,,1,90,,,0,100000,,,,150000,,gacha_card_dn
SoulCrystal,,R,5,0,,,,,,1,90,,,0,200000,,,,300000,,gacha_card_gold_dn
SoulCrystal,,SR,5,0,,,,,,1,90,,,0,500000,,,,600000,,gacha_card_gold_dn
StoneForAbility,,S,,,,,,,,,,,,,,150000,800,1,,,gacha_card_dn
StoneForAbility,,R,,,,,,,,,,,,,,150000,2500,1,,,gacha_card_gold_dn
StoneForAbility,,SR,,,,,,,,,,,,,,150000,10000,1,,,gacha_card_gold_dn
StoneForAbility,,UR,,,,,,,,,,,,,,150000,10000,2,,,gacha_card_gold_dn
StoneForLimitBreak,,SR,,,,"1, 2",40000,,100,,,,,,,,,,,,gacha_card_gold_dn
StoneForLimitBreak,,UR,,,,"2, 3",40000,,100,,,,,,,,,,,,gacha_card_gold_dn
PetEquipment,,C,20,5,,,,,,1,90,,,0,8000,,,,,,gacha_card_dn
PetEquipment,,B,20,10,,,,,,1,90,,,0,25000,,,,,,gacha_card_dn
PetEquipment,,A,20,15,,,,,,1,90,,,0,50000,,,,,,gacha_card_dn
PetEquipment,,S,20,20,,,,,,1,90,,,0,100000,,,,,,gacha_card_dn
PetEquipment,,R,20,25,,,,,,1,90,,,0,200000,,,,,,gacha_card_gold_dn
PetEquipment,,SR,20,30,,,,,,1,90,,,0,500000,,,,,,gacha_card_gold_dn
