GroupID,ConditionParam,RewardType,RewardItemInfoId,RewardCount,RewardIcon
1,,Item,490005,3,Icon_Box_Rune_01
101,,Item,490005,5,Icon_Box_Rune_01
2,,Item,910307,7,Icon_GachaItem_Herb
2,,Item,910308,1,Icon_Gacha_HerbPotion
102,,Item,910307,10,Icon_GachaItem_Herb
102,,Item,910308,2,Icon_Gacha_HerbPotion
3,,Item,900015,1,Icon_Box_Honor_01
3,,Adena,,5000,Icon_Asset_Adena_01
103,,Item,900016,1,Icon_Box_Honor_03
103,,Adena,,10000,Icon_Asset_Adena_01
4,0,Exp,,140,Icon_Exp_01
4,0,Adena,,2100,Icon_Asset_Adena_01
4,1,Exp,,140,Icon_Exp_01
4,1,Adena,,2100,Icon_Asset_Adena_01
4,2,Exp,,140,Icon_Exp_01
4,2,Adena,,2100,Icon_Asset_Adena_01
4,3,Exp,,140,Icon_Exp_01
4,3,Adena,,2100,Icon_Asset_Adena_01
4,4,Exp,,140,Icon_Exp_01
4,4,Adena,,2100,Icon_Asset_Adena_01
4,5,Exp,,140,Icon_Exp_01
4,5,Adena,,2100,Icon_Asset_Adena_01
4,6,Exp,,140,Icon_Exp_01
4,6,Adena,,2100,Icon_Asset_Adena_01
104,0,Exp,,200,Icon_Exp_01
104,0,Item,910221,1,Icon_GachaItem_Transcendence
104,0,Adena,,3000,Icon_Asset_Adena_01
104,1,Exp,,200,Icon_Exp_01
104,1,Item,410001,1,Icon_EnchantScroll_01
104,1,Adena,,3000,Icon_Asset_Adena_01
104,2,Exp,,200,Icon_Exp_01
104,2,Item,420001,1,Icon_Asset_Upgrade_01
104,2,Adena,,3000,Icon_Asset_Adena_01
104,3,Exp,,200,Icon_Exp_01
104,3,Item,410002,1,Icon_EnchantScroll_02
104,3,Adena,,3000,Icon_Asset_Adena_01
104,4,Exp,,200,Icon_Exp_01
104,4,Item,420002,1,Icon_Asset_Upgrade_02
104,4,Adena,,3000,Icon_Asset_Adena_01
104,5,Exp,,200,Icon_Exp_01
104,5,Item,410003,1,Icon_EnchantScroll_03
104,5,Adena,,3000,Icon_Asset_Adena_01
104,6,Exp,,200,Icon_Exp_01
104,6,Item,420003,1,Icon_Asset_Upgrade_03
104,6,Adena,,3000,Icon_Asset_Adena_01
5,0,Exp,,5600,Icon_Exp_01
5,0,Item,910221,1,Icon_GachaItem_Transcendence
5,0,Adena,,4900,Icon_Asset_Adena_01
5,1,Exp,,5600,Icon_Exp_01
5,1,Item,410001,1,Icon_EnchantScroll_01
5,1,Adena,,4900,Icon_Asset_Adena_01
5,2,Exp,,5600,Icon_Exp_01
5,2,Item,420001,1,Icon_Asset_Upgrade_01
5,2,Adena,,4900,Icon_Asset_Adena_01
5,3,Exp,,5600,Icon_Exp_01
5,3,Item,410002,1,Icon_EnchantScroll_02
5,3,Adena,,4900,Icon_Asset_Adena_01
5,4,Exp,,5600,Icon_Exp_01
5,4,Item,420002,1,Icon_Asset_Upgrade_02
5,4,Adena,,4900,Icon_Asset_Adena_01
5,5,Exp,,5600,Icon_Exp_01
5,5,Item,410003,1,Icon_EnchantScroll_03
5,5,Adena,,4900,Icon_Asset_Adena_01
5,6,Exp,,5600,Icon_Exp_01
5,6,Item,420003,1,Icon_Asset_Upgrade_03
5,6,Adena,,4900,Icon_Asset_Adena_01
105,0,Exp,,8000,Icon_Exp_01
105,0,Item,910221,2,Icon_GachaItem_Transcendence
105,0,Adena,,7000,Icon_Asset_Adena_01
105,1,Exp,,8000,Icon_Exp_01
105,1,Item,410001,2,Icon_EnchantScroll_01
105,1,Adena,,7000,Icon_Asset_Adena_01
105,2,Exp,,8000,Icon_Exp_01
105,2,Item,420001,2,Icon_Asset_Upgrade_01
105,2,Adena,,7000,Icon_Asset_Adena_01
105,3,Exp,,8000,Icon_Exp_01
105,3,Item,410002,2,Icon_EnchantScroll_02
105,3,Adena,,7000,Icon_Asset_Adena_01
105,4,Exp,,8000,Icon_Exp_01
105,4,Item,420002,2,Icon_Asset_Upgrade_02
105,4,Adena,,7000,Icon_Asset_Adena_01
105,5,Exp,,8000,Icon_Exp_01
105,5,Item,410003,2,Icon_EnchantScroll_03
105,5,Adena,,7000,Icon_Asset_Adena_01
105,6,Exp,,8000,Icon_Exp_01
105,6,Item,420003,2,Icon_Asset_Upgrade_03
105,6,Adena,,7000,Icon_Asset_Adena_01
6,0,Exp,,10500,Icon_Exp_01
6,0,Item,910221,2,Icon_GachaItem_Transcendence
6,0,Adena,,7000,Icon_Asset_Adena_01
6,1,Exp,,10500,Icon_Exp_01
6,1,Item,410001,2,Icon_EnchantScroll_01
6,1,Adena,,7000,Icon_Asset_Adena_01
6,2,Exp,,10500,Icon_Exp_01
6,2,Item,420001,2,Icon_Asset_Upgrade_01
6,2,Adena,,7000,Icon_Asset_Adena_01
6,3,Exp,,10500,Icon_Exp_01
6,3,Item,410002,2,Icon_EnchantScroll_02
6,3,Adena,,7000,Icon_Asset_Adena_01
6,4,Exp,,10500,Icon_Exp_01
6,4,Item,420002,2,Icon_Asset_Upgrade_02
