GroupId,RequiredQuestCount,RewardItemType,RewardItemInfoId,RewardCount,EnableEffect
1,10,Item,910234,1,0
1,20,Item,910221,5,0
1,30,Item,910205,1,1
2,10,Item,910234,1,0
2,20,Item,900011,3,0
2,30,Item,10900002,1,1
3,5,Item,910234,1,0
3,10,Item,910221,5,0
3,15,Item,910205,1,1
4,8,Item,910221,1,0
4,16,Item,910221,2,0
4,24,Item,910219,3,1
5,10,Item,910234,1,0
5,20,Item,910221,3,0
5,30,Item,910144,1,1
6,5,Item,10910301,1,1
6,10,Item,10910302,1,1
6,20,Item,10910303,1,1
7,10,Item,910222,2,0
7,20,Item,910222,3,0
7,30,Item,910222,5,0
7,40,Item,916001,3,1
8,20,Item,461013,1,1
8,40,Item,461003,1,1
8,60,Item,461014,1,1
