Id,ShopDisplay,ShopServerType,MarketType,NewServer,Promotion,ReplaceString1Key,NameKey,ShopType,TabType,HighendEffect,LimitMinLevel,LimitMaxLevel,MasteryMinLevel,MasteryMaxLevel,UserLimitLevel,NetmarbleSItemId,Display,HideSoldOut,DisplayOrder,DisplayType,DisplayTypeValue,DisplayTypeReset,IsGotcha,CostType,CostValue,DiscountRate,SpecialDiscountRate,SaleCost,PurchaseFree,PurchaseFreeTime,PurchaseLimitServer,PurchaseLimitValueServer,PurchaseUserLimit,PurchaseLimit,LimitPeriodeValue,PurchaseLimitValue,LimitPeriodStart,LimitPeriodEnd,SupportVersion,IconTexture,IconTexture2,PromotionType,DescKey,Desc2Key,FlatRatePeriod,RetentionPeriod,LeagueLimit,PurchaseAccountLimit,PurchaseLimitDuringValue,PurchaseLimitServerId,RecommendPackage,EventDicePointType,EventTargetType,EventTargetTab
1001,0,All,All,All,0,20000,331000001001,NormalShop,Adena,,,,,,,,1,0,100,None,,,0,Diamond,100,,,,0,,,,0,None,,,,,,Icon_Shop_Adena_01,,,331000001001,0,,,,0,,,0,,,
1002,0,All,All,All,0,42000,331000001002,NormalShop,Adena,,,,,,,,1,0,200,None,,,0,Diamond,200,,,,0,,,,0,None,,,,,,Icon_Shop_Adena_02,,,332000001002,0,,,,0,,,0,,,
1003,0,All,All,All,0,88000,331000001003,NormalShop,Adena,,,,,,,,1,0,300,None,,,0,Diamond,400,,,,0,,,,0,None,,,,,,Icon_Shop_Adena_03,,,332000001003,0,,,,0,,,0,,,
1004,0,All,All,All,0,184000,331000001004,NormalShop,Adena,,,,,,,,1,0,400,None,,,0,Diamond,800,,,,0,,,,0,None,,,,,,Icon_Shop_Adena_04,,,332000001004,0,,,,0,,,0,,,
1005,0,All,All,All,0,384000,331000001005,NormalShop,Adena,1,,,,,,,1,0,500,None,,,0,Diamond,1600,,,,0,,,,0,None,,,,,,Icon_Shop_Adena_05,,Hot,332000001005,0,,,,0,,,0,,,
1006,0,All,All,All,0,800000,331000001006,NormalShop,Adena,1,,,,,,,1,0,600,None,,,0,Diamond,3200,,,,0,,,,0,None,,,,,,Icon_Shop_Adena_06,,Hot,332000001006,0,,,,0,,,0,,,
2001,0,All,All,All,0,0,331000002001,NormalShop,Diamond,,,,,,,monthly_double_001,1,0,600,None,,,0,InAppPurchase,1100,,,,0,,,,0,Monthly,,1,,,,Icon_Shop_Dia_1010,,Limited,332000002001,0,,,,0,,,0,,,
2002,0,All,All,All,0,0,331000002002,NormalShop,Diamond,,,,,,,monthly_double_003,1,0,500,None,,,0,InAppPurchase,3300,,,,0,,,,0,Monthly,,1,,,,Icon_Shop_Dia_11,,Limited,332000002002,0,,,,0,,,0,,,
2003,0,All,All,All,0,0,331000002003,NormalShop,Diamond,,,,,,,monthly_double_005,1,0,400,None,,,0,InAppPurchase,5500,,,,0,,,,0,Monthly,,1,,,,Icon_Shop_Dia_12,,Limited,332000002003,0,,,,0,,,0,,,
2004,0,All,All,All,0,0,331000002004,NormalShop,Diamond,,,,,,,monthly_double_010,1,0,300,None,,,0,InAppPurchase,11000,,,,0,,,,0,Monthly,,1,,,,Icon_Shop_Dia_13,,Limited,332000002004,0,,,,0,,,0,,,
2005,0,All,All,All,0,0,331000002005,NormalShop,Diamond,1,,,,,,monthly_double_030,1,0,200,None,,,0,InAppPurchase,33000,,,,0,,,,0,Monthly,,1,,,,Icon_Shop_Dia_1011,,Limited,332000002005,0,,,,0,,,0,,,
2006,0,All,All,All,0,0,331000002006,NormalShop,Diamond,1,,,,,,monthly_double_050,1,0,100,None,,,0,InAppPurchase,55000,,,,0,,,,0,Monthly,,1,,,,Icon_Shop_Dia_1012,,Limited,332000002006,0,,,,0,,,0,,,
2201,0,th_TH,All,All,0,0,331000002201,NormalShop,Diamond,,,,,,,dia_basic_001,1,0,1000,None,,,0,InAppPurchase,1100,,,,0,,,,0,None,,,,,,Icon_Shop_Dia_1000,,,332000002201,0,,,,0,,,0,,,
2202,0,All,All,All,0,0,331000002202,NormalShop,Diamond,,,,,,,dia_basic_003,1,0,1100,None,,,0,InAppPurchase,3300,,,,0,,,,0,None,,,,,,icon_shop_dia_01,,,332000002202,0,,,,0,,,0,,,
2203,0,All,All,All,0,0,331000002203,NormalShop,Diamond,,,,,,,dia_basic_005,1,0,1200,None,,,0,InAppPurchase,5500,,,,0,,,,0,None,,,,,,icon_shop_dia_02,,,332000002203,0,,,,0,,,0,,,
2204,0,All,All,All,0,0,331000002204,NormalShop,Diamond,,,,,,,dia_basic_010,1,0,1300,None,,,0,InAppPurchase,11000,,,,0,,,,0,None,,,,,,icon_shop_dia_03,,,332000002204,0,,,,0,,,0,,,
2205,0,All,All,All,0,0,331000002205,NormalShop,Diamond,1,,,,,,dia_basic_030,1,0,1400,None,,,0,InAppPurchase,33000,,,,0,,,,0,None,,,,,,icon_shop_dia_04,,,332000002205,0,,,,0,,,0,,,
2206,0,All,All,All,0,0,331000002206,NormalShop,Diamond,1,,,,,,dia_basic_050,1,0,1500,None,,,0,InAppPurchase,55000,,,,0,,,,0,None,,,,,,icon_shop_dia_05,,,332000002206,0,,,,0,,,0,,,
2207,0,All,All,All,0,0,331000002207,NormalShop,Diamond,1,,,,,,dia_basic_100,1,0,1600,None,,,0,InAppPurchase,110000,,,,0,,,,0,None,,,,,,icon_shop_dia_06,,,332000002207,0,,,,0,,,0,,,
3001,0,All,All,All,0,0,331000003001,NormalShop,Topaz,1,,,,,,,1,0,10,None,,,1,Topaz,50,,,,0,,,,0,Monthly,,5,,,,Icon_Shop_Gacha_Equipment_03,,,332000003001,0,,,,0,,,0,,,
3002,0,All,All,All,0,0,331000003002,NormalShop,Topaz,1,,,,,,,1,0,40,None,,,0,Topaz,60,,,,0,,,,0,Monthly,,10,,,,Icon_Shop_EnchantScroll_04,,,332000003002,0,,,,0,,,0,,,
3003,0,All,All,All,0,0,331000003003,NormalShop,Topaz,1,,,,,,,1,0,50,None,,,0,Topaz,60,,,,0,,,,0,Monthly,,10,,,,Icon_Shop_EnchantScroll_05,,,332000003003,0,,,,0,,,0,,,
3004,0,All,All,All,0,0,331000003004,NormalShop,Topaz,1,,,,,,,1,0,60,None,,,0,Topaz,60,,,,0,,,,0,Monthly,,10,,,,Icon_Shop_EnchantScroll_06,,,332000003004,0,,,,0,,,0,,,
