Id,ElixirType,NameKey,Level,EffectTypeNameKey,IntParam1,IconTexture,DescKey,CraftGroupId
1,HP,651000000001,1,652000000001,9,Icon_Elixir_01_01,653000000001,1
2,HP,651000000001,2,652000000001,21,Icon_Elixir_01_02,653000000001,5
3,HP,651000000001,3,652000000001,33,Icon_Elixir_01_03,653000000001,9
4,HP,651000000001,4,652000000001,50,Icon_Elixir_01_04,653000000001,13
5,HP,651000000001,5,652000000001,75,Icon_Elixir_01_05,653000000001,17
6,HP,651000000001,6,652000000001,110,Icon_Elixir_01_06,653000000001,21
10,MP,651000000010,1,652000000010,9,Icon_Elixir_02_01,653000000010,2
11,MP,651000000010,2,652000000010,21,Icon_Elixir_02_02,653000000010,6
12,MP,651000000010,3,652000000010,33,Icon_Elixir_02_03,653000000010,10
13,MP,651000000010,4,652000000010,50,Icon_Elixir_02_04,653000000010,14
14,MP,651000000010,5,652000000010,75,Icon_Elixir_02_05,653000000010,18
15,MP,651000000010,6,652000000010,110,Icon_Elixir_02_06,653000000010,22
19,AttackPower,651000000019,1,652000000019,6,Icon_Elixir_03_01,653000000019,3
20,AttackPower,651000000019,2,652000000019,15,Icon_Elixir_03_02,653000000019,7
21,AttackPower,651000000019,3,652000000019,25,Icon_Elixir_03_03,653000000019,11
22,AttackPower,651000000019,4,652000000019,40,Icon_Elixir_03_04,653000000019,15
23,AttackPower,651000000019,5,652000000019,55,Icon_Elixir_03_05,653000000019,19
24,AttackPower,651000000019,6,652000000019,75,Icon_Elixir_03_06,653000000019,23
28,DefensePower,651000000028,1,652000000028,8,Icon_Elixir_04_01,653000000028,4
29,DefensePower,651000000028,2,652000000028,19,Icon_Elixir_04_02,653000000028,8
30,DefensePower,651000000028,3,652000000028,30,Icon_Elixir_04_03,653000000028,12
31,DefensePower,651000000028,4,652000000028,45,Icon_Elixir_04_04,653000000028,16
32,DefensePower,651000000028,5,652000000028,65,Icon_Elixir_04_05,653000000028,20
33,DefensePower,651000000028,6,652000000028,90,Icon_Elixir_04_06,653000000028,24
