Id,GroupId,NameKey,TeamId,Type,UseType,ManualControl,ControlTime,ControlTextKey,MultiControl,HitCancel,ForbidUserCancel,Radius,BPName,WorldInfoId,Visible,InitialSpawning,Period,Repeatable,LifeTime,ControlCoolingTime,MaxCount,BasePosX,BasePosY,BasePosZ,RotateP,RotateY,RotateR,SpawnRadius,DestroyAfterControl,TotalControlCount,ReUsable,Exp,ControlActionRate1,ControlActionType1,ControlActionParam1,ControlActionRate2,ControlActionType2,ControlActionParam2,ControlActionRate3,ControlActionType3,ControlActionParam3,SiegeWarParentNpcSpawnInfoId,CollisionUnitType,CollisionUnitParam,InteractionType,InteractionAnimation,ActivateMaterial,InactivateMaterial,ControlProcessingEffect,ControlCompleteStartEffect,ControlCompleteLoopEffect,InstanceResetAfterControl,DisableSpawnVFX,ShowName
20000101,200001,101020000101,0,,Usable,1,5,102020000101,0,1,0,100,BP_Gadget_QuestScrollBox_01,200,1,1,600,1,0,0,0,0,0,226,0,0,0,0,1,0,0,,,GetItem,"""itemDropGroupId"":4100",,SpawnNpc,"{""npcInfoId"":30080, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",,,,,,,Unlock,ControlGadget_Unlock,,,,,,0,0,0
20100101,201001,101020100101,0,,Usable,1,5,102020000101,0,1,0,100,BP_Gadget_QuestScrollBox_01,201,1,1,600,1,0,0,0,0,0,226,0,0,0,0,1,0,0,,,GetItem,"""itemDropGroupId"":4200",,SpawnNpc,"{""npcInfoId"":30180, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",,,,,,,Unlock,ControlGadget_Unlock,,,,,,0,0,0
20200101,202001,101020200101,0,,Usable,1,5,102020000101,0,1,0,100,BP_Gadget_QuestScrollBox_01,202,1,1,600,1,0,0,0,0,0,226,0,0,0,0,1,0,0,,,GetItem,"""itemDropGroupId"":4300",,SpawnNpc,"{""npcInfoId"":30280, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",,,,,,,Unlock,ControlGadget_Unlock,,,,,,0,0,0
20300101,203001,101020300101,0,,Usable,1,5,102020000101,0,1,0,100,BP_Gadget_QuestScrollBox_01,203,1,1,600,1,0,0,0,0,0,226,0,0,0,0,1,0,0,,,GetItem,"""itemDropGroupId"":4400",,SpawnNpc,"{""npcInfoId"":30380, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",,,,,,,Unlock,ControlGadget_Unlock,,,,,,0,0,0
20400101,204001,101020400101,0,,Usable,1,5,102020000101,0,1,0,100,BP_Gadget_QuestScrollBox_01,204,1,1,600,1,0,0,0,0,0,226,0,0,0,0,1,0,0,,,GetItem,"""itemDropGroupId"":4500",,SpawnNpc,"{""npcInfoId"":30480, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",,,,,,,Unlock,ControlGadget_Unlock,,,,,,0,0,0
20500101,205001,101020500101,0,,Usable,1,5,102020000101,0,1,0,100,BP_Gadget_QuestScrollBox_01,205,1,1,600,1,0,0,0,0,0,226,0,0,0,0,1,0,0,,,GetItem,"""itemDropGroupId"":4600",,SpawnNpc,"{""npcInfoId"":30580, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",,,,,,,Unlock,ControlGadget_Unlock,,,,,,0,0,0
20600101,206001,101020600101,0,,Usable,1,5,102020000101,0,1,0,100,BP_Gadget_QuestScrollBox_01,206,1,1,600,1,0,0,0,0,0,226,0,0,0,0,1,0,0,,,GetItem,"""itemDropGroupId"":4700",,SpawnNpc,"{""npcInfoId"":30680, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",,,,,,,Unlock,ControlGadget_Unlock,,,,,,0,0,0
20700101,207001,101020700101,0,,Usable,1,5,102020000101,0,1,0,100,BP_Gadget_QuestScrollBox_01,207,1,1,600,1,0,0,0,0,0,226,0,0,0,0,1,0,0,,,GetItem,"""itemDropGroupId"":4800",,SpawnNpc,"{""npcInfoId"":30780, ""exclusive"":false, ""lifetime"":600, ""rate"":3500, ""teamId"":1}",,,,,,,Unlock,ControlGadget_Unlock,,,,,,0,0,0
1202,300201001,101000001202,0,,Normal,0,0,0,0,1,0,0,BP_Gadget_TutoArrow_01_Short_01,300201,1,1,0,0,0,0,1,45461,-5312,302,0,90,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,0
1203,300201001,101000001202,0,,Normal,0,0,0,0,1,0,0,BP_Gadget_TutoArrow_01_Short_01,300201,1,1,0,0,0,0,1,45604,-4545,302,0,-20,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,0
