MArketType,ShopId,CurrencyType,Cost,DisplayCost,DisplayCost_en,DisplayCost_zh_TW,DisplayCost_th_TH,DisplayCost_id_ID,OriginCost,ProductId,d1
AppStore,2001,USD,0.99,0.99,0.99,0.99,0.99,0.99,,,월1회 한정! 30 + 30 다이아
AppStore,2002,USD,2.99,2.99,2.99,2.99,2.99,2.99,,,월1회 한정! 90 + 90 다이아
AppStore,2003,USD,4.99,4.99,4.99,4.99,4.99,4.99,,,월1회 한정! 160 + 160 다이아
AppStore,2004,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,월1회 한정! 340 + 340 다이아
AppStore,2005,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,"월1회 한정! 1,080 + 1,080 다이아"
AppStore,2006,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,"월1회 한정! 1,900 + 1,900 다이아"
AppStore,2101,USD,2.99,2.99,2.99,2.99,2.99,2.99,,,1회 한정! 90 + 90 다이아
AppStore,2102,USD,4.99,4.99,4.99,4.99,4.99,4.99,,,1회 한정! 160 + 160 다이아
AppStore,2103,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,1회 한정! 340 + 340 다이아
AppStore,2201,USD,0.99,0.99,0.99,0.99,0.99,0.99,,,30 다이아
AppStore,2202,USD,2.99,2.99,2.99,2.99,2.99,2.99,,,90 다이아
AppStore,2203,USD,4.99,4.99,4.99,4.99,4.99,4.99,,,160 다이아
AppStore,2204,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,340 다이아
AppStore,2205,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,"1,080 다이아"
AppStore,2206,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,"1,900 다이아"
AppStore,2207,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,"4,000 다이아"
AppStore,2900,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,초특가 이벤트 패키지
AppStore,9917,USD,4.99,4.99,4.99,4.99,4.99,4.99,,,특가 888 블루다이아
AppStore,5121,USD,0.99,0.99,0.99,0.99,0.99,0.99,,,빛나는 장비 상자
AppStore,7001,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,매일 받는 다이아 꾸러미(28일)
AppStore,8003,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,SR등급 수집 꾸러미
AppStore,8004,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,시나리오 꾸러미 I
AppStore,8011,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,성장 선물 꾸러미 II
AppStore,8014,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,시나리오 꾸러미 II
AppStore,9001,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,프리미엄 스타팅 패키지
AppStore,9008,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,주니어 모험가 패키지
AppStore,9009,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,시니어 모험가 패키지
AppStore,9010,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,베테랑 모험가 패키지
AppStore,9019,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,스킬 포인트 패키지
AppStore,9020,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,프리미엄 집혼석 패키지I
AppStore,9021,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,프리미엄 집혼석 패키지II
AppStore,9022,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,프리미엄 집혼석 패키지III
AppStore,9051,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,스페셜 승급석 선택상자 패키지
AppStore,9052,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,축복받은 강화주문서 패키지
AppStore,9053,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,엘리트 모험가 패키지
AppStore,9054,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,프리미엄 인벤토리 패키지
AppStore,9101,USD,0.99,0.99,0.99,0.99,0.99,0.99,,,장비 패키지I
AppStore,9102,USD,0.99,0.99,0.99,0.99,0.99,0.99,,,장비 패키지II
AppStore,9103,USD,0.99,0.99,0.99,0.99,0.99,0.99,,,장비 패키지III
AppStore,9201,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,축복받은 강화주문서 미니 패키지
AppStore,9211,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,장비 행운 패키지
AppStore,9212,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,인벤토리 스페셜 재료 상자 패키지
AppStore,9301,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,망각의 모래 패키지
AppStore,9401,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,구글 플레이 유저를 위한 장비 패키지
AppStore,9411,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,앱스토어 유저를 위한 전투 패키지
AppStore,9501,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,장비성장 보조 패키지
AppStore,9502,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,강화의 부름 패키지
AppStore,9503,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,액세서리 소환 패키지
AppStore,9601,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,프리미엄 집혼석 특별 패키지I
AppStore,9604,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,스킬포인트 특별 패키지
AppStore,9605,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,탑승펫 소환석 패키지
AppStore,9610,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,탑승펫 육성석 패키지
AppStore,9611,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,노블리스 모험가 패키지
AppStore,9622,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,캐릭터 이름 변경권
AppStore,9637,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,혈맹 선물 패키지I
AppStore,9638,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,혈맹 선물 패키지II
AppStore,11001,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,매일 받는 아데나 꾸러미(28일)
AppStore,9910,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,Chinese Valentine’s Day 이벤트 패키지
AppStore,9911,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,업데이트 기념 이벤트 패키지
AppStore,9912,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,혈맹 선물 패키지III
AppStore,9913,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,100일 기념 특가 패키지
AppStore,9914,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,행운 패키지II
AppStore,9915,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,망토 성장 패키지
AppStore,9918,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,탑승펫 장비 패키지
AppStore,9919,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,특별 SR장비 패키지
AppStore,9920,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,전투 패키지II
AppStore,9921,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,전투 패키지III
AppStore,8021,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,성장 선물 꾸러미 III
AppStore,8024,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,시나리오 꾸러미 III
AppStore,9011,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,플레티넘 모험가 패키지
AppStore,9012,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,마스터 모험가 패키지
AppStore,9629,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,혈맹 크리스탈 패키지
AppStore,9630,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,서버이전권
AppStore,9667,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,매일 퀘스트 혜택
AppStore,9668,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,매일 사냥 혜택
AppStore,10010022,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,UR 무기 레시피 패키지
AppStore,10010023,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,UR 방어구 레시피 패키지
AppStore,10009001,USD,2.99,2.99,2.99,2.99,2.99,2.99,,,특가 승급석 패키지
AppStore,10009002,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,여름 한정 승급석 패키지
AppStore,10007001,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,이벤트 매일 블루 다이아(28일)
AppStore,10002204,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,레드다이아 340
AppStore,10002206,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,"블루다이아 1,900"
AppStore,10002214,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,블루다이아 340
AppStore,10009901,USD,0.99,0.99,0.99,0.99,0.99,0.99,,,이벤트 패키지I
AppStore,10009902,USD,2.99,2.99,2.99,2.99,2.99,2.99,,,페르넬의 열쇠 패키지
AppStore,10009011,USD,99.99,99.99,99.99,99.99,99.99,99.99,,,마프르 패키지
AppStore,10009010,USD,29.99,29.99,29.99,29.99,29.99,29.99,,,아데나 패키지
AppStore,10009014,USD,0.99,0.99,0.99,0.99,0.99,0.99,,,S등급 전용 희귀 방어구 선택 상자 패키지 (블루)
AppStore,10009015,USD,0.99,0.99,0.99,0.99,0.99,0.99,,,S등급 전용 희귀 방어구 선택 상자 패키지 (레드)
AppStore,10009016,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,정원의 망토 패키지
AppStore,10009017,USD,49.99,49.99,49.99,49.99,49.99,49.99,,,토벌의 망토 패키지
AppStore,10010001,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,태국 구글 기프트 카드 1
AppStore,10010002,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,태국 구글 기프트 카드 2
AppStore,10010003,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,태국 구글 기프트 카드 3
AppStore,10010004,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,태국 구글 기프트 카드 4
AppStore,10010005,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,말레 구글 기프트 카드 1
AppStore,10010006,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,말레 구글 기프트 카드 2
AppStore,10010007,USD,9.99,9.99,9.99,9.99,9.99,9.99,,,말레 구글 기프트 카드 3
