Key,Command,Value
1,,글로벌스트링 임시데이터
999,,스트링 매칭 오류
1001,,다이아
1002,,아데나
1003,,스킬 포인트
1004,,룬 조각
1005,,피의 증거
1006,,우정 포인트
1007,,마일리지
1008,,토파즈
1009,,혈맹 주화
1010,,블루 다이아
1011,,레드 다이아
1012,,혈맹 아데나
1013,,혈맹 피의 증거
1014,,공성전 축제 티켓
1015,,혈맹 붉은 스타 스톤
1016,,붉은 스타 스톤
1017,,경험치
1018,,다이아몬드
1019,,정령탄
1020,,강화주문서
1021,,축복받은 강화주문서
1022,,승급석
1023,,약초
1024,,엘릭서
1025,,몬스터 코어
1026,,스킬북
1027,,소탕 티켓 획득
1028,,포션
1029,,엘릭서 정수
2000,,전체
2001,,요일 던전
2002,,정예 던전
2003,,채집 던전
2004,,장비 던전
2005,,아데나 던전
2006,,오만의 탑
2007,,강화주문서 던전
2008,,세련석 던전
2009,,보스레이드
2010,,혈맹 던전
2011,,결투장
2012,,난투장
2013,,고대의 전장
2014,,용기의 전장
3001,,추천 상점
3002,,소환 상점
3003,,소모품 상점
3004,,아데나 상점
3005,,토파즈 상점
3006,,패키지 상점
3007,,마일리지 상점
3008,,다이아 충전
3009,,블루다이아 상점
3010,,혈맹 상점
3011,,선물 상점
3012,,매일 다이아
3013,,접속 다이아
3014,,성장 다이아
3015,,매일 아데나
4001,,사냥
4002,,퀘스트
4003,,엘릭서 제작
4004,,스킬북 제작
4005,,영웅의 길
4006,,휴식 보상
4007,,즉시 달성
4008,,혈맹 퀘스트
4009,,혈맹 기부
4010,,혈맹원 인사
4011,,혈맹 퀘스트
4012,,필수 임무
4013,,친구
4014,,전직
4015,,장비
4016,,집혼석
4017,,무기
4018,,방어구
4019,,장신구
4020,,소형
4021,,중형
4022,,대형
4023,,일반 몬스터
4024,,정예 몬스터
4025,,보스 몬스터
4026,,녹빛
4027,,은빛
4028,,금빛
4029,,고급 장비
4030,,일반
4031,,고급
4032,,최고급
5001,,팰러딘
5002,,템플 나이트
5003,,실리엔 나이트
5004,,가디언
5005,,워로드
5006,,블레이드 댄서
5007,,소드 싱어
5008,,슬레이어
5009,,트레져 헌터
5010,,플래인 워커
5011,,어비스 워커
5012,,스케빈져
5013,,호크 아이
5014,,실버 레인져
5015,,팬텀 레인져
5016,,워 레인져
5017,,소서러
5018,,스펠 싱어
5019,,스펠 하울러
5020,,쿼럴 위저드
5021,,비숍
5022,,엘더
5023,,실리엔 엘더
5024,,세이지
10001,,C
10002,,B
10003,,A
10004,,S
10005,,R
10006,,SR
10007,,UR
10101,,C-B
10102,,C-A
10103,,C-S
10104,,C-R
10105,,C-SR
10106,,C-UR
10201,,B-A
10202,,B-S
10203,,B-R
10204,,B-SR
10205,,B-UR
10301,,A-S
10302,,A-R
10303,,A-SR
10304,,A-UR
10401,,S-R
10402,,S-SR
10403,,S-UR
10501,,R-SR
10502,,R-UR
10601,,SR-UR
80001,,"시간 출력양식
{31d:5w:6p:12m:80001f}
날짜 d, 요일 w, 시간 a/p, 분m
80001f = 스트링 포맷 + f(포맷약자)"
81001,,[24H]시 [mm]분
81002,,[W] [24H]시 [m]분
81003,,[W]
81005,,[Y]년 [M]월 [D]일 [12H]시 [m]분
81006,,[M]월 [D]일 [W] [12H]시 [m]분
81007,,[M]월 [D]일
81008,,[24H]시 [m]분
81009,,[Y]-[M]-[D] [24H]:[mm]
81010,,[D]일
81011,,[M]월
81012,,[m]분
10000019,,회복의 샘
10000031,,레드팀 서쪽 방어탑
10000032,,레드팀 동쪽 방어탑
10000033,,레드팀 성물 방어탑
10000034,,블루팀 서쪽 방어탑
10000035,,블루팀 동쪽 방어탑
10000036,,블루팀 성물 방어탑
10000043,,클래스 변경 수정
10000101,,중앙 공성기지
10000102,,동쪽 공성기지
10000103,,서쪽 공성기지
10000104,,중앙 외성문
10000105,,동쪽 외성문
10000106,,서쪽 외성문
10000107,,정문 왼쪽 방어탑 
10000108,,정문 오른쪽 방어탑 
10000109,,알현실문 왼쪽 방어탑 
10000110,,알현실문 오른쪽 방어탑 
10000111,,서문 왼쪽 방어탑 
10000112,,서문 오른쪽 방어탑 
10000113,,동문 왼쪽 방어탑 
10000114,,동문 오른쪽 방어탑 
10000115,,불의 문 왼쪽 방어탑 
10000116,,불의 문 오른쪽 방어탑 
10000117,,물의 문 왼쪽 방어탑 
10000118,,물의 문 오른쪽 방어탑 
10000119,,성물방문 왼쪽 방어탑 
10000120,,성물방문 오른쪽 방어탑 
10000121,,성물 왼쪽 방어탑 
10000122,,성물 오른쪽 방어탑 
10000123,,좌측 함정 
10000124,,우측 함정 
10000201,,로이드
10000203,,제키
10000211,,결속의 수정
10000301,,그린 라텔 로버스트
10000302,,실버 라텔 로버스트
10000303,,골드 라텔 로버스트
10000304,,만드라고라
10000305,,정원의 수호자
10001001,,슈리거
10003010,,고르곤의 여왕 스테노아
10003033,,케트라 오크 수색대
10003034,,케트라 오크 백인대장
10003035,,케트라 오크 수색대장
10003060,,올 마훔 군장
10003086,,타노르 실레노스 족장
10003098,,타이페론
10003104,,화이트 울프
10003105,,난폭한 쿠거
10003121,,디소더 워리어
10003122,,분쇄자 커클린
10003123,,족장 투라마시아
10003124,,감시자 셀롭
10003125,,드래곤 해츨링
10010000,,하딘
10010001,,테오도르
10010002,,스마일리
10010003,,밤밤
10010004,,모험가
10010010,,경비부대장
10010012,,마을주민
10010013,,귀족
10010052,,사제
10010059,,불량배
10010062,,메이드
10010102,,선원
10010104,,아이작
10010105,,프쉬케
10010108,,항해사
10010109,,교역상
10010110,,글루디오행 매표원
10010111,,노점 상인
10010112,,글루디오행 배 선장
10010113,,마을 주민
10010114,,카이네스
10010115,,아나이스
10010117,,다니엘
10010118,,카이넬
10010119,,크리우스
10010121,,라켈
10010122,,데켄
10010123,,파우스
10010124,,용병단원
10010125,,펜젤
10010129,,세리아나
10010131,,아잔
10010132,,하젬
10010144,,헤럴드
10010149,,더글라스
