Id,TreasureGuardAppear,TreasureGuardDrop,TreasureGuardRepresentItem
22034,93,1700801,489001
22036,133,1700701,3003
22037,133,1700601,400000
22038,133,1702201,410004
22023,133,1700801,489001
22024,133,1700601,400000
22025,133,1702201,410004
22026,133,1700201,410002
22027,133,1700301,410003
22028,93,1700601,400000
22029,133,1702201,410004
22030,133,1700101,410001
22031,133,1700201,410002
22032,133,1700301,410003
22033,133,1700701,3003
22011,133,1700801,489001
22012,133,1700101,410001
22013,133,1702201,410004
22014,133,1700701,3003
22016,93,1700601,400000
22017,133,1700801,489001
22019,133,1700601,400000
22020,133,1700801,489001
22022,133,1702201,410004
21942,133,1700201,410002
21943,133,1700101,410001
21945,93,1700301,410003
21946,133,1702201,410004
21947,133,1700701,3003
22001,133,1700801,489001
22002,133,1700101,410001
22003,133,1700201,410002
22005,133,1700301,410003
22009,133,1702201,410004
22010,133,1700701,3003
21926,93,1700201,410002
21927,93,1700301,410003
21928,133,1700101,410001
21930,133,1702201,410004
21931,133,1700701,3003
21932,133,1700801,489001
21933,133,1700201,410002
21934,133,1700101,410001
21935,133,1700801,489001
21937,133,1700701,3003
21938,133,1700601,400000
21939,133,1702201,410004
21940,133,1700301,410003
21916,93,1700801,489001
21917,93,1700601,400000
21918,133,1702201,410004
21920,133,1700701,3003
21922,133,1700201,410002
21923,133,1700101,410001
21925,133,1702201,410004
21902,133,1700301,410003
21903,133,1700801,489001
21904,133,1700701,3003
21905,93,1700201,410002
21906,93,1700101,410001
21907,133,1700801,489001
21908,93,1700101,410001
21909,133,1700201,410002
21910,93,1702201,410004
21911,133,1700601,400000
21912,133,1700801,489001
21913,133,1700701,3003
21915,133,1700301,410003
21807,133,1700601,400000
21733,100,1700601,400000
21735,70,1700701,3003
21736,100,1702201,410004
21801,100,1700201,410002
21802,70,1700301,410003
21803,100,1700101,410001
21804,100,1700701,3003
21805,100,1702201,410004
21809,100,1700601,400000
21728,70,1700601,400000
21730,100,1702201,410004
21732,70,1700301,410003
21721,100,1700601,400000
21723,100,1700101,410001
21724,100,1700201,410002
21725,100,1702201,410004
21712,100,1700701,3003
21714,100,1702201,410004
21715,100,1700301,410003
21717,100,1700601,400000
21718,100,1700701,3003
21719,100,1700201,410002
21704,100,1702201,410004
21705,100,1700301,410003
21706,100,1700101,410001
21707,100,1700201,410002
21708,100,1700701,3003
21710,100,1700601,400000
21711,100,1700101,410001
21628,100,1700101,410001
21629,100,1700201,410002
21630,100,1700301,410003
21631,100,1700701,3003
21702,100,1702201,410004
21619,100,1700701,3003
21621,100,1700601,400000
21622,100,1700101,410001
21626,70,1700201,410002
21627,70,1702201,410004
21633,100,1700301,410003
21610,100,1700701,3003
21614,100,1700101,410001
21615,100,1700301,410003
21616,100,1702201,410004
21603,100,1700601,400000
21605,100,1700701,3003
21607,70,1700201,410002
21608,100,1702201,410004
21518,100,1700701,3003
21520,100,1702501,480007
21523,100,1702201,410004
21527,100,1700101,410001
21510,100,1700601,400000
21511,100,1700701,3003
21513,100,1702201,410004
21515,100,1700201,410002
21516,100,1700301,410003
21502,100,1702201,410004
21504,100,1700101,410001
21505,100,1700201,410002
21506,100,1700301,410003
21507,100,1700701,3003
21509,100,1702501,480007
21426,70,1702501,480007
21433,100,1700101,410001
21442,100,1700201,410002
21443,100,1702201,410004
21423,70,1700301,410003
21421,70,1700701,3003
21411,100,1702501,480007
21414,100,1700101,410001
21424,70,1702201,410004
21434,100,1700301,410003
21435,100,1700701,3003
21440,100,1700201,410002
21318,70,1702201,410004
21401,100,1700701,3003
21404,100,1700101,410001
21407,100,1702501,480007
21409,100,1700201,410002
21422,70,1700301,410003
21307,100,1702501,480007
21309,100,1700701,3003
21314,100,1700201,410002
21336,100,1700101,410001
21339,100,1700301,410003
21302,100,1700701,3003
21303,100,1702501,480007
21308,70,1700201,410002
21322,70,1702201,410004
21332,100,1700101,410001
21335,100,1700301,410003
21215,100,1702201,410004
21217,100,1700701,3003
21255,100,1700301,410003
21304,100,1700201,410002
21321,70,1700101,410001
21216,100,1702201,410004
21219,100,1702501,480007
21222,100,1700201,410002
21224,100,1700701,3003
21228,70,1700301,410003
21265,100,1700101,410001
21202,100,1700101,410001
21204,100,1702201,410004
21207,100,1700301,410003
21212,100,1700201,410002
21259,100,1702501,480007
21261,100,1700701,3003
21109,100,1702301,900010
21138,100,1700701,3003
21105,100,1702501,480007
21132,100,1702201,410004
21134,100,1702301,900010
21103,100,1702301,900010
21140,100,1702501,480007
21108,100,1702301,900010
21115,100,1700701,3003
21129,70,1702201,410004
21018,100,1702701,481013
21021,100,1700701,3003
21035,100,1702301,900010
21014,100,1702301,900010
21036,100,1702401,480004
21007,100,1702701,481013
21010,100,1702301,900010
20914,100,1702701,481013
21001,100,1700701,3003
21003,100,1702301,900010
21005,100,1702401,480004
20907,100,1702301,900010
20912,100,1702401,480004
20906,100,1702401,480004
20955,100,1702301,900010
20963,100,1700701,3003
20858,100,1700701,3003
20902,100,1702301,900010
20918,100,1702401,480004
20929,100,1702701,481013
20935,100,1702301,900010
20814,70,1702301,900010
20833,70,1702401,480004
20835,100,1702701,481013
20807,100,1702301,900010
20837,100,1700701,3003
20803,100,1702301,900010
20804,100,1702401,480004
20719,100,1700701,3003
20722,100,1702401,480004
20736,100,1702301,900010
20756,100,1702701,481013
20706,100,1702401,480004
20712,100,1700701,3003
20727,100,1702301,900010
20710,100,1702301,900010
20741,100,1702401,480004
20744,100,1702701,481013
20611,100,1702301,900010
20610,100,1702401,480004
20641,100,1700701,3003
20643,100,1702401,480004
20645,100,1702301,900010
20605,100,1700701,3003
20601,100,1702401,480004
20622,70,1702301,900010
20521,100,1702401,480004
20554,100,1702301,900010
20511,100,1700701,3003
20517,100,1702401,480004
20515,100,1700701,3003
20516,100,1702301,900010
20508,100,1702401,480004
20534,100,1702301,900010
20503,100,1700701,3003
20501,100,1702401,480004
20532,100,1700701,3003
20413,100,1700701,3003
20414,100,1702401,480004
20468,100,1702301,900010
20408,100,1702401,480004
20425,100,1702301,900010
20465,100,1700701,3003
20401,100,1702401,480004
20419,100,1702301,900010
20462,100,1700701,3003
20406,100,1702401,480004
20407,100,1702301,900010
20373,100,1700701,3003
20313,100,1702401,480004
20314,100,1702301,900010
20337,100,1700701,3003
20308,100,1702301,900010
20362,100,1702401,480004
20311,100,1700701,3003
20307,70,1702301,900010
20343,100,1702401,480004
20341,100,1700701,3003
22035,,,470205
22039,,,470206
22015,,,470203
22021,,,470204
21944,,,470195
21948,,,470196
22004,,,470201
22008,,,470202
21941,,,470194
21919,,,470192
21921,,,470193
21901,,,470191
21806,,,470181
21808,,,470185
21810,,,470186
21729,,,470177
21731,,,470176
21720,,,470173
21726,,,470174
21727,,,470175
21716,,,470172
21709,,,470171
21637,,,470161
21620,,,470164
21609,,,470162
21617,,,470165
21604,,,470163
21521,,,470155
21526,,,470154
21528,,,470153
21514,,,470156
21501,,,470151
21508,,,470152
21432,,,470146
21417,,,470143
21419,,,470144
21420,,,470145
21405,,,470142
21406,,,470141
21412,,,470147
21310,,,470134
21312,,,470133
21317,,,470132
21331,,,470131
21218,,,470123
21221,,,470126
21225,,,470124
21258,,,470122
21263,,,470125
21208,,,470121
21110,,,470116
21112,,,470115
21123,,,470113
21135,,,470114
21137,,,470117
21102,,,470111
21141,,,470112
21019,,,470106
21022,,,470107
21011,,,470103
21015,,,470104
21016,,,470105
21002,,,470101
21004,,,470102
20911,,,470095
20922,,,470094
20961,,,470093
20904,,,470091
20933,,,470092
20816,,,470083
20810,,,470081
20811,,,470082
20714,,,470071
20716,,,470073
20711,,,470077
20725,,,470075
20709,,,470076
20715,,,470072
20748,,,470074
