Id,GroupId,NameKey,Image,SkillID,RequireCoreId
500,500,741009800001,Icon_MainCore_Shilen,21212,
501,500,741009800002,Icon_MainCore_Einhasad,11214,500
502,500,741009800003,Icon_MainCore_GranKain,801,501
600,600,741009800001,Icon_MainCore_Shilen,21223,
601,600,741009800002,Icon_MainCore_Einhasad,11224,600
602,600,741009800003,Icon_MainCore_GranKain,801,601
700,700,741009800001,Icon_MainCore_Shilen,21233,
701,700,741009800002,Icon_MainCore_Einhasad,11234,700
702,700,741009800003,Icon_MainCore_GranKain,801,701
800,800,741009800001,Icon_MainCore_Shilen,21242,
801,800,741009800002,Icon_MainCore_Einhasad,11245,800
802,800,741009800003,Icon_MainCore_GranKain,801,801
900,900,741009800001,Icon_MainCore_Shilen,21252,
901,900,741009800002,Icon_MainCore_Einhasad,11254,900
902,900,741009800003,Icon_MainCore_GranKain,801,901
1000,1000,741009800001,Icon_MainCore_Shilen,21263,
1001,1000,741009800002,Icon_MainCore_Einhasad,11263,1000
1002,1000,741009800003,Icon_MainCore_GranKain,801,1001
3500,3500,741009800001,Icon_MainCore_Shilen,22213,
3501,3500,741009800002,Icon_MainCore_Einhasad,12214,3500
3502,3500,741009800003,Icon_MainCore_GranKain,801,3501
3600,3600,741009800001,Icon_MainCore_Shilen,22223,
3601,3600,741009800002,Icon_MainCore_Einhasad,12225,3600
3602,3600,741009800003,Icon_MainCore_GranKain,801,3601
3700,3700,741009800001,Icon_MainCore_Shilen,22233,
3701,3700,741009800002,Icon_MainCore_Einhasad,12234,3700
3702,3700,741009800003,Icon_MainCore_GranKain,801,3701
3800,3800,741009800001,Icon_MainCore_Shilen,22242,
3801,3800,741009800002,Icon_MainCore_Einhasad,12245,3800
3802,3800,741009800003,Icon_MainCore_GranKain,801,3801
3900,3900,741009800001,Icon_MainCore_Shilen,22253,
3901,3900,741009800002,Icon_MainCore_Einhasad,12253,3900
3902,3900,741009800003,Icon_MainCore_GranKain,801,3901
4000,4000,741009800001,Icon_MainCore_Shilen,22262,
4001,4000,741009800002,Icon_MainCore_Einhasad,12265,4000
4002,4000,741009800003,Icon_MainCore_GranKain,801,4001
6500,6500,741009800001,Icon_MainCore_Shilen,132133,
6501,6500,741009800002,Icon_MainCore_Einhasad,13214,6500
6502,6500,741009800003,Icon_MainCore_GranKain,801,6501
6600,6600,741009800001,Icon_MainCore_Shilen,23223,
6601,6600,741009800002,Icon_MainCore_Einhasad,13225,6600
6602,6600,741009800003,Icon_MainCore_GranKain,801,6601
6700,6700,741009800001,Icon_MainCore_Shilen,23233,
6701,6700,741009800002,Icon_MainCore_Einhasad,13234,6700
6702,6700,741009800003,Icon_MainCore_GranKain,801,6701
6800,6800,741009800001,Icon_MainCore_Shilen,23242,
6801,6800,741009800002,Icon_MainCore_Einhasad,13245,6800
6802,6800,741009800003,Icon_MainCore_GranKain,801,6801
6900,6900,741009800001,Icon_MainCore_Shilen,23253,
6901,6900,741009800002,Icon_MainCore_Einhasad,13254,6900
6902,6900,741009800003,Icon_MainCore_GranKain,801,6901
7000,7000,741009800001,Icon_MainCore_Shilen,23262,
7001,7000,741009800002,Icon_MainCore_Einhasad,13265,7000
7002,7000,741009800003,Icon_MainCore_GranKain,801,7001
9500,9500,741009800001,Icon_MainCore_Shilen,24213,
9501,9500,741009800002,Icon_MainCore_Einhasad,14214,9500
9502,9500,741009800003,Icon_MainCore_GranKain,801,9501
9600,9600,741009800001,Icon_MainCore_Shilen,24224,
9601,9600,741009800002,Icon_MainCore_Einhasad,14224,9600
9602,9600,741009800003,Icon_MainCore_GranKain,801,9601
9700,9700,741009800001,Icon_MainCore_Shilen,24234,
9701,9700,741009800002,Icon_MainCore_Einhasad,14234,9700
9702,9700,741009800003,Icon_MainCore_GranKain,801,9701
9800,9800,741009800001,Icon_MainCore_Shilen,24243,
9801,9800,741009800002,Icon_MainCore_Einhasad,14243,9800
9802,9800,741009800003,Icon_MainCore_GranKain,801,9801
9900,9900,741009800001,Icon_MainCore_Shilen,24253,
9901,9900,741009800002,Icon_MainCore_Einhasad,14254,9900
9902,9900,741009800003,Icon_MainCore_GranKain,801,9901
10000,10000,741009800001,Icon_MainCore_Shilen,24263,
10001,10000,741009800002,Icon_MainCore_Einhasad,14264,10000
10002,10000,741009800003,Icon_MainCore_GranKain,801,10001
