Id,ContentShow,NameKey,Difficulty,RecommendedAttack,RecommendedDefense,RecommendedPower,RecommendedLevel,Type,IntParam,OpenCondition,RecommendedPC,EnterLevelRestriction,BackgroundImage,WorldId,RepresentRewardId,RepresentRewardNameKey,RepresentRewardDescriptionKey,RepresentRewardIconPath,AddSubLevel,DescriptionKey,ResetGemType,ResetGemCount,SubLevelForLight,BGM,ConflictRegular,RepresentRewardID1,RepresentRewardCount1,RepresentRewardID2,RepresentRewardCount2,RepresentRewardID3,RepresentRewardCount3,HardMode,RecommendedAbilityType,RecommendedAbilityPower,SummonMonsterInfo
200,1,731000000152,Normal,1605,2174,11600,,Regular,1,0,,16,Texture/Image_Dungeon_Elite_01,200,1,0,0,,,694000000200,,,,,0,400002,,490049,,3001,,,,,
201,1,101000001202,Normal,4872,6195,26700,,Regular,2,0,,20,Texture/Image_Dungeon_Elite_01,201,3,0,0,,,694000000201,,,,,0,400002,,490049,,3001,,,,,
202,1,731000000125,Normal,7732,9597,70300,,Regular,3,0,,30,Texture/Image_Dungeon_Elite_02,202,5,0,0,,,694000000202,,,,,0,400002,,490049,,3001,,,,,
203,1,101000001206,Normal,10974,13466,130700,,Regular,4,0,,45,Texture/Image_Dungeon_Elite_02,203,7,0,0,,,694000000203,,,,,0,400002,,490049,,3001,,,,,
204,1,731000000141,Normal,15561,18975,205900,,Regular,5,0,,65,Texture/Image_Dungeon_Elite_03,204,8,0,0,,,694000000204,,,,,0,400002,,490049,,3001,,,,,
205,1,731000000142,Normal,20870,25349,279700,,Regular,6,0,,90,Texture/Image_Dungeon_Elite_03,205,9,0,0,,,694000000205,,,,,0,400002,,490049,,3001,,,,,
206,1,731000000166,Normal,26875,32560,336200,,Regular,7,0,,128,Texture/Image_Dungeon_Elite_04,206,10,0,0,,,694000000206,,,,,0,400002,,490049,,3001,,,,,
207,1,731000000167,Normal,33559,40585,384500,,Regular,8,0,,140,Texture/Image_Dungeon_Elite_04,207,10,0,0,,,694000000207,,,,,0,400002,,490049,,3001,,,,,
208,1,722000000127,Normal,26875,32560,462500,,Regular,9,0,,162,Texture/Image_Dungeon_Elite_04,208,10,0,0,,,692000000208,,,,,0,400002,,490049,,3001,,,,,
209,1,731000004294,Normal,,,660500,,Regular,10,,,182,Texture/Image_Dungeon_Elite_04,209,15,0,0,,,694000000209,,,,,1,400002,,490049,,1000103,,,,,
210,1,731000004295,Normal,26875,32560,653100,,Regular,11,,,180,Texture/Image_Dungeon_Elite_05,210,10,0,0,,,694000000210,,,,,0,400002,,490049,,3001,,,,,
211,1,731000004296,Normal,26875,32560,847600,,Regular,12,,,230,Texture/Image_Dungeon_Elite_06,211,10,0,0,,,694000000211,,,,,0,400002,,490049,,3001,,,,,
212,1,731000004297,Normal,,,1024900,,Regular,13,,,260,Texture/Image_Dungeon_Elite_06,212,15,0,0,,,694000000212,,,,,1,400002,,490049,,1000104,,,,,
213,1,731000006174,Normal,,,1334900,,Regular,14,0,,268,Texture/Image_Dungeon_Elite_07,213,10,0,0,,,694000000213,,,,,0,400002,,490049,,1000104,,,,,
214,1,731000006175,Normal,,,1655100,,Regular,15,0,,294,Texture/Image_Dungeon_Elite_07,214,10,0,0,,,694000000214,,,,,0,400002,,490049,,1000104,,,,,
215,1,731000006176,Normal,,,1983600,,Regular,16,0,,320,Texture/Image_Dungeon_Elite_07,215,15,0,0,,,694000000215,,,,,1,400002,,490049,,1000104,,,,,
9000,1,691000009000,Easy,577,619,75900,,Exp,0,0,,38,Texture/Image_Dungeon_Daily_07,18200,900009,1022,693000009000,Icon_GachaItem_Transcendence,OthersideRift_Trigger,694000009000,,,,6,0,3005,,,,,,,,,
9001,1,691000009001,Normal,4567,5828,147600,,Exp,0,0,,60,Texture/Image_Dungeon_Daily_07,18200,900009,1022,693000009001,Icon_GachaItem_Transcendence,OthersideRift_Trigger,694000009000,,,,6,0,3005,,,,,,,,,
9002,1,691000009002,Hard,8722,10768,243800,,Exp,0,0,,100,Texture/Image_Dungeon_Daily_07,18200,900009,1022,693000009002,Icon_GachaItem_Transcendence,OthersideRift_Trigger,694000009000,,,,6,0,3005,,,,,,,,,
9003,1,691000009003,Hell,15070,18385,420300,,Exp,0,0,,150,Texture/Image_Dungeon_Daily_07,18200,900009,1022,693000009003,Icon_GachaItem_Transcendence,OthersideRift_Trigger,694000009000,,,,6,0,3005,,,,,,,,,
9004,1,691000009004,Easy,577,619,52100,,Adena,0,0,,0,Texture/Image_Dungeon_Daily_07,18100,900009,1022,693000009000,Icon_GachaItem_Transcendence,VaultofChrysos_Trigger,694000009004,,,,6,0,3004,,,,,,,,,
9005,1,691000009005,Normal,4567,5828,127700,,Adena,0,0,,0,Texture/Image_Dungeon_Daily_07,18100,900009,1022,693000009001,Icon_GachaItem_Transcendence,VaultofChrysos_Trigger,694000009004,,,,6,0,3004,,,,,,,,,
9006,1,691000009006,Hard,8722,10768,228600,,Adena,0,0,,0,Texture/Image_Dungeon_Daily_07,18100,900009,1022,693000009002,Icon_GachaItem_Transcendence,VaultofChrysos_Trigger,694000009004,,,,6,0,3004,,,,,,,,,
9008,1,691000009008,Hell,15070,18385,478800,,Adena,0,0,,0,Texture/Image_Dungeon_Daily_07,18100,900009,1022,693000009003,Icon_GachaItem_Transcendence,VaultofChrysos_Trigger,694000009004,,,,6,0,3004,,,,,,,,,
