Id,GroupId,NameKey,Param1,ItemList,Grade,Set2OptionInfoId,Set3OptionInfoId,Set4OptionInfoId,Set5OptionInfoId
101,100,341000000001,C,"210010, 220010, 230010, 240010",C,2100102,2100103,2100104,
102,100,341000000001,B,"210011, 220011, 230011, 240011",B,2100112,2100113,2100114,
103,100,341000000001,A,"210012, 220012, 230012, 240012",A,2100122,2100123,2100124,
104,100,341000000001,S,"210013, 220013, 230013, 240013",S,2100132,2100133,2100134,
105,100,341000000001,R,"210014, 220014, 230014, 240014",R,2100142,2100143,2100144,
106,100,341000000001,SR,"210015, 220015, 230015, 240015",SR,2100152,2100153,2100154,
201,100,341000000002,C,"210020, 220020, 230020, 240020",C,2100202,2100203,2100204,
202,200,341000000002,B,"210021, 220021, 230021, 240021",B,2100212,2100213,2100214,
203,200,341000000002,A,"210022, 220022, 230022, 240022",A,2100222,2100223,2100224,
204,200,341000000002,S,"210023, 220023, 230023, 240023",S,2100232,2100233,2100234,
205,200,341000000002,R,"210024, 220024, 230024, 240024",R,2100242,2100243,2100244,
206,200,341000000002,SR,"210025, 220025, 230025, 240025",SR,2100252,2100253,2100254,
301,200,341000000003,C,"210030, 220030, 230030, 240030",C,2100302,2100303,2100304,
302,200,341000000003,B,"210031, 220031, 230031, 240031",B,2100312,2100313,2100314,
303,300,341000000003,A,"210032, 220032, 230032, 240032",A,2100322,2100323,2100324,
304,300,341000000003,S,"210033, 220033, 230033, 240033",S,2100332,2100333,2100334,
305,300,341000000003,R,"210034, 220034, 230034, 240034",R,2100342,2100343,2100344,
306,300,341000000003,SR,"210035, 220035, 230035, 240035",SR,2100352,2100353,2100354,
401,300,341000000004,C,"210040, 220040, 230040, 240040",C,2100402,2100403,2100404,
402,300,341000000004,B,"210041, 220041, 230041, 240041",B,2100412,2100413,2100414,
403,300,341000000004,A,"210042, 220042, 230042, 240042",A,2100422,2100423,2100424,
404,400,341000000004,S,"210043, 220043, 230043, 240043",S,2100432,2100433,2100434,
405,400,341000000004,R,"210044, 220044, 230044, 240044",R,2100442,2100443,2100444,
406,400,341000000004,SR,"210045, 220045, 230045, 240045",SR,2100452,2100453,2100454,
501,400,341000000005,C,"210050, 220050, 230050, 240050",C,2100502,2100503,2100504,
502,400,341000000005,B,"210051, 220051, 230051, 240051",B,2100512,2100513,2100514,
503,400,341000000005,A,"210052, 220052, 230052, 240052",A,2100522,2100523,2100524,
504,400,341000000005,S,"210053, 220053, 230053, 240053",S,2100532,2100533,2100534,
505,500,341000000005,R,"210054, 220054, 230054, 240054",R,2100542,2100543,2100544,
506,500,341000000005,SR,"210055, 220055, 230055, 240055",SR,2100552,2100553,2100554,
601,500,341000000006,C,"210060, 220060, 230060, 240060",C,2100602,2100603,2100604,
602,500,341000000006,B,"210061, 220061, 230061, 240061",B,2100612,2100613,2100614,
603,500,341000000006,A,"210062, 220062, 230062, 240062",A,2100622,2100623,2100624,
604,500,341000000006,S,"210063, 220063, 230063, 240063",S,2100632,2100633,2100634,
605,500,341000000006,R,"210064, 220064, 230064, 240064",R,2100642,2100643,2100644,
606,600,341000000006,SR,"210065, 220065, 230065, 240065",SR,2100652,2100653,2100654,
704,600,341000000007,S,"210073, 220073, 230073, 240073",S,2100732,2100733,2100734,
705,600,341000000007,R,"210074, 220074, 230074, 240074",R,2100742,2100743,2100744,
706,600,341000000007,SR,"210075, 220075, 230075, 240075",SR,2100752,2100753,2100754,
804,600,341000000008,S,"210083, 220083, 230083, 240083",S,2100832,2100833,2100834,
805,600,341000000008,R,"210084, 220084, 230084, 240084",R,2100842,2100843,2100844,
806,600,341000000008,SR,"210085, 220085, 230085, 240085",SR,2100852,2100853,2100854,
904,700,341000000009,S,"210093, 220093, 230093, 240093",S,2100932,2100933,2100934,
905,700,341000000009,R,"210094, 220094, 230094, 240094",R,2100942,2100943,2100944,
906,700,341000000009,SR,"210095, 220095, 230095, 240095",SR,2100952,2100953,2100954,
1001,700,341000000010,C,"310001, 320001, 330001",C,3100010,3100011,3100012,3100013
1002,800,341000000010,B,"310002, 320002, 330002",B,3100020,3100021,3100022,3100023
1003,800,341000000010,A,"310003, 320003, 330003",A,3100030,3100031,3100032,3100033
1004,800,341000000010,S,"310004, 320004, 330004",S,3100040,3100041,3100042,3100043
1005,800,341000000010,R,"310005, 320005, 330005",R,3100050,3100051,3100052,3100053
1006,900,341000000010,SR,"310006, 320006, 330006",SR,3100060,3100061,3100062,3100063
1101,900,341000000011,C,"310011, 320011, 330011",C,3100110,3100111,3100112,3100113
1102,900,341000000011,B,"310012, 320012, 330012",B,3100120,3100121,3100122,3100123
1103,900,341000000011,A,"310013, 320013, 330013",A,3100130,3100131,3100132,3100133
1104,1000,341000000011,S,"310014, 320014, 330014",S,3100140,3100141,3100142,3100143
1105,1000,341000000011,R,"310015, 320015, 330015",R,3100150,3100151,3100152,3100153
1106,1000,341000000011,SR,"310016, 320016, 330016",SR,3100160,3100161,3100162,3100163
1201,1000,341000000012,C,"310021, 320021, 330021",C,3100210,3100211,3100212,3100213
1202,1000,341000000012,B,"310022, 320022, 330022",B,3100220,3100221,3100222,3100223
1203,1000,341000000012,A,"310023, 320023, 330023",A,3100230,3100231,3100232,3100233
1204,1000,341000000012,S,"310024, 320024, 330024",S,3100240,3100241,3100242,3100243
1205,1100,341000000012,R,"310025, 320025, 330025",R,3100250,3100251,3100252,3100253
1206,1100,341000000012,SR,"310026, 320026, 330026",SR,3100260,3100261,3100262,3100263
1301,1100,341000000013,C,"310031, 320031, 330031",C,3100310,3100311,3100312,3100313
1302,1100,341000000013,B,"310032, 320032, 330032",B,3100320,3100321,3100322,3100323
1303,1100,341000000013,A,"310033, 320033, 330033",A,3100330,3100331,3100332,3100333
1304,1100,341000000013,S,"310034, 320034, 330034",S,3100340,3100341,3100342,3100343
1305,1100,341000000013,R,"310035, 320035, 330035",R,3100350,3100351,3100352,3100353
1306,1200,341000000013,SR,"310036, 320036, 330036",SR,3100360,3100361,3100362,3100363
1401,1200,341000000014,C,"310041, 320041, 330041",C,3100410,3100411,3100412,3100413
1402,1200,341000000014,B,"310042, 320042, 330042",B,3100420,3100421,3100422,3100423
1403,1200,341000000014,A,"310043, 320043, 330043",A,3100430,3100431,3100432,3100433
1404,1200,341000000014,S,"310044, 320044, 330044",S,3100440,3100441,3100442,3100443
1405,1200,341000000014,R,"310045, 320045, 330045",R,3100450,3100451,3100452,3100453
1406,1200,341000000014,SR,"310046, 320046, 330046",SR,3100460,3100461,3100462,3100463
1501,1300,341000000015,C,"310051, 320051, 330051",C,3100510,3100511,3100512,3100513
1502,1300,341000000015,B,"310052, 320052, 330052",B,3100520,3100521,3100522,3100523
1503,1300,341000000015,A,"310053, 320053, 330053",A,3100530,3100531,3100532,3100533
1504,1300,341000000015,S,"310054, 320054, 330054",S,3100540,3100541,3100542,3100543
1505,1300,341000000015,R,"310055, 320055, 330055",R,3100550,3100551,3100552,3100553
1506,1300,341000000015,SR,"310056, 320056, 330056",SR,3100560,3100561,3100562,3100563
1604,1400,341000000016,S,"210103, 220103, 230103, 240103",S,2101032,2101033,2101034,
1605,1400,341000000016,R,"210104, 220104, 230104, 240104",R,2101042,2101043,2101044,
1606,1400,341000000016,SR,"210105, 220105, 230105, 240105",SR,2101052,2101053,2101054,
1704,1500,341000000017,S,"210113, 220113, 230113, 240113",S,2101132,2101133,2101134,
1705,1500,341000000017,R,"210114, 220114, 230114, 240114",R,2101142,2101143,2101144,
1706,1500,341000000017,SR,"210115, 220115, 230115, 240115",SR,2101152,2101153,2101154,
1804,1600,341000000018,S,"210123, 220123, 230123, 240123",S,2101232,2101233,2101234,
1805,1600,341000000018,R,"210124, 220124, 230124, 240124",R,2101242,2101243,2101244,
1806,1600,341000000018,SR,"210125, 220125, 230125, 240125",SR,2101252,2101253,2101254,
107,1600,341000000001,UR,"210016, 220016, 230016, 240016",UR,2100162,2100163,2100164,
207,1600,341000000002,UR,"210026, 220026, 230026, 240026",UR,2100262,2100263,2100264,
307,1600,341000000003,UR,"210036, 220036, 230036, 240036",UR,2100362,2100363,2100364,
407,1600,341000000004,UR,"210046, 220046, 230046, 240046",UR,2100462,2100463,2100464,
507,1700,341000000005,UR,"210056, 220056, 230056, 240056",UR,2100562,2100563,2100564,
607,1700,341000000006,UR,"210066, 220066, 230066, 240066",UR,2100662,2100663,2100664,
707,1700,341000000007,UR,"210076, 220076, 230076, 240076",UR,2100762,2100763,2100764,
807,1700,341000000008,UR,"210086, 220086, 230086, 240086",UR,2100862,2100863,2100864,
907,1700,341000000009,UR,"210096, 220096, 230096, 240096",UR,2100962,2100963,2100964,
1607,1800,341000000016,UR,"210106, 220106, 230106, 240106",UR,2101062,2101063,2101064,
1707,1800,341000000017,UR,"210116, 220116, 230116, 240116",UR,2101162,2101163,2101164,
1807,1800,341000000018,UR,"210126, 220126, 230126, 240126",UR,2101262,2101263,2101264,
10000004,10000000,341010000001,S,"10310004, 10320004, 10330004",S,100310040,100310041,100310042,100310043
10000005,10000000,341010000001,R,"10310005, 10320005, 10330005",R,100310050,100310051,100310052,100310053
10000006,10000000,341010000001,SR,"10310006, 10320006, 10330006",SR,100310060,100310061,100310062,100310063
10000104,10000100,341010000101,S,"10310014, 10320014, 10330014",S,100310140,100310141,100310142,100310143
10000105,10000100,341010000101,R,"10310015, 10320015, 10330015",R,100310150,100310151,100310152,100310153
10000106,10000100,341010000101,SR,"10310016, 10320016, 10330016",SR,100310160,100310161,100310162,100310163
